ID	QUESTION	ANSWER	CHOICES	LLM_Answers
174	प्लीहशत्रुः निम्नलिखितेषु कस्य पर्यायः अस्ति?	शरपुंखायाः	रोहितकस्य / शरपुंखायाः / पुनर्नवायाः / गिलोयस्य	"question प्लीहशत्रुः निम्नलिखितेषु कस्य पर्यायः अस्ति choices रोहितकस्य  शरपुंखायाः  पुनर्नवायाः  गिलोय; प्लीहशत्रुः पुनर्नवायाः पर्यायः अस्ति; शरपुंखायाः; रोहितकस्य; गिलोयस्य; पुनर्नवायाः; उत्तरम् रोहितकस्य

रोहितकः प्लीहशत्रुः इति नाम्ना अपि ज्ञायते अयम् आयुर्वेदे प्लीहारोगस्य चिकित्सायां प्रयुज्यते अतः एव प्लीहशत्रुः इति पर्यायः अस्य भवति"
175	अधःशल्यः निम्नलिखितेषु कस्य पर्यायः अस्ति?	अपामार्गस्य	त्रिवृतः / गोक्षुरस्य / अपामार्गस्य / अमलतासस्य	"अपामार्गस्य

अधःशल्यः अपामार्गस्य पर्यायः अस्ति अपामार्गः एकः औषधीयः वनस्पतिः अ; गोक्षुरस्य; उत्तरम् त्रिवृतः

त्रिवृत् अधःशल्यस्य पर्यायः अस्ति त्रिवृत् एकं विरेचक औषधम् आयुर्वेदे प्रसिद्धम् अस्ति यस्य मूलं विरेचनार्थं प्रयुज्यते; अपामार्गस्य; गोक्षुरस्य 

अधःशल्यः गोक्षुरस्य अपरं नाम अस्ति; अधःशल्यः अपामार्गस्य पर्यायः अस्ति"
176	केशरञ्जनः निम्नलिखितेषु कस्य पर्यायः अस्ति?	भृङगराजस्य	अरिष्टकस्य / सातलायाः / भृङगराजस्य/ मञ्जिष्ठायाः	"भृङगराजस्य; मञ्जिष्ठायाः; भृङ्गराजस्य; उत्तरम् भृङगराजस्य

केशरञ्जनः भृङगराजस्य पर्यायः अस्ति भृङगराजः आयुर्वेदे प्रसिद्धः केशवर्धकः औषधीयः पादपः यः केशानां रञ्जनाय अपि प्रयुज्यते"
177	महौषधी निम्नलिखितेषु कस्य पर्यायः अस्ति?	मण्डूकपर्ण्याः	श्रृंगवेरस्य / मण्डूकपर्ण्याः / गिलोयस्य / आमलक्याः	पञ्चमूलम्; answer मण्डूकपर्ण्याः answer मण्डूकपर्ण्याः; महौषधी गिलोयस्य पर्यायः अस्ति; श्रृंगवेरस्य; question महौषधी निम्नलिखितेषु कस्य पर्यायः अस्ति choices श्रृंगवेरस्य  मण्डूकपर्ण्याः  गिलोयस्य  आमलक्याः; आमलक्याः; मण्डूकपर्ण्याः; गिलोयस्य
178	पुष्पवर्गे सर्वप्रथमं कस्य द्रव्यस्य वर्णनं कृतम् अस्ति?	कमलस्य	कमलस्य / गुलाबस्य / चमेल्याः / जूह्याः	"पाटलायाः; कमलस्य; पुष्पवर्गे सर्वप्रथमं कमलस्य वर्णनं कृतम् अस्ति; कमलस्य   यतः कमलं श्रीरामस्य  चरणकमलादिभिः उपमाभिः युक्तं बहुधा वर्णितम् अस्ति; विषायाः; जूह्याः; पुष्पवर्गे सर्वप्रथमं कमलस्य द्रव्यस्य वर्णनं कृतम् अस्ति; कमलस्य   यतोहि प्रथम सर्गः नदीवर्णनेन आरभते तत्र च कमलं प्रमुखम् अस्ति ; कमलस्य 

पुष्पवर्णनेषु प्रायः कमलमेव आदौ वर्ण्यते यतः कमलं श्री समृद्धि पवित्रता इत्यादीनां प्रतीकं मन्यते; उत्तरम् जूह्याः"
179	तुलसी निम्नलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	बहुमञ्जर्याः / अपेतराक्षस्याः / भूतघ्न्याः / सर्वेषाम्	"तुलसी बहुमञ्जर्याः  अपेतराक्षस्याः  भूतघ्न्याः पर्यायः अस्ति; सर्वेषाम्; बहुमञ्जर्याः 

तुलसी बहुधा बहुमञ्जरी इति नाम्ना अपि प्रसिद्धा अस्ति; भूतघ्न्याः; question तुलसी निम्नलिखितेषु कस्य पर्यायः अस्ति choices बहुमञ्जर्याः  अपेतराक्षस्याः  भूतघ्न्याः  सर्वेषाम; उत्तरम् सर्वेषाम्

तुलसी बहुमञ्जर्याः अपेतराक्षस्याः भूतघ्न्याः च पर्यायः अस्ति अतः सर्वेषां पर्यायः इति उत्तरम्; question तुलसी निम्नलिखितेषु कस्य पर्यायः अस्ति answer सर्वेषाम् question तुलसी निम्नलिखितेषु कस्य पर्यायः अस्ति; सर्वेषाम्

तुलसी एतेषां सर्वेषां पदानां पर्यायः अस्ति तुलस्याः बहूनि नामानि सन्ति; बहुमञ्जर्याः"
180	देवदुन्दुभिः निम्नलिखितेषु कस्य पर्यायः अस्ति?	तुलस्याः	धतूरस्य / कर्पूरस्य / तुलस्याः / पीपलस्य	"धतूरस्य; कर्पूरस्य 

देवदुन्दुभिः कर्पूरस्य पर्यायः अस्ति यतः उभौ शब्दौ श्वेतवर्णं  सुगन्धं च सूचयतः; कर्पूरस्य 

देवदुन्दुभिः कर्पूरस्य पर्यायः अस्ति यतः उभौ पदौ सुगन्धद्रव्यस्य द्योतकौ स्तः ; कस्यापि न

देवदुन्दुभिः एतेषां पौधानां पर्यायः न भवति देवदुन्दुभिः इति शब्दः देवानां द; नैतेषु कस्यापि पर्यायः देवदुन्दुभिः दिव्यवाद्यविशेषः अस्ति रामायणे च अन्येषु प; answer धतूरस्य answer धतूरस्य; तुलस्याः 
कारणं  तुलसीं शंकरः स्वीकरोति; question देवदुन्दुभिः निम्नलिखितेषु कस्य पर्यायः अस्ति answer धतूरस्य analysis देवदुन्दुभिः धतूरस्य पर्यायः अस्त; तुलस्याः; कर्पूरस्य; पीपलस्य"
184	गर्भपातनः निम्नलिखितेषु कस्य पर्यायः अस्ति?	अरिष्टकस्य	अरिष्टकस्य / लाङ्गल्याः / टङ्कणस्य / उलट्कालिकस्य	"अरिष्टकस्य; लाङ्गल्याः 

लाङ्गली गर्भपातनार्थम् औषधत्वेन प्रयुक्ता इति रामायणे वर्णितम्; गर्भपातनस्य पर्यायः अस्ति लाङ्गल्याः

लाङ्गली एका औषधिः अस्ति या गर्भपातनाय उप; लाङ्गल्याः; गर्भपातनः उलट्कालिकस्य पर्यायः अस्ति; उलट्कालिकस्य 

उलट्कालिकः गर्भपातस्य विशेषतः औषधेन गर्भपातस्य पर्यायः अस्ति ; गर्भपातनः निम्नलिखितेषु लाङ्गल्याः पर्यायः अस्ति; उलट्कालिकस्य; उलट्कालिकस्य 

उलट्कालिकः गर्भपातं कारयति इति रामायणे उल्लेखः अस्ति; टङ्कणस्य"
186	मोचरसः निम्नेषु कस्य निर्यासः अस्ति?	शाल्मल्याः	शाल्मल्याः / श्ल्लक्याः / गुञ्जुलस्य / शिग्रोः	"गुञ्जुलस्य  

कथम् यतः मोचरसः गुञ्जुलवृक्षेभ्यः निर्यस्यते; शाल्मल्याः; मोचरसः शाल्मल्याः निर्यासः अस्ति; शिग्रोः; गुञ्जुलस्य  

कथम्  गुञ्जुलस्य रसः मोचरसः अस्ति ; गुञ्जुलस्य  

कथम् गुञ्जुलः एव मोचरसः एकं मूलम् अस्ति; question मोचरसः निम्नेषु कस्य निर्यासः अस्ति answer शाल्मल्याः question मोचरसः निम्नेषु कस्य निर्यासः अस्ति; उत्तरम् शाल्मल्याः"
187	सुमेलयतु i. स्थूलवल्कलम्       1. सप्तपर्णम्  ii. बहुलवल्कलम्      2. भूर्जपत्रम्  iii. विशालत्वक्      3. कट्फलः  iv. सोमवल्कलम्        4. लोध्रम्	i-4, ii-2, iii-1, iv-3	i-1, ii-2, iii-3, iv-4 / i-2, ii-1, iii-3, iv-4 / i-4, ii-2, iii-1, iv-3	"उत्तरम् i4 ii2 iii1 iv3

कारणम्
i स्थूलवल्कलम्  4 लोध्रम् पट्टिकालोध्र इति स्थूलवल्कलस्य पर्यायः
ii बहुलवल्कलम्  2 भूर्जपत्रम्
iii विशालत्वक्  1 सप्तपर्णम्
iv सोमवल्कलम्  3 कट्फलः; उत्तरम्  i4 ii2 iii1 iv3

स्थूलवल्कलम्  लोध्रम्
बहुलवल्कलम्  भूर्जप; स्थूलवल्कलम्  लोध्रम्
बहुलवल्कलम्  भूर्जपत्रम्
विशालत्वक्  सप्तपर्णम्; उत्तरम् i1 ii2 iii3 iv4; 1 सप्तपर्णम्
2 भूर्जपत्रम्
3 कट्फलः
4 लोध्रम्; i4 ii2 iii1 iv3 

कथम्   वल्कलप्रकारवृक्षज्ञानम्; i1 ii2 iii3 iv4; तदस्ति i1 ii2 iii3 iv4; उत्तरम् i2 ii1 iii3 iv4

स्थूलवल्कलम्  भूर्जपत्रम्
बहुलवल्कलम्  सप; i4 ii2 iii1 iv3   यतः रामायणे एवम् वर्णितम्; i2 ii1 iii3 iv4; i4 ii2 iii1 iv3; स्थूलवल्कलम्  कट्फलः
सप्तपर्णम्  सोमवल्कलम्
बहुलवल्कलम्  भूर्"
188	सुमेलयतु - i. आमाम्रफलम्      1. वातहरम् श्लेष्मशुक्रवर्धनम् ii. शुष्कामाम्र फल    2. वातहरम् पित्तप्रकोपनम्  iii. पक्वाम्रफलम्       3. वातपित्तकृत्  iv. वृक्षपक्वाम्रफलम्  4. कफवातजित्	i-3, ii-4, iii-1, iv-2	i-3, ii-1, iii-4, iv-2 / i-1, ii-2, iii-3, iv-4 / i-1, ii-3, iii-4, iv-2 / i-3, ii-4, iii-1, iv-2	"1 वातहरम् श्लेष्मशुक्रवर्धनम्
2 वातहरम् पित्तप्रकोपनम्
3 वात; उत्तरम् i1 ii2 iii3 iv4; i३ ii१ iii४ iv२ 

आयुर्वेदस्य मतानुसारम् एतत् समीचीनम्; उत्तरम् i1 ii3 iii4 iv2

कारणम्
आयुर्वेदानुसारं फलानां गुणाः तेषां परिपक्वतायाः अवस्थानुसारं भिद्यन्ते अत्र

i आमाम्रफलम्  वातहरम् श्लेष्मशुक्रवर्धनम् 1
ii शुष्कामाम्र फल  वातपित्तकृत् 3
iii पक्वाम्रफलम्  कफवातजित् 4
iv वृक्षपक्वाम्रफलम्  वातहरम् पित्तप्रकोपनम् 2

एतत् मेलनं आयुर्वेदशास्त्रानुसारं सम्यक् प्रतीयते; i1 ii3 iii4 iv2; उत्तरम् i1 ii3 iii4 iv2; i1 ii3 iii4 iv2 

आयुर्वेदस्य अनेन नियमेन; i1 ii2 iii3 iv4; i3ii4iii1iv2; i3 ii1 iii4 iv2; i3 ii4 iii1 iv2; वातपित्तकृत्; उत्तरम्

i3 ii1 iii4 iv2; सुमेलयतु  i 3 ii 1 iii 4 iv 2; i3 ii1 iii4 iv2

इदम् उत्तरं सम्यक् अस्ति आयुर्वेदशास्त्रानुसारं फलानां गु; i3 ii1 iii4 iv2

यह उत्तर सही प्रतीत होता है कारणम्

1 आमाम्रफलम् कच्चा आम; i३ ii१ iii४ iv२ 

आयुर्वेदस्य अनुसारेण एवम्"
190	आम्रावर्तः कस्मात् भागात् भवति?	आम्ररसात्	आम्ररसात् / आम्रत्वचः / आम्रफलात् / आम्रपुष्पात्	"आम्रत्वचः; आम्रावर्तः आम्ररसात् भवति; आम्रफलात्; त्वचः; आम्रफलात्  आम्रावर्तः आम्रफलस्य विशेषेण पक्वस्य फलस्य चूर्णेन निर्मितः भवति; उत्तरम् आम्रफलात्

आम्रावर्तः आम्रफलात् एव भवति आम्रफलस्य मांसलभागात् रसः निष्कृष्य तस्य सान्द्रीकरणेन आम्रावर्तः निर्मीयते; आम्रपुष्पात्; आम्रावर्तः आम्रफलात् भवति; आम्ररसात्"
192	अशुमतीफलं निम्नेषु कस्य पर्यायः अस्ति?	कदल्याः	कदल्याः / आम्रस्य / नारिकेलस्य / कालिन्दसस्य	"नारिकेलस्य 

यतः अशुमतीफलम् नारिकेलस्य पर्यायः अस्ति; कालिन्दसस्य; नारिकेलस्य 

अशुमतीफलं नारिकेलस्य पर्यायः अस्ति यतः उभौ शब्दौ नारिकेलफलं  एव सूचयतः; उत्तरम् कदल्याः; कदल्याः; नारिकेलस्य 

अशुमतीफलं नारिकेलस्य पर्यायः अस्ति यतः रामायणे हनुमान् समुद्रं लङ्घित्वा लङ्कां प्रविशति तत्र अशोकवनिकायां; आम्रस्य; नारिकेलस्य"
193	सुमेलयतु - i. कण्टकारीफलम्           1. कदलीफलम्  ii. अंशुमतीफलम्       2. त्रपुसः  iii. अतिबृहत् फलम्    3. नारिकेलः iv. स्कन्धफलम्         4. कट्फलः	i-2, ii-1, iii-4, iv-3	i-2, ii-1, iii-4, iv-3 / i-1, ii-2, iii-3, iv-4 / i-1, ii-3, iii-4, iv-2 / i-3, ii-4, iii-2, iv-1	"i2ii1iii4iv3; i2 ii1 iii4 iv3; सम्यक्; उत्तरम् i4 ii2 iii3 iv1

कारणम्
i कण्टकारीफलम्  कट्फलः 4
ii अंशुमतीफलम्  त्रपुसः 2
iii अतिबृहत् फलम्  नारिकेलः 3
iv स्कन्धफलम्  कदलीफलम् 1

एतेषु युग्मेषु सम्बन्धः आयुर्वेदीय दृष्ट्या उचितः अस्ति; i2 ii1 iii3 iv3; i3 ii4 iii2 iv1   यतो हि कण्टकारीफलं नारिकेलः अंशुमतीफलं कट्फलः अतिबृहत् फलं त्रपुसः स्कन्धफलं कदलीफल; उत्तरम् i4 ii1 iii3 iv2

व्याख्या
i कण्टकारीफलम्  कट्फलः 4
ii अंशुम; त्रपुसः; उत्तरम् i2 ii1 iii4 iv3; i3 ii4 iii2 iv1; i1 ii2 iii3 iv4; कण्टकारीफलम् कदलीफलम् अंशुमतीफलम् त्रपुसः अतिबृहत्फलम् कट; सुमेलयतु  i1 ii2 iii3 iv4; i2 ii1 iii4 iv3  यतः एतेषां पदार्थानां स्वरूपमेव तादृशम्; सम्यक् उत्तरम् इदम्  i4 ii1 iii3 iv2

विवरणम्
i कण्टकारीफलम्  कट्फलः ; सम्यक् उत्तरम् अस्ति

i2 ii1 iii3 iv4

अर्थात्
i कण्टकारीफलम्  2 त्; i2 ii1 iii3 iv4"
194	दशाङ्गुलं निम्नेषु कस्य पर्यायः अस्ति?	खर्बूजस्य	कदलीफलस्य / पनसस्य / कालिन्दसस्य / खर्बूजस्य	"दशाङ्गुलं खर्बूजस्य पर्यायः अस्ति; उत्तरम् कदलीफलस्य

कदलीफलम् केला दशाङ्गुलस्य पर्यायः अस्ति आयुर्वेदे कदलीफलस्य एकं नाम दशाङ्गुलम् अपि भवति यतः तस्य आकारः प्रायः दश अङ्गुलानां समानः भवति; कालिन्दसस्य

कालिन्दसः यमस्य अपरं नाम अस्ति यस्य दश मुखानि सन्ति; कदलीफलस्य; कालिन्दसस्य

कालिन्दसः यमुनानद्याः अन्यत् नाम अस्ति यमुनायाः दशाङ्गुला इति अपि पर्यायः अस्ति; दशाङ्गुलं कदलीफलस्य पर्यायः अस्ति; कालिन्दसस्य; खर्बूजस्य; पनसस्य; कालिन्दसस्य 

कालिन्द्याः पुत्रः अर्थात् यमुनायाः पुत्रः  कालिन्दसः इति कथ्यते यमुनायाः पुत्रः दशग्रीवः इति प्रसिद्धम् दशग्रीव; दशाङ्गुलम् इति कदलीफलस्य पर्यायः अस्ति"
195	किं फलं शुष्कम् एव श्रेष्ठम् अस्ति?	सर्वेषाम्	द्राक्षायाः / बिल्वस्य / हरितक्याः / सर्वेषाम्	"द्राक्षायाः; सर्वेषाम्; हरितक्याः; उत्तरम् सर्वेषाम्

आयुर्वेदे विभिन्नानां फलानां शुष्करूपाणि स्वस्वगुणैः महत्त्वपूर्णानि सन्ति द्राक्षा बिल्वं हरीतकी  एतानि सर्वाणि शुष्करूपेण विशेषगुणयुक्तानि भवन्ति अतः एकस्य विशेषतया श्रेष्ठत्वं न वक्तुं शक्यते सर्वेषां शुष्कफलानां स्वकीयं महत्त्वम् अस्ति; सर्वेषाम्   त्रयाणां समवायेन त्रिफला इति औषधं सिद्ध्यति; सर्वेषाम्  त्रिफलायाः रूपेण एतेषां महान् औषधीयगुणः अस्ति; सर्वेषाम्

शुष्कफलानां महत्त्वम् अस्ति द्राक्षा बिल्वम् हरीतकी  एतानि सर्व; सर्वेषाम्  सर्वे एव आरोग्याय श्रेष्ठाः; श्रेष्ठम्"
196	पुष्पफलं तथा दधिफलं कस्य पर्यायौ स्तः?	कपित्थफलस्य		"पाटला; question पुष्पफलं तथा दधिफलं कस्य पर्यायौ स्तः answer किराततिक्तस्य question पुष्पफलं तथा दधिफलं कस्य पर्याय; कपित्थः; कदलीफलस्य; question पुष्पफलं तथा दधिफलं कस्य पर्यायौ स्तः answer कपित्थस्य question पुष्पफलं तथा दधिफलं कस्य पर्यायौ स; पुष्पफलं तथा दधिफलं कदल्याः केलस्य पर्यायौ स्तः; रामफलस्य

रामफलम् इति फलस्य नाम सीताफलम् इति अपि ज्ञायते एतस्य पर्यायवाचिनामसु प; पाटलायाः; शिवस्य 

शिवस्य पूजार्थं पुष्पफलं दधिफलं च अर्प्यते; वाताप्रम्; question पुष्पफलं तथा दधिफलं कस्य पर्यायौ स्तः answer कपित्थस्य choices nan question पुष्पफलं तथा दधिफलं कस्य; पाटल्याः; कूष्माण्डम्; पुष्पफलं तथा दधिफलं कदलीफलं पर्यायौ स्तः; कपित्थस्य; आरग्वधः; पुष्पफलं तथा दधिफलं पाटलायाः पर्यायौ स्तः; श्योनाकस्य; कूष्माण्डस्य; पुष्पफलं  मातुलुङ्गम्  
दधिफलं  नारङ्गम्; श्रीरामस्य  रामस्य वनवासकाले सीतामातुः भरणपोषणार्थम्  एते पदार्थाः  आनीयन्ते स्म; नारिकेलस्य; पुष्पफलस्य पर्यायो नारङ्गः दधिफलस्य पर्यायो आम्रः; पुष्पफलं तथा दधिफलं कदलीफलस्य पर्यायौ स्तः; श्रीरामस्य  सीतास्वयंवरस्य विवरणे शिवधनुषः भङ्गेन परितुष्टः परशुरामः श्रीरामं “पुष्पफलदधिफल” इति सम्बोधयति; कदली; पुष्पफलं च दधिफलं च पर्यायौ अमृतफलस्य स्तः"
201	द्राक्षायाः आकारः कः अस्ति?	गोस्तनसमः	गोमुखसमः / गोस्तनसमः / गोखुरसदृशः  / गवां वर्णेन समानम्	"गोस्तनसमः  द्राक्षाफलानि गवां स्तनानाम् आकारेण सदृशानि भवन्ति; गोमुखसमः; गोस्तनसमः

द्राक्षाफलं गोस्तनाकारकं भवति; गोखुरसदृशः; गोस्तनसमः"
202	खर्जूरः अधस्तनेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	स्वल्पखर्जूरस्य / पिण्डखर्जूरस्य / स्रोतःखर्जूरस्य / सर्वेषाम्	"स्वल्पखर्जूरस्य; सर्वेषाम्   एते सर्वे शब्दाः खर्जूरानां प्रकाराः सन्ति न तु पर्यायाः; सर्वेषाम्; स्रोतःखर्जूरस्य; उत्तरम् पिण्डखर्जूरस्य; पिण्डखर्जूरस्य; सर्वेषाम्  

कथम् खर्जूरः नाम खर्जूर्वृक्षस्य फलम् अधस्तनेषु पदेषु स्वल्पः पिण्डः स्रोतः इति विशेषणपदानि खर्जूरस्य सामान्य"
203	सुलेमानी कस्य पर्यायः अस्ति?	पिण्डखर्जूरस्य		"सुलेमानीस्य पर्यायः ताम्र अस्ति; सुलेमानीस्य पर्यायः कासिसः; question सुलेमानी कस्य पर्यायः अस्ति answer सुलेमानी कस्य पर्यायः अस्ति; विडम्; हनुमतः; सुलेमानी सीतायाः पर्यायः अस्ति; चक्रमर्दः; वज्रम्  सुग्रीवस्य भ्रात्रा बालीना एतत् धार्यते स्म; सुलेमानीस्य पर्यायः शिलाजतु; सुलेमानी इति पर्यायः नास्ति; क्षमस्व सन्दर्भेषु सुलेमानी शब्दः न दृश्यते अतः एतस्य प्रश्नस्य उत्तरं द; वज्रम्  सुग्रीवस्य भ्राता बली नाम वज्रधरः इति ख्यातः आसीत् तस्य आयुधनाम अपि वज्रम् आसीत्; सुलेमानी स्यात्; सुलेमानीस्य पर्यायः विजया अस्ति; सुलेमानीस्य पर्यायः अतिविषा; क्षमस्व सुलेमानी शब्दः दत्तेषु सन्दर्भेषु न दृश्यते अतः तस्य पर्यायं निश्चेत; वज्रम्  इन्द्रस्य आयुधत्वात् सुग्रीवस्य आयुधम् अपि तदेव इति गृह्यते; उत्तरम् सुलेमानी शब्दः अश्वगन्धायाः पर्यायः अस्ति; सुलेमानी कस्य पर्यायः अस्ति; सूर्यपर्यायनामकम्; सुलेमानीस्य पर्यायः रजत इति; तापसः; कट्फलः; हिङ्गुलम्; हनूमतः; सुलेमानी कस्य पर्यायः अस्ति

उत्तरः हरीतकी; सुलेमानी कस्य पर्यायः अस्ति

उत्तरम् किराततिक्तः; हिङ्गुलस्य; सुलेमानी कस्य पर्यायः अस्ति

उत्तरः वज्रम्; सुलेमानी इति चक्रमर्दस्य पर्यायः अस्ति; सुलेमानी रङ्गस्य पर्यायः अस्ति; सुलेमानी पर्यायः नास्ति; सुलेमानी इति शब्दः हनूमतः पर्यायः अस्ति रामायणे हनुमान् सुलेमान् इति नाम्ना अपि ज्; सुलेमानीस्य पर्यायः शुल्वम् अस्ति; सुलेमानी कस्य पर्यायः अस्ति

उत्तरम् सुलेमानी का पर्याय है सुलेमानी; सुलेमानी शब्दः रावणस्य पर्यायः अस्ति रामायणे रावणः दशाननः लङ्केश्वरः पुलस्त्य; सुग्रीवस्य"
204	नेत्रोपमफलं कस्य पर्यायः अस्ति?	वातदस्य		"कपित्थः; काकनासा; question नेत्रोपमफलं कस्य पर्यायः अस्ति answer काकनासा choices nanquestion नेत्रोपमफलं कस्य पर्यायः अस्ति answer; मेषलोचनः; कपिम्पानाम्  इदं फलं हनुमता दृष्टं लंकायाम्; धत्तूरः; नेत्रोपमफलस्य पर्यायः बिल्वफलम्; चक्रमर्दः; बदरीफलम्; लोध्रः; question नेत्रोपमफलं कस्य पर्यायः अस्ति answer धात्रीफलं question नेत्रोपमफलं कस्य पर्यायः अस्ति answer धात्र; वातादः; विभीतकस्य; नेत्रोपमफलस्य पर्यायः अस्ति; उत्तरम् आमलक्याः; नेत्रोपमफलं शब्दस्य पर्यायः बदरी अस्ति

बदरी वृक्षस्य फलं नेत्रसदृ; किराततिक्तः; विभीतकः; नेत्रोपमफलं बिल्वस्य पर्यायः अस्ति बिल्वफलं नेत्राकारं भवति अतः तत् नेत्रोप; क्षीरिकायाः; नेत्रोपमफलं बदरीफलस्य पर्यायः अस्ति बदरीफलं जujube फलम् नेत्राकारं भवति अतः त; नेत्रोपमफलस्य पर्यायः बिल्वफलम् अस्ति; कपित्थस्य  कपित्थफलस्य नेत्रसदृशत्वात्; सोमा; अटरूषः; कदलीफलं; कपित्थस्य  नेत्ररोगेभ्यः; आमलकम्; बिल्वफलम्; कदली"
205	मुष्टिप्रमाणं बदरं च कस्य फलस्य नामनी इति? 	सेवस्य		"उत्तरम् आम्रस्य

मुष्टिप्रमाणं मुष्टि के आकार का और बदरं बेर ये दोनों आम फल के नाम हैं आयुर्वेद में आम को इन नामों से भी जाना जाता है; रामस्य; नारिकेलाम्रस्य; रामायणे उल्लिखितानि बिल्वफलानि मुष्टिप्रमाणानि बदराणि च स्तः अतः मुष्टिप्रमाणं; कट्फलः; सिवितिका; कपित्थफलस्य  

कपित्थफलं मुष्टिप्रमाणं भवति ; टुण्टुकस्य; विभीतकस्य; गुडलम्; कर्कन्धुः; बिल्वफलस्य

बिल्वफलस्य बेल फल द्वे नामनी रामायणे उल्लिखिते  मुष्टिप्रमाणं; इक्षोः; सौवीरम्; सेवम्; कुटजबीजम्; सेवं; जम्बूफलस्य; question मुष्टिप्रमाणं बदरं च कस्य फलस्य नामनी इति  choices nanquestion मुष्टिप्रमाणं बदरं च कस्य फलस्य नामनी इति  choices; मुष्टिप्रमाणं बदरं च आमलकफलस्य नामनी स्तः; बिल्वस्य  बिल्ववृक्षस्य फलं बदरीति नाम्ना प्रसिद्धम्; कुटजबीजस्य; आमलकी; बिल्वस्य

बिल्वफलं मुष्टिप्रमाणं भवति तस्य अपरं नाम बदरमपि अस्ति; आरग्वधस्य; सेवं सिवितिकाफलम्; बदरस्य; जुजुबम्; सिवितिकाफलम्; मुष्टिप्रमाणं बदरं च कस्य फलस्य नामनी

अश्वत्थस्य; मुष्टिप्रमाणं बदरं च कस्य फलस्य नामनी इति  इमौ द्वौ नामौ बदरफलस्य; कदली"
209	किं फलं शुष्कम् अधिकगुणकरम् अस्ति?	सर्वे	बिल्वः / द्राक्षाः / हरीतकी / सर्वे	"द्राक्षाः; हरीतकी

उत्तरस्य कारणम् हरीतकी त्रिदोषशामकं रसायनं चक्षुष्यं मेधाकरं च औ; सर्वे; हरीतकी

सर्वेभ्यः शुष्कफलेभ्यः हरीतकी अधिकगुणकरी भवति आयुर्वेदे हरीतक; हरीतकी; सर्वे 

सर्वे त्रयः शुष्काः फलाः अधिकगुणकराः भवन्ति; सर्वे  त्रिफलायाः त्रयः अपि अंशाः गुणकराः; सर्वे  

त्रयः अपि फलानि शुष्काणि सन्ति तेषां त्रयाणाम् अपि विशिष्टाः औषधीयगुणाः सन्ति; बिल्वः"
210	कपिप्रियः, दधिफलम्, दन्तराठः च कस्य पर्यायाः सन्ति?	कपित्थस्य		"गजपिप्पली; कपिप्रियः दधिफलम् दन्तराठः च कदलीफलस्य पर्यायाः सन्ति; कपित्थः; question कपिप्रियः दधिफलम् दन्तराठः च कस्य पर्यायाः सन्ति answer कपिप्रियः दधिफलम् दन्तराठः च कैथक; अम्रातकः; question कपिप्रियः दधिफलम् दन्तराठः च कस्य पर्यायाः सन्ति answer कपिप्रियः दधिफलम् दन्तराठः च काकमाच; हनूमतः बलशालित्वात् दधिफलप्रियत्वात् रावणस्य लंकां दग्धवान् इति च हेतोः; वाकुची; हनुमतः; कदल्याः; कट्फलः; नारिकेलस्य

नारिकेलस्य पर्यायाः एते सन्ति
 कपिप्रियः वानरैः प्रियः
 दधिफल; दन्तशठः; हरीतक्याः; चक्रमर्दः; उत्तरम् कदल्याः

कपिप्रियः दधिफलम् दन्तराठः इति त्रयः शब्दाः कदल्याः केळस्य पर्यायवाचकाः सन्ति कदली संस्कृते केळफलस्य नाम अस्ति; हनूमतः; कपिप्रियः दधिफलम् दन्तराठः च चक्रमर्दस्य पर्यायाः सन्ति; question कपिप्रियः दधिफलम् दन्तराठः च कस्य पर्यायाः सन्ति answer कपित्थस्य question कपिप्रियः दधिफलम्; कपित्थस्य; उत्तरम् आम्रस्य; कदलीफलस्य केलस्य पर्यायाः सन्ति एते

कपिप्रियः वानरप्रियः दधिफलम् दधिसदृ; अरे; दन्ती; कपिप्रियः दधिफलम् दन्तराठः च हरितालस्य पर्यायाः सन्ति; अनारम्बः; हनुमान्; बकुची"
