ID	QUESTION	ANSWER	CHOICES	gpt-4o	mistral-large-latest	llama-v3p1-405b-instruct	gemini-1.5-pro	claude-3-5-sonnet-20240620	gpt-4o-mini	gpt-3.5-turbo	gemini-1.0-pro	llama-v3p1-70b-instruct	llama-v3p1-8b-instruct
177	महौषधी निम्नलिखितेषु कस्य पर्यायः अस्ति?	मण्डूकपर्ण्याः	श्रृंगवेरस्य / मण्डूकपर्ण्याः / गिलोयस्य / आमलक्याः	गिलोयस्य	श्रृंगवेरस्य	गिलोयस्य	"**गिलोयस्य** 

गिलोयः महौषधिः इति प्रसिद्धम्"	गिलोयस्य	महौषधी इति शब्दस्य पर्यायः गिलोयस्य अस्ति	गिलोयस्य पर्यायः तिण्तिका अस्ति	गिलोयस्य	महौषधी इत्युक्ते गिलोयस्य पर्यायः अस्ति	अमृता
178	पुष्पवर्गे सर्वप्रथमं कस्य द्रव्यस्य वर्णनं कृतम् अस्ति?	कमलस्य	कमलस्य / गुलाबस्य / चमेल्याः / जूह्याः	कमलस्य	कमलस्य	पुष्पवर्गे सर्वप्रथमं कमलस्य द्रव्यस्य वर्णनं कृतम् अस्ति	**जीवन्त्याः**	पुष्पवर्गे सर्वप्रथमं चमेल्याः वर्णनं कृतम् अस्ति	कमलस्य	पुष्पवर्गे सर्वप्रथमं कमलस्य द्रव्यस्य वर्णनं कृतम् अस्ति कमलं	कमलस्य	कमलस्य	कमलस्य
179	तुलसी निम्नलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	बहुमञ्जर्याः / अपेतराक्षस्याः / भूतघ्न्याः / सर्वेषाम्	भूतघ्न्याः	भूतघ्न्याः	सर्वेषाम्	"**सर्वेषाम्** 

तुलसी बहुमञ्जर्या, अपेतराक्ष्या, भूतघ्नी च भवति"	सर्वेषाम्	तुलसी सर्वेषाम् पर्यायः अस्ति	तुलसीः सर्वेषाम् पर्यायः अस्ति	सर्वेषाम्	तुलसी बहुमञ्जर्याः पर्यायः अस्ति	तुलसी - अपेतराक्षस्याः
180	देवदुन्दुभिः निम्नलिखितेषु कस्य पर्यायः अस्ति?	तुलस्याः	धतूरस्य / कर्पूरस्य / तुलस्याः / पीपलस्य	धतूरस्य	तुलस्याः	धतूरस्य	**धतूरस्य**	कर्पूरस्य	धतूरस्य	तुलस्याः देवदुन्दुभिः पर्यायः अस्ति तुलस्याः अन्तर्गतं देवद	वृषः	देवदुन्दुभिः तुलस्याः पर्यायः अस्ति	देवदुन्दुभिः = तुलस्याः
184	गर्भपातनः निम्नलिखितेषु कस्य पर्यायः अस्ति?	अरिष्टकस्य	अरिष्टकस्य / लाङ्गल्याः / टङ्कणस्य / उलट्कालिकस्य	लाङ्गल्याः	टङ्कणस्य	लाङ्गल्याः	"**अरिष्टकस्य** 

अरिष्टकः गर्भपातनस्य औषधत्वेन प्रसिध्दः"	लाङ्गल्याः	गर्भपातनः अरिष्टकस्य पर्यायः अस्ति	"गर्भपातनं चतुर्विधं भवति तेषां पर्यायः ""उलट्कालिकस्य"" इति भ"	## गर्भपातनः अरिष्टकस्य पर्यायः अस्ति	गर्भपातनः लाङ्गल्याः पर्यायः अस्ति	अरिष्टकस्य
186	मोचरसः निम्नेषु कस्य निर्यासः अस्ति?	शाल्मल्याः	शाल्मल्याः / श्ल्लक्याः / गुञ्जुलस्य / शिग्रोः	शाल्मल्याः	गुञ्जुलस्य	शाल्मल्याः	"**गुञ्जुलस्य** 

मोचरसः गुञ्जुलवृक्षस्य निर्यासः अस्ति"	मोचरसः शाल्मल्याः निर्यासः अस्ति	मोचरसः शाल्मल्याः निर्यासः अस्ति	गुञ्जुलस्य निर्यासः मोचरसः अस्ति गुञ्जुलस्य रसं शोधनं करो	गुञ्जुलस्य	मोचरसः श्ल्लक्याः निर्यासः अस्ति	शाल्मल्याः
187	सुमेलयतु i. स्थूलवल्कलम्       1. सप्तपर्णम्  ii. बहुलवल्कलम्      2. भूर्जपत्रम्  iii. विशालत्वक्      3. कट्फलः  iv. सोमवल्कलम्        4. लोध्रम्	i-4, ii-2, iii-1, iv-3	i-1, ii-2, iii-3, iv-4 / i-2, ii-1, iii-3, iv-4 / i-4, ii-2, iii-1, iv-3	i-2, ii-1, iii-3, iv-4	"सुमेलयतु:
i सप्तपर्णम्
ii भूर्जपत्रम्
iii कट्फलः
iv लोध्रम्"	i-2, ii-1, iii-3, iv-4	"**i-4, ii-2, iii-1, iv-3** 

**कथम्?**  एतेषां वृक्षाणां  वल्कलविशेषगुणानां कारणात्"	"स्थूलवल्कलम् - लोध्रम्
बहुलवल्कलम् - भूर्जपत्रम्
विशालत्वक् - सप्तपर्णम्"	"सुमेलयतु: i-1, ii-2, iii-3, iv-4 

अतः उत्तरम्: i-1, ii-2, iii-3, iv-4"	i-4, ii-2, iii-1, iv-3	i-3, ii-4, iii-2, iv-1	i-2, ii-1, iii-3, iv-4	i-2, ii-1, iii-3, iv-4
188	सुमेलयतु - i. आमाम्रफलम्      1. वातहरम् श्लेष्मशुक्रवर्धनम् ii. शुष्कामाम्र फल    2. वातहरम् पित्तप्रकोपनम्  iii. पक्वाम्रफलम्       3. वातपित्तकृत्  iv. वृक्षपक्वाम्रफलम्  4. कफवातजित्	i-3, ii-4, iii-1, iv-2	i-3, ii-1, iii-4, iv-2 / i-1, ii-2, iii-3, iv-4 / i-1, ii-3, iii-4, iv-2 / i-3, ii-4, iii-1, iv-2	i-3, ii-1, iii-4, iv-2	अस्ति	i-3, ii-1, iii-4, iv-2	i-1, ii-3, iii-4, iv-2  यतो दोषधर्म-आहारगुण-सिद्धान्तानुसारम् एवमेव गुणाः सन्ति	"i-3, ii-1, iii-4, iv-2

आयुर्वेदानुसारं सुमेलनम् एवम् भवति:
i आमाम्रफलम् - 3 व"	"सुमेलयतु - i-1, ii-2, iii-3, iv-4 

आमाम्रफलम् - वातहरम् श्लेष्मशुक्रवर्धनम्  
शुष्कामाम्र फल - वातहरम् पित्तप्रकोपनम्  
प"	i-3, ii-1, iii-4, iv-2	"i-1, ii-2, iii-3, iv-4

फलानि पञ्चविधानि -
1 पक्वम् - आमपाकविशिष्टम्
2 पाकम् - आमपाकशेषयुक्तम्
3 कच्‍"	i-1, ii-2, iii-3, iv-4	i-1, ii-2, iii-3, iv-4
190	आम्रावर्तः कस्मात् भागात् भवति?	आम्ररसात्	आम्ररसात् / आम्रत्वचः / आम्रफलात् / आम्रपुष्पात्	आम्रपुष्पात्	आम्ररसात्	आम्रावर्तः आम्रफलात् भवति	"**आम्रफलतः** 

आम्रफलस्य पक्वस्य रसस्य शोषणेन आम्रावर्तः निर्मितः भवति"	आम्रफलात्	आम्रफलात्	आम्रावर्तः आम्रफलात् भवति आम्रफलं स्वादुः रसयुक्तं फलं अस्त	आम्रपुष्पात्	आम्रावर्तः आम्रफलात् भवति	आम्रावर्तः आम्रफलात् भवति
192	अशुमतीफलं निम्नेषु कस्य पर्यायः अस्ति?	कदल्याः	कदल्याः / आम्रस्य / नारिकेलस्य / कालिन्दसस्य	कदल्याः	नारिकेलस्य	कदल्याः	**नारिकेलस्य**	आम्रस्य	अशुमतीफलं कदल्याः पर्यायः अस्ति	नारिकेलस्य् अशुमतीफलं पर्यायः अस्ति	अशुमतीफलं नारिकेलस्य पर्यायः अस्ति	कदल्याः	अशुमतीफलं निम्नेषु कस्य पर्यायः अस्ति? कदल्याः
193	सुमेलयतु - i. कण्टकारीफलम्           1. कदलीफलम्  ii. अंशुमतीफलम्       2. त्रपुसः  iii. अतिबृहत् फलम्    3. नारिकेलः iv. स्कन्धफलम्         4. कट्फलः	i-2, ii-1, iii-4, iv-3	i-2, ii-1, iii-4, iv-3 / i-1, ii-2, iii-3, iv-4 / i-1, ii-3, iii-4, iv-2 / i-3, ii-4, iii-2, iv-1	i-3, ii-4, iii-2, iv-1	सः	i-1, ii-2, iii-3, iv-4	i-2, ii-1, iii-4, iv-3   यतोऽन्येषां नामानि तत्तत्फलेभ्यः भिन्नानि	i-4, ii-2, iii-3, iv-1	"समानयतु - i-1, ii-3, iii-4, iv-2

अर्थात् कण्टकारीफलम् - कदलीफलम्, अंशुमतीफलम् - नारिकेलः, अतिबृहत् फलम् - कट्फलः, स्क"	i-1, ii-2, iii-3, iv-4	"सुमेलन:

i - 2 -  अंशुमतीफलम्, त्रपुसः 
ii - 1 - कण्टकारीफलम्, कदलीफलम्
iii - 4 - अतिबृहत् फलम्, स्कन्धफलम्
iv -"	i-1, ii-2, iii-3, iv-4	i-2, ii-1, iii-4, iv-3
194	दशाङ्गुलं निम्नेषु कस्य पर्यायः अस्ति?	खर्बूजस्य	कदलीफलस्य / पनसस्य / कालिन्दसस्य / खर्बूजस्य	कालिन्दसस्य	खर्बूजस्य	कदलीफलस्य	"**कालिन्दसस्य** 

कालिन्दसः इति शब्दः जम्बूवृक्षस्य पर्यायः अस्ति दशाङ्गुलं जम्बूवृक्षस्य फलं अस्ति"	कदलीफलस्य	दशाङ्गुलं निम्नेषु कस्य पर्यायः अस्ति? - खर्बूजस्य	कदलीफलस्य् दशाङ्गुलं पर्यायः अस्ति	पनसस्य	दशाङ्गुलं निम्नेषु कदलीफलस्य पर्यायः अस्ति	दशाङ्गुलं कदलीफलस्य पर्यायः अस्ति
195	किं फलं शुष्कम् एव श्रेष्ठम् अस्ति?	सर्वेषाम्	द्राक्षायाः / बिल्वस्य / हरितक्याः / सर्वेषाम्	हरितक्याः	ध्राक्षायाः	द्राक्षायाः	"**सर्वेषाम्** 

सर्वेषां फलानां शुष्काणां स्वकीयाः गुणाः भवन्ति"	"हरितक्याः

कारणम् - हरितकी (हरड़) त्रिदोषशामकं, रसायनं, पथ्यं च भवति शुष्क-रूप"	द्राक्षायाः	शुष्कं द्राक्षायाः फलं श्रेष्ठमस्ति द्राक्षाफले बहुगुणं सारं,	हरितक्याः	हरितक्याः	शुष्कं फलं श्रेष्ठम् अस्ति
196	पुष्पफलं तथा दधिफलं कस्य पर्यायौ स्तः?	कपित्थफलस्य		पुष्पफलं तथा दधिफलं अमलकस्य पर्यायौ स्तः	पुष्पफलं तथा दधिफलं च पर्यायौ कपित्थस्य स्तः	कपित्थस्य	**कपित्थफलस्य**	"पुष्पफलं तथा दधिफलं नागबलायाः पर्यायौ स्तः

नागबला एकं महत्त्वपूर्णम् आयुर्वे"	पुष्पफलम् तथा दधिफलम् आम्रफलस्य पर्यायौ सन्ति	पुष्पफलं तथा दधिफलं द्राक्षाफलस्य पर्यायौ स्तौ द्राक्षाफलं त	"दधिफलं तथा पुष्पफलं द्वयोः पर्यायौ स्तः

* दधिफलं नाम कर्कटीफलम्
* पुष्पफलं नाम कर्कटीफलम्"	पुष्पफलं तथा दधिफलं आम्रफलस्य पर्यायौ स्तः	"पुष्पफलं = पुष्पम् + फलम्
दधिफलं = दधि + फलम्
अतः पर्यायौ = पुष्पफलं = दधिफलं"
201	द्राक्षायाः आकारः कः अस्ति?	गोस्तनसमः	गोमुखसमः / गोस्तनसमः / गोखुरसदृशः  / गवां वर्णेन समानम्	गोस्तनसमः	गोमुखसमः	गोस्तनसमः	**गोस्तनसमः**  द्राक्षायाः आकारः गोः स्तनस्य आकारेण सदृशः भवति	गोस्तनसमः	द्राक्षायाः आकारः गोमुखसमः अस्ति	द्राक्षायाः आकारः गोस्तनसमः अस्ति	गोमुखसमः	गोमुखसमः	गोमुखसमः
202	खर्जूरः अधस्तनेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	स्वल्पखर्जूरस्य / पिण्डखर्जूरस्य / स्रोतःखर्जूरस्य / सर्वेषाम्	स्वल्पखर्जूरस्य	स्वल्पखर्जूरस्य	खर्जूरः अधस्तनेषु सर्वेषाम् पर्यायः अस्ति	**सर्वेषाम्**	पिण्डखर्जूरस्य	पिण्डखर्जूरस्य	खर्जूरः अधस्तनेषु सर्वेषां पर्यायः अस्ति खर्जूरस्य वनस्पत	सर्वेषाम्	स्वल्पखर्जूरस्य	स्वल्पखर्जूरस्य पर्यायः स्वादु अस्ति
203	सुलेमानी कस्य पर्यायः अस्ति?	पिण्डखर्जूरस्य		कासिसः	सुलेमानी पर्यायः विडंगम्	सुलेमानी कस्य पर्यायः अस्ति? सुलेमानी कस्य पर्यायः अस्ति?	हरितालम्	सुलेमानी इति शब्दः मयूरशिखायाः पर्यायः अस्ति मयूरशिखा एका औषधीय वनस्पतिः अस्ति	"सुलेमानी इति शब्दस्य पर्यायः ""सुलैमान"" अस्ति"	"सुलेमानी शब्दस्य पर्यायः ""नन"" इति अस्ति इत्थम् उत्तरं दत्तं अस"	चाय	सुलेमानी कस्य पर्यायः अस्ति? सुलेमानी त्रिफलायाः पर्यायः अस्ति	सुलेमानी = सुलेमान
204	नेत्रोपमफलं कस्य पर्यायः अस्ति?	वातदस्य		"नेत्रोपमफलं पर्यायः ""आमलकम्"""	आमलकम्	नेत्रोपमफलस्य पर्यायः नागफलम् अस्ति	आमलकी  नेत्रसमृद्धिहेतुत्वात्	आमलकस्य आमलकी वा आँवला इति लोके प्रसिद्धं फलम् नेत्रोपमफलम् इति संस्कृते कथ्यते	नेत्रोपमफलं कस्य पर्यायः अस्ति? - नयनोपमफलम्	"नेत्रोपमफलं इन्द्रियाणि उपमानं भवन्ति तस्य पर्यायः अस्ति ""चक्ष"	आयुरवेदः कथयति नारिकेलम्	नेत्रोपमफलस्य पर्यायः आम्रफलम् अस्ति	नेत्रोपमफलं = नेत्रोपमफलं = नेत्रोपमफलं = नेत्रोपमफलं = नेत्रोपमफलं = नेत्रोपमफलं = नेत्रोपमफलं = न
205	मुष्टिप्रमाणं बदरं च कस्य फलस्य नामनी इति? 	सेवस्य		लवणम्	अमलकम्	मुष्टिप्रमाणं बदरं च कस्य फलस्य नामनी इति?  इमौ द्वौ नामौ आमलकस्य फलस्य नामनी स्तः	"हरीतकी | 

मुष्टिप्रमाणत्वात् बदरसादृश्याच्च"	"कोलफलस्य

मुष्टिप्रमाणं तथा बदरं कोलफलस्य नामनी स्तः कोलफलं जुजुबे इत्यप"	"मुष्टिप्रमाणं बदरं च फलं तु ""वरुणफलम्"" इति ज्ञायते"	"मुष्टिप्रमाणं बदरं च कस्य फलस्य नामनी इति?  
उत्तरं: बदरः अमलक"	भीमसेन फलं	मुष्टिप्रमाणं बदरं च कस्य फलस्य नामनी इति? अमृतफलस्य	मुष्टिप्रमाणं बदरं च कस्य फलस्य नामनी? - पलाशफलस्य
209	किं फलं शुष्कम् अधिकगुणकरम् अस्ति?	सर्वे	बिल्वः / द्राक्षाः / हरीतकी / सर्वे	हरीतकी	द्राक्षाः	हरीतकी	"**द्राक्षाः** 

**कथम्?**  शुष्कीभावात् द्राक्षा गुणाधिक्यं प्राप्नुवन्ति"	हरीतकी	हरीतकी	बिल्वः फलं शुष्कं अधिकगुणकरं अस्ति अस्य गुणाः प्रवृद्ध	सर्वे, अथवा सर्वाः त्रयाणां फलानां पृथक् गुणाः सन्ति, ये परस्परं पूरयन्ति यथा - बिल्वः कफपित्तकरः, द्राक्षाः हृद्यरोगप्र	हरीतकी	बिल्वः
210	कपिप्रियः, दधिफलम्, दन्तराठः च कस्य पर्यायाः सन्ति?	कपित्थस्य		कदली	आम्रम्	दाडिमस्य	**पित्त**स्य	नारिकेलस्य	कपिप्रियः, दधिफलम्, दन्तराठः च आम्रस्य (आम्रकस्य) पर्यायाः सन्ति	"कपिप्रियः = आञ्जन्यः
दधिफलम् = चिरभक्ष्यं
दन्तराठः = पलाण्डु"	अमृताः	कपिप्रियः, दधिफलम्, दन्तराठः च आम्रफलस्य पर्यायाः सन्ति	कपिप्रियः - कापूर, केसर, केसरफूल, केसरवृक्ष, केसरवृक्षमूल, केसरवृक्षफल, केसरवृक्षफलमूल, केसर
211	त्वक्सुगन्धः मुखप्रियश्च कस्य पर्यायौ स्तः?	नारङ्गिकायाः		चन्दनस्य	एलादी	दालचीनीचूर्णस्य	**एला**	मधु	त्वक्सुगन्धः मुखप्रियश्च चन्दनस्य पर्यायौ स्तः	त्वक् (त्वचा) और सुगन्धः मुखप्रियः एव	तुलसी	त्वक्सुगन्धः मुखप्रियश्च कस्य पर्यायौ स्तः? इति प्रश्नस्य उत्तरम् अस्ति - गन्धसारस्य	त्वक्सुगन्धः मुखप्रियश्च कस्य पर्यायौ स्तः? - त्वक्सुगन्धः मुखप्रियश्च कस्य पर्यायौ स्तः? - त्वक्सुगन्धः मुख
212	भावप्रकाशः स्वादानुसारं दाडिमस्य फलानि  कतिविधानि उक्तवान्?	३		षट्	पञ्च	दाडिमस्य फलानि त्रिविधानि	षट्‌   दाडिमस्य रसानां वैशिष्ट्यात्	"भावप्रकाशानुसारं दाडिमफलानि त्रिविधानि उक्तानि तानि च -

1 मधुरम्
2 अम्लम्
3 म"	भावप्रकाशे दाडिमस्य फलानि चतुर्विधानि उक्तानि - मधुर, तिक्त, कटु, सौर	स्वागतम् दाडिमस्य फलानि द्विविधानि उक्तानि तानि हन्ति रक्तफल	षट्	दाडिमस्य फलानि त्रिविधानि उक्तवान्	दाडिमफलानां प्रायः पञ्च विधानि भवन्ति
213	पयःप्रसादी अधस्तनेषु कस्य पर्यायः अस्ति?	कतकस्य	द्राक्षायाः / परूषकस्य / कतकस्य/ शहतूतस्य	परूषकस्य	परूषकस्य	द्राक्षायाः	"**कतकस्य**  

कतकस्य शीतवीर्यत्वात् पित्त-कफप्रकृतिषु दुग्धमेदःशमनाय अस्य प्रयोगः"	कतकस्य	पयःप्रसादः द्राक्षायाः पर्यायः अस्ति	पयःप्रसादी अधस्तनेषु द्राक्षायाः पर्यायः अस्ति द्राक्षायाः = अन	द्राक्षायाः	द्राक्षायाः	पयःप्रसादी अधस्तनेषु परूषकस्य पर्यायः अस्ति
215	पञ्चाम्ले चतुराम्लादतिरिक्तं किं द्रव्यं भवति?	बीजपूरः 		लवणम्	लवणम्	आमलकी	"**लवणम्** 

पञ्चाम्लेषु चत्वारि आम्लानि ( आमलकी, हरितकी, विभीतकी, आँवला ) फलानि भवन्ति, पञ्चमं तु **लवणम्**"	पञ्चाम्ले चतुराम्लादतिरिक्तं द्रव्यं दाडिमम् भवति	पञ्चाम्लं चतुराम्लात् अद्रव्यं शीतलम् अस्ति	पञ्चाम्लं चतुराम्लानि च पञ्चैतानि द्रव्याणि भवन्ति चतुराम्ल	गुडुची	पञ्चाम्ले चतुराम्लादतिरिक्तं द्रव्यं दधि भवति	पञ्चाम्ले चतुराम्लादतिरिक्तं द्रव्यं शार्करा
216	भावप्रकाशे कति धातवः उक्ताः?	७		द्वादश	सप्त	७ धातवः	षोडश	भावप्रकाशे सप्त धातवः उक्ताः	भावप्रकाशे एकादश धातवः उक्ताः	भावप्रकाशे एकशतं धातवः (100 धातवः) उक्ताः अस्ति	शतं च षट् च	भावप्रकाशे सप्तधातवः उक्ताः	भावप्रकाशे १० धातवः उक्ताः
217	अग्निदेवस्य वीर्यात् कः धातुः उत्पन्नः?	स्वर्णम्		स्वर्णम्	पित्तम्	पित्तं	पित्तम्	"पित्तम्

अग्निदेवस्य वीर्यात् पित्तधातुः उत्पन्नः इति आयुर्वेदे वर्णितम् अग्नि"	अग्निदेवस्य वीर्यात् तेजसः धातुः उत्पन्नः	अग्निदेवस्य वीर्यात् रजः धातुः उत्पन्नः	स्वर्णम्	अग्निदेवस्य वीर्यात् पित्तधातुः उत्पन्नः	अग्निदेवस्य वीर्यात् लोहक्षयः उत्पन्नः
218	कृत्रिमस्वर्णस्य उत्पत्तिः कस्मात् द्रव्यात् भवति?	पारदस्य वेधनात्	हिङ्गुलात् / पारदस्य वेधनात् / शिलाजतोः / स्वर्णमाक्षिकात्	पारदस्य वेधनात्	पारदस्य वेधनात्	पारदस्य वेधनात्	"**पारदस्य वेधनात्** 

पारदस्य (रसस्य) शोधन-संस्करण-प्रक्रियाभिः कृत्रिमस्वर्णस्य उत्पत्तिः भवति"	स्वर्णमाक्षिकात्	कृत्रिमस्वर्णस्य उत्पत्तिः पारदस्य वेधनात् भवति	स्वर्णस्य कृत्रिमत्वं पारदस्य वेधनात् भवति रसायनिक प्रक्रियायाः फ	पारदस्य वेधनात्	कृत्रिमस्वर्णस्य उत्पत्तिः हिङ्गुलात् भवति	हिङ्गुलात्
221	ताम्रस्य उत्पत्तिः कथं भवति?	कार्तिकेयस्य वीर्येण		ताम्रखनितः	ताम्रस्य उत्पत्तिः पृथिव्यां भवति	ताम्रस्य उत्पत्तिः प्राकृतिकरूपेण पृथ्व्यां भवति ताम्रं प्रायः अयस्कान्तर्गतं प्राप्यते, यत्र ताम्रं अन्यैः खनिजैः	भूमौ खननात्	ताम्रस्य उत्पत्तिः प्रकृतिजखनिजेभ्यः भवति खनित्वा खनिजम् उद्धृत्य, तापने	ताम्रस्य उत्पत्तिः खनिजात् (mining) क्रियया, तस्य भूगर्भात् निष्कास्यते	ताम्रस्य उत्पत्तिः अत्यन्तं प्राचीनायाम इतिहासे अस्ति ताम्रं अयस	स्वेदनम्	ताम्रस्य उत्पत्तिः प्राकृतिकरूपेण भवति	ताम्रस्य उत्पत्तिः प्राकृतिकरूपेण निर्मिता भवति ताम्र-रसायनं प्राकृतिकरूपेण पृथ्वी से निर्मित होता है
222	ताम्रस्य अनुत्कृष्टभस्मनः कति दोषाः भवन्ति?	८		दश	ताम्रस्य अनुत्कृष्टभस्मनः बहवः दोषाः भवन्ति	ताम्रस्य अनुत्कृष्टभस्मनः दोषाः अष्टादश भवन्ति	अजीर्णम् अपक्वं ताम्रं विविधान् आमाशयस्य रोगान् जनयति	ताम्रस्य अनुत्कृष्टभस्मनः पञ्च दोषाः भवन्ति	ताम्रस्य अनुत्कृष्टभस्मनः त्रयः दोषाः भवन्ति: वात, पित्त, कफ	ताम्रस्य अनुत्कृष्टभस्मनः एकदोषः भवति अतः एकदोषो भव	षट्	ताम्रस्य अनुत्कृष्टभस्मनः त्रीन् दोषाः भवन्ति	ताम्रे अनुत्कृष्टभस्मनि दोषाः पञ्च भवन्ति
223	रङ्गस्य कति भेदाः भावप्रकाशे उक्ताः?	२		षट्	भावप्रकाशे रङ्गस्य नव भेदाः उक्ताः	चत्वारिंशत्	षट्   रसैः सह भावमेलनात्	भावप्रकाशे रङ्गस्य सप्त भेदाः उक्ताः	भावप्रकाशे रङ्गस्य त्रयः भेदाः उल्लेखिताः - सत्त्व, रजस, तथा तमस	रङ्गस्य आयुर्वेदे द्वादश भेदाः उक्ताः गीता च० ६/२६ में अ	षट्	भावप्रकाशे रङ्गस्य सप्त भेदाः उक्ताः	रङ्गस्य पञ्च भेदाः भावप्रकाशे उक्ताः
224	रविप्रियः कस्य धातोः पर्यायः अस्ति? 	ताम्रस्य		माणिक्यस्य	नीलोत्पलस्य	सुवर्णस्य	ताम्रस्य	"तमालः

रविप्रियः तमालस्य पर्यायवाची शब्दः अस्ति तमालः एकः वृक्षः अस्ति यः कृष्णव"	"रविप्रियः ""सूर्य"" इत्यस्य पर्यायः अस्ति"	"रविप्रियः शब्दस्य आदिकृदन्तधातोः पर्यायः अस्ति अतः ""रव"	"रविप्रियः इति शब्दः धातुः नास्ति अपितु, सः एकः संज्ञाशब्दः अस्ति 

**रविप्रियः नाम सूर्यस्य अपरं नाम अस्ति** 

यदि “रविप्र"	रविप्रियः सूर्यस्य पर्यायः अस्ति	रविप्रियः = सूर्य
225	केभ्यः देवतेभ्यः का धातुः उत्पद्यते सुमेलितं कुरुत -  i. शिवः 1. सुवर्णम्  ii. कार्तिकेयः 2. रजतम्  iii. वासुकिः 3. ताम्रम्  iv. अग्निदेवः 4. नागः	i-2, ii-3, iii-4, iv-1	i-2, ii-3, iii-4, iv-1 / i-2, ii-3, iii-4, iv-1 / i-1, ii-3, iii-4, iv-2 / i-3, ii-4, iii-2, iv-1	i-3, ii-4, iii-2, iv-1	शिवः सुवर्णम्, कार्तिकेयः रजतम्, वासुकिः ताम्रम्, अग्निदे	i-2, ii-3, iii-4, iv-1	i-2, ii-3, iii-4, iv-1   यतः आयुर्वेदस्य मान्यतानुसारम् एवमेव धातूनाम् उत्पत्तिः देवताभ्यः सम्बद्धा वर्णिता च	"i-2, ii-3, iii-4, iv-1

यतः -
i शिवः - रजतम् (2)
ii कार्तिकेयः - ताम्रम् (3)
iii"	"सत्यं, तत्र उचितं विकल्पं अस्ति: i-1, ii-3, iii-4, iv-2 

अर्थात्:
i शिवः - सुवर्णम्  
ii कार्तिकेयः - ताम्रम्  
iii वासुकिः"	i-2, ii-3, iii-4, iv-1	"द्वितीयः विकल्पः (ii-3, iii-4, iv-1) शुद्धः अस्ति 

कार्तिकेयः - रजतम्
वासुकिः - ताम्रम्
अग्निदेवः - नागः"	i-3, ii-4, iii-2, iv-1	i-2, ii-3, iii-4, iv-1
226	लौहधातोः कति दोषाः उक्ताः?	७		सप्त	लौहधातोः त्रयः दोषाः उक्ताः	लौहधातोः त्रयोदश दोषाः उक्ताः	त्रयः  त्रिदोषप्रकोपकरत्वात्	आयुर्वेदे लौहधातोः अष्टौ (8) दोषाः उक्ताः सन्ति	लौहधातोः त्रयः दोषाः उक्ताः - वात, पित्त, कफ	लौहधातोः दोषाः षड् उक्ताः भवन्ति ते दोषाः हिमा, चर्ममाना	पञ्च	लौहधातोः दोषाः त्रयः उक्ताः	लौहधातोः दोषाः पञ्चमुखाः, द्विगुणाः, द्विगुण-द्विगुणाः, द्विगुण-द्विगुण-द्विगुणाः, द्विगुण-द्विग
227	लौहसेवनसमये त्याज्यः पदार्थः कः?	सर्वे	कूष्माण्डम् / तिलतैलम् / मद्य / सर्वे	सर्वे	मद्य	सर्वे	"**मद्य** 

मद्यम् उष्णवीर्यम्, लौहचूर्णं च उष्णवीर्यम्  अतः उभयोः सेवनेन पित्तदोषः प्रकोपं गच्छति"	मद्य	मद्यः	लौहसेवनसमये त्याज्यः पदार्थः मद्य इति	"सर्वे 

सर्वे पदार्थाः, लौह सेवनसमये त्याज्याः"	लौहसेवनसमये त्याज्यः पदार्थः सर्वे	मद्य
228	भावप्रकाशे कति उपधातवः उक्ताः सन्ति?	७		षट्	आठ	षड् उपधातवः	षट्पञ्चाशत्  भावप्रकाशे रसभेदान् षट्पञ्चाशत् उपधातवः उक्ताः	भावप्रकाशे सप्त उपधातवः उक्ताः सन्ति	भावप्रकाशे एकादश उपधातवः उक्ताः सन्ति	भावप्रकाशे ८ उपधातवः उक्ताः सन्ति	"भाव प्रकाशे चतुर्विंशतिः उपधातवः उक्ताः सन्ति 

व्याख्या
-------------

भाव प्रकाशस्य पूर्वखण्डे चिकित्सास्थाने रस औषध अध्याये उपधातवः वर्णिताः स"	भावप्रकाशे ३७ उपधातवः उक्ताः सन्ति	भावप्रकाशे १४ उपधातवः उक्ताः सन्ति
229	वितुन्नकः, शिखिग्रीवः, मयूरकः च कस्य पर्यायाः सन्ति?	तुत्थस्य		मयूरस्य	कुक्कुटः	कुक्कुटस्य	गुग्गुलोः	"मयूरस्य

एते शब्दाः - वितुन्नकः, शिखिग्रीवः, मयूरकः - सर्वे मयूरस्य पर्यायवा"	एते सर्वे पक्षिनां पर्यायाः सन्ति	एते त्रयः पशूनाम् संस्कृते नामानि उपपदानानि अस्माकम् भाषायाम	मयूरः इति	वितुन्नकः, शिखिग्रीवः, मयूरकः च कुक्कुटस्य पर्यायाः सन्ति	वितुन्नकः, शिखिग्रीवः, मयूरकः च कस्य पर्यायाः सन्ति? - वितुन्नकः, शिखिग्रीवः, मयूरकः च कस्य पर्यायाः सन्ति
