ID	QUESTION	ANSWER	CHOICES	gpt-4o	mistral-large-latest	llama-v3p1-405b-instruct	gemini-1.5-pro	claude-3-5-sonnet-20240620	gpt-4o-mini	gpt-3.5-turbo	gemini-1.0-pro	llama-v3p1-70b-instruct	llama-v3p1-8b-instruct
212	भावप्रकाशः स्वादानुसारं दाडिमस्य फलानि  कतिविधानि उक्तवान्?	३; षट्		द्विविधानि	षड्विधानि	दाडिमस्य फलानि त्रिविधानि	त्रिविधानि कषायाम्लमधुरभेदेन	"भावप्रकाशः स्वादानुसारं दाडिमस्य फलानि त्रिविधानि उक्तवान्

त्रीणि प्रकाराणि सन्"	भावप्रकाशे दाडिमस्य फलानि सप्तविधानि उक्तानि	दाडिमस्य एक्यः फलः, दाडिमं, अस्ति दाडिमस्य एक्यः विधिः, द	"षड् 
## षड्विध दारिमफलानि 

भावप्रकाशः दारिमफलानि षड्विधानी -

1 तुम्बरम्
2 कर्मठम्
3 दारिमम्
4 खद"	दाडिमस्य फलानि त्रिविधानि उक्तवान्	दाडिमफलानां प्रायः पञ्च विधानि भवन्ति
213	पयःप्रसादी अधस्तनेषु कस्य पर्यायः अस्ति?	कतकस्य	द्राक्षायाः / परूषकस्य / कतकस्य/ शहतूतस्य	परूषकस्य	द्राक्षायाः	द्राक्षायाः		कतकस्य	पयःप्रसादी इति पर्यायः द्राक्षायाः अस्ति	पयःप्रसादी अधस्तनेषु शहतूतस्य पर्यायः अस्ति	शहतूतस्य	द्राक्षायाः	पयःप्रसादी अधस्तनेषु परूषकस्य पर्यायः अस्ति
215	पञ्चाम्ले चतुराम्लादतिरिक्तं किं द्रव्यं भवति?	बीजपूरः; बीजपूरम्		लवणम्	लवणम्	आमलकी	लवणम्	"पञ्चाम्लेषु चतुराम्लेभ्यः अतिरिक्तं द्रव्यं दाडिमम् भवति

पञ्चाम्लानि"	"पञ्चाम्लस्य चतुराम्लात् अतिरिक्तं द्रव्यं ""उष्ण"" इति ज्ञायते"	पञ्चाम्लं एकं द्रव्यं अस्ति यत् तत्र पञ्च रसाः समाहिताः असन्ति	सप्तद्रव्यम्	पञ्चाम्ले चतुराम्लादतिरिक्तं द्रव्यं दधि भवति	पञ्चाम्ले चतुराम्लादतिरिक्तं द्रव्यं शार्करा
216	भावप्रकाशे कति धातवः उक्ताः?	७; सप्त		भावप्रकाशे धातवः षण्णवत्यः उक्ताः	सप्त	७ धातवः	षोड्शतम् (१६)   कारणं तु तेषां शरीरस्य निर्माणे योगदानं वर्तते	भावप्रकाशे सप्त धातवः उक्ताः	भावप्रकाशे ७० धातवः उल्लेखिताः	भावप्रकाशे अष्टाशीति धातवः उक्ताः	७००	भावप्रकाशे सप्ततिः (७०) धातवः उक्ताः	भावप्रकाशे १० धातवः उक्ताः
217	अग्निदेवस्य वीर्यात् कः धातुः उत्पन्नः?	स्वर्णम्; सुवर्णम्; स्वर्णः; स्वर्णम्		सुवर्णम्	पित्तम्	पित्तं	पित्तम्	"पित्तम्

अग्निदेवस्य वीर्यात् पित्त-धातुः उत्पन्नः इति आयुर्वेदशास्त्रे उक्तम"	"अग्निदेवस्य वीर्यात् ""तेज"" धातुः उत्पन्नः"	अग्निदेवस्य वीर्यात् चित्रकं धातुः उत्पन्नः	सोम:	पित्तधातुः	अग्निदेवस्य वीर्यात् लोहक्षयः उत्पन्नः
218	कृत्रिमस्वर्णस्य उत्पत्तिः कस्मात् द्रव्यात् भवति?	पारदस्य वेधनात्	हिङ्गुलात् / पारदस्य वेधनात् / शिलाजतोः / स्वर्णमाक्षिकात्	पारदस्य वेधनात्	पारदस्य वेधनात्	पारदस्य वेधनात्	**पारदस्य वेधनात्**  पारदस्य जटिलानां रासायनिकप्रक्रियाणां द्वारा कृत्रिमस्वर्णस्य उत्पादनं भवति	स्वर्णमाक्षिकात्	कृत्रिमस्वर्णस्य उत्पत्तिः पारदस्य वेधनात् भवति	स्वर्णस्य उत्पत्तिः शिलाजतोः भवति शिलाजातु नाम स्वर्णस्य एकम्	पारदस्य वेधनात्	हिङ्गुलात्	हिङ्गुलात्
221	ताम्रस्य उत्पत्तिः कथं भवति?	कार्तिकेयस्य वीर्येण; कार्त्तिकेयशुक्रात्		खननात्	ताम्रस्य उत्पत्तिः भूमितः भवति	ताम्रस्य उत्पत्तिः प्राकृतिकरूपेण पृथ्व्यां भवति ताम्रं प्रायः अयस्कान्तर्गतं प्राप्यते, यत्र ताम्रं अन्यैः खनिजैः	भूमौ खननात् ताम्रस्य प्राप्तिः भवति	ताम्रस्य उत्पत्तिः प्रायेण खनन-प्रक्रियया भवति भूगर्भे स्थितेभ्यः ताम्र-अय	ताम्रस्य उत्पत्तिः पृथिव्यां ताम्र-खनिजस्य (Copper ore) निष्कर्षणेन, ततः तस्य शोधनम्, ताम्रधातु (Copper metal) इति रूपेण परिणमनं च	ताम्रस्य उत्पत्तिः इति अध्ययनानि दर्शयन्ति कि ताम्रं अयस्य एक र	खनिजः उत्पत्तिः	ताम्रस्य उत्पत्तिः खनिजेषु भवति	ताम्रस्य उत्पत्तिः प्राकृतिकरूपेण निर्मिता भवति ताम्र-रसायनं प्राकृतिकरूपेण पृथ्वी से निर्मित होता है
222	ताम्रस्य अनुत्कृष्टभस्मनः कति दोषाः भवन्ति?	८; अष्ट; अष्टदोषाः; अष्टौ; अष्टौ दोषाः		त्रयः	अनुत्कृष्टभस्मनः दोषाः अनेके भवन्ति	ताम्रस्य अनुत्कृष्टभस्मनः दोषाः अष्टादश भवन्ति	अजीर्णम्, वमनम्, शूलम् च   अनुत्कृष्टभस्मं विरेचनधर्मयुक्तं भवति	ताम्रस्य अनुत्कृष्टभस्मनः षट् दोषाः भवन्ति	ताम्रस्य अनुत्कृष्टभस्मनः दोषाः त्रयः भवन्ति: 1 ताम्रस्य तिक्तता, 2 ताम्रस्य तृष्णा, 3 ताम्रस्य विषाक्ता	ताम्रस्य अनुत्कृष्टभस्मनः त्रिदोषजनितानां व्याधीनां चिकित्स	षट्	ताम्रस्य अनुत्कृष्टभस्मनः त्रीणि दोषाणि भवन्ति	ताम्रे अनुत्कृष्टभस्मनि दोषाः पञ्च भवन्ति
223	रङ्गस्य कति भेदाः भावप्रकाशे उक्ताः?	२; द्वौ		दश	१८	चत्वारिंशत्	षट्   रसैः  सह  तेषां   साम्यम्  उक्तम्	भावप्रकाशे रङ्गस्य सप्त भेदाः उक्ताः	भावप्रकाशे रङ्गस्य त्रयः भेदाः उक्ताः - शुद्धरङ्गः, मिश्ररङ्गः, तथा च दुष्कररङ्गः	रङ्गस्य त्रयः मुख्य भेदाः भवन्ति - रूप, स्थूलता, गुणः ये	षट्	भावप्रकाशे रङ्गस्य सप्त भेदाः उक्ताः	रङ्गस्य पञ्च भेदाः भावप्रकाशे उक्ताः
224	रविप्रियः कस्य धातोः पर्यायः अस्ति? 	ताम्रस्य; ताम्रस्य		लोहस्य	रविप्रियः अर्कधातोः पर्यायः अस्ति	सुवर्णस्य	ताम्रस्य	"आमलकी

रविप्रियः शब्दः आमलक्याः पर्यायवाची अस्ति आमलकी आयुर्वेदे प्रसिद्धा औ"	"रविप्रियः ""सूर्य"" इत्यस्य पर्यायः अस्ति"	"रविप्रियः शब्दस्य धातुः ""प्रिय"" इति धातुः अस्ति इस धातुः का प"	"रविप्रिय इति सूर्यप्रिय पर्यायः सूर्यशब्दः रविग्रहार्थकः 
सर्वपर्यायानां एकार्थकत्वं विद्यते तथा च समर्थकाः प्रायः इति निश्चयनीयम् (प्राय"	रविप्रियः सुवर्णस्य पर्यायः अस्ति	रविप्रियः = सूर्य
225	केभ्यः देवतेभ्यः का धातुः उत्पद्यते सुमेलितं कुरुत -  i. शिवः 1. सुवर्णम्  ii. कार्तिकेयः 2. रजतम्  iii. वासुकिः 3. ताम्रम्  iv. अग्निदेवः 4. नागः	i-2, ii-3, iii-4, iv-1	i-2, ii-3, iii-4, iv-1 / i-2, ii-3, iii-4, iv-1 / i-1, ii-3, iii-4, iv-2 / i-3, ii-4, iii-2, iv-1	i-1, ii-3, iii-4, iv-2	शिवः सुवर्णम्, कार्तिकेयः रजतम्, वासुकिः ताम्रम्, अग्निदे	i-2, ii-3, iii-4, iv-1	"**i-2, ii-3, iii-4, iv-1** 

**कथम्?** आयुर्वेदस्य  रसशास्त्रम्  एवं  निर्दिशति"	"i-2, ii-3, iii-4, iv-1

शिवः - रजतम्
कार्तिकेयः - ताम्रम्
वासुकिः - नागः
अग्निदेव"	"सुमेलितं कुरुत - i-1, ii-3, iii-4, iv-2 

अर्थात्:
i शिवः - सुवर्णम्  
ii कार्तिकेयः - ताम्रम्  
iii वासुकिः - नागः  
iv"	"शिवः - सुवर्णम्
कार्तिकेयः - ताम्रम्
वासुकिः - नागः
अग्निदेव"	"सही उत्तर है:  i-4, ii-2, iii-1, iv-3 

कारण यथा-
* भगवान शिव धातु है सुवर्ण सुवर्ण का संबंध सूर्य से है और सूर्य अग्नि का प्रतीक है"	i-3, ii-4, iii-2, iv-1	i-2, ii-3, iii-4, iv-1
226	लौहधातोः कति दोषाः उक्ताः?	७; सप्त		नवदोषाः	त्रयः	लौहधातोः त्रयोदश दोषाः उक्ताः	त्रयः  रूक्षत्वादिभिः	आयुर्वेदशास्त्रानुसारं लौहधातोः तु अष्टौ (8) दोषाः उक्ताः सन्ति एते दोषाः लौह	लौहधातोः त्रयः दोषाः उद्घाटिताः - वात, पित्त, कफ	लौहधातोः एकादश दोषाः उक्ताः भवन्ति तासु अश्लेष्मल, अम्ल	त्रयः	लौहधातोः दोषाः त्रयः उक्ताः	लौहधातोः दोषाः पञ्चमुखाः, द्विगुणाः, द्विगुण-द्विगुणाः, द्विगुण-द्विगुण-द्विगुणाः, द्विगुण-द्विग
227	लौहसेवनसमये त्याज्यः पदार्थः कः?	सर्वे	कूष्माण्डम् / तिलतैलम् / मद्य / सर्वे	मद्य	मद्य	सर्वे		मद्य	मद्य	लौहसेवनसमये त्याज्यः मद्यः	सर्वे!	मद्य	मद्य
228	भावप्रकाशे कति उपधातवः उक्ताः सन्ति?	७; सप्त		भावप्रकाशे चतुर्दश उपधातवः उक्ताः सन्ति	भावप्रकाशे ६३ उपधातवः उक्ताः सन्ति	षड् उपधातवः	षट्पञ्चाशत्   प्रत्येकं निदान-पूर्वरुप-रुप-उपशय-सम्प्राप्ति  इति पञ्चभिः कारणैः युक्ताः व्याख्याताः	भावप्रकाशे सप्त उपधातवः उक्ताः सन्ति	भावप्रकाशे सप्त उपधातवः उल्लेखिताः सन्ति	भावप्रकाशे उपधातवः न उक्ताः सन्ति अतः तत्रापि उत्तरं देयम् इ	भावप्रकाशे अष्टावुपधातवः उक्ताः सन्ति	भावप्रकाशे ३७३ उपधातवः उक्ताः सन्ति	भावप्रकाशे १४ उपधातवः उक्ताः सन्ति
229	वितुन्नकः, शिखिग्रीवः, मयूरकः च कस्य पर्यायाः सन्ति?	तुत्थस्य; तुत्थम्; तुत्थस्य		वातव्याधेः	चक्रवाकस्य	कुक्कुटस्य	बर्हिणस्य	"मयूरस्य

एते शब्दाः - वितुन्नकः, शिखिग्रीवः, मयूरकः - सर्वे मयूरस्य पर्यायवा"	"एतानि शब्दाः ""काक"" इत्यस्य पर्यायाः भवन्ति"	एते त्रयः संस्कृते शब्दाः मयूरस्य पर्यायाः सन्ति एते शब्दाः	"मयूर: 
<br>
<br>
पर्यायः:

* शिखिग्रीवः
* वितुन्नकः
* मयूरकः"	वितुन्नकः, शिखिग्रीवः, मयूरकः च कुक्कुटस्य पर्यायाः सन्ति	वितुन्नकः, शिखिग्रीवः, मयूरकः च कस्य पर्यायाः सन्ति? - वितुन्नकः, शिखिग्रीवः, मयूरकः च कस्य पर्यायाः सन्ति
233	सिन्दूरः अधोलिखितेषु कस्य उपधातुः अस्ति?	नागस्य	यशदस्य / नागस्य / ताम्रस्य / ताम्रस्य	नागस्य	ताम्रस्य	सिन्दूरः ताम्रस्य उपधातुः अस्ति	"**नागस्य** 

सिन्दूरं नागस्य पारदस्य च संयोगेन निर्मितं भवति"	नागस्य	सिन्दूरः यशदस्य उपधातुः अस्ति	सिन्दूरः ताम्रस्य उपधातुः अस्ति	ताम्रस्य	ताम्रस्य	ताम्रस्य
234	शिलाजितोः कति भेदाः सन्ति?	४; चत्वारः		चत्वारः	चत्वारः	चत्वारः	चत्वारः	"शिलाजितोः चत्वारः भेदाः सन्ति

1 सौवर्ण शिलाजित
2 रजत शिलाजित
3 ताम्र शिल"	शिलाजितस्य मुख्यतः द्वौ भेदौ सन्ति - काचित् शिलाजितम् एवं काचित् शुद्धम् शिलाजितम्	शिलाजितः द्वौ प्रकारौ विभक्तौ प्रसिद्धौ अस्ति एकः गुणशिल	अष्टौ	शिलाजितोः चत्वारः भेदाः सन्ति	शिलाजितोः पञ्च भेदाः सन्ति
239	कः शिलाजितु सर्वश्रेष्ठा भवति?	लौह		हिमालयः	शिलाजितु	अस्माकं मतानुसारेण कश्मीरी शिलाजितु सर्वश्रेष्ठा भवति	हिमालयजः हिमालये उच्चतमण्डले प्राप्यमाणत्वात् श्रेष्ठः	शिलाजितु प्रकाराणां मध्ये सर्वश्रेष्ठः भवति कृष्णशिलाजितु आयुर्वेदशास्त्रे	गंगाजल-शिलाजितु सर्वश्रेष्ठा भवति	शिलाजित् एकः आयुर्वेदिकः औषधिकः द्रव्यः अस्ति, यः पर्वती	हिमालयीयनः	शिलाजितु सर्वश्रेष्ठा अस्ति हिमालये उत्पन्ना शिलाजितु	शिलाजितु-मणिक्यं सर्वश्रेष्ठम्
241	कस्य वर्णस्य पारदः रसायनकर्मणि श्रेष्ठः भवति?	रक्तः; रक्तवर्णस्य		रजतः	ताम्रस्य	रसायनकर्मणि श्वेतवर्णस्य पारदः श्रेष्ठः भवति	**कृष्णः**  यतः शुद्धतमः	"रजतस्य

रसायनकर्मणि पारदः रजतवर्णस्य श्रेष्ठः मन्यते रजतवर्णः शुद्धः, चम"	सुवर्णस्य वर्णस्य पारदः रसायनकर्मणि श्रेष्ठः भवति	पारदः रसायनकर्मणि श्रेष्ठः भवति	**रजत**	श्वेतवर्णस्य पारदः रसायनकर्मणि श्रेष्ठः भवति	पारदस्य रसायनकर्मणि श्रेष्ठत्वं नास्ति
244	पारदस्य स्वाभाविकदोषाः कति?	७		नव	त्रयः	षट्	गुरुत्वम्, द्रवत्वञ्च	पारदस्य स्वाभाविकदोषाः सप्त सन्ति	पारदस्य स्वाभाविकदोषाः त्रयः - विषता, उष्णता, चित्तदोषः	पारदस्य स्वाभाविकदोषाः द्वे अस्ति ते दोषाः हैद्रोगः च अर	"पञ्च 
पारद स्वाभाविक दोषाः 
१ भगंदर
२ कुष्ठ
३ क्षय
४ व्याधि
५ वातरक्त
पारद स्वाभाविक दोषाः सत्त्वगुणवर्धक"	पारदस्य स्वाभाविकदोषाः त्रयः	पारदस्य स्वाभाविकदोषाः पञ्चम्
249	अधोलिखितेषु कः हिङ्गुलस्य भेदः न अस्ति?	म्लेच्छः	चर्मारः / म्लेच्छः / शुक्रतुण्डः / हंसपादः	म्लेच्छः	हंसपादः	म्लेच्छः	"**शुक्रतुण्डः**

शुक्रतुण्डः  इति पक्षिविशेषस्य नाम अस्ति, न तु हिंगुलस्य भेदः"	"चर्मारः

एतेषु ""चर्मारः"" हिङ्गुलस्य भेदः न अस्ति हिङ्गुलस्य प्रसिद्धाः भ"	म्लेच्छः	म्लेच्छः	"सर्वे हिङ्गुलस्य भेदः सन्ति चर्मारः, म्लेच्छः, शुक्रतुण्डः, हंसपादश्च भेदः हिङ्गुलस्य

अर्थात्, उत्तरः **कोऽपि न अस्ति**

प्र"	म्लेच्छः	हिङ्गुलस्य भेदः शुक्रतुण्डः अस्ति
251	गन्धकः अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	गन्धकपाषाणस्य / बलिनः / बलरसस्य / सर्वेषाम्	बलरसस्य	गन्धकस्य	सर्वेषाम्	गन्धकपाषाणस्य	"सर्वेषाम्

गन्धकः एतेषां त्रयाणामपि पर्यायवाची शब्दः अस्ति गन्धकपाषाणः, बलि"	गन्धकपाषाणस्य	गन्धकः अधोलिखितेषु सर्वेषाम् पर्यायः अस्ति गन्धकः अन्यत्र गन	सर्वेषाम्	गन्धकपाषाणस्य	गन्धकपाषाणस्य पर्यायः सर्वेषाम् अस्ति
253	कः गन्धकः स्वर्णनिर्माणे उपयुज्यते?	रक्तवर्णः		सुरकः	स्वर्णनिर्माणे गन्धकः उपयुज्यते	गन्धकः स्वर्णनिर्माणे उपयुज्यते	हारिद्रम्   औषधीयगुणवर्धनाय	गन्धकः स्वर्णनिर्माणे न उपयुज्यते स्वर्णं प्राकृतिकं तत्त्वम् अस्ति, यत् खन	गन्धकः कर्पूरगन्धकः स्वर्णनिर्माणे उपयुज्यते	गन्धकः स्वर्णनिर्माणे उपयुज्यते गन्धकः एक प्रमुख रसायनं अस	रससिन्दूरम्	स्वर्णनिर्माणे उपयुज्यमानः गन्धकः शुद्धगन्धकः अस्ति	गन्धकस्य स्वर्णनिर्माणे उपयोगः कृतः
257	अधोलिखितेषु किं तथ्यं  गन्धकसन्दर्भे अयोग्यम् अस्ति?	मधुरविपाकः	कफवातहर / रसायनः / मधुरविपाकः / उष्णवीर्यः	मधुरविपाकः	"गन्धकसन्दर्भे तथ्यम् नास्ति ""मधुरविपाकः"""	मधुरविपाकः	"**मधुरविपाकः** 

गन्धकस्य विपाकः कटुकः भवति, न तु मधुरः"	"मधुरविपाकः

गन्धकस्य विपाकः कटुः भवति, न तु मधुरः अतः ""मधुरविपाकः"" इति तथ्यम् अ"	"गन्धकसन्दर्भे ""कफवातहर"" तथ्यं अयोग्यम् अस्ति"	गन्धकसन्दर्भे कफवातहर, रसायनः, मधुरविपाकः, उष्णवीर्यः - इ		गन्धकस्य मधुरविपाकः नास्ति	गन्धकस्य स्वभावे कफवातहरत्वम् अस्ति
258	अधोलिखितेषु कः अशुद्धगन्धकस्य दोषो नास्ति?	आमवातः 	ओजनाशकः / कुष्ठः / आमवातः / विषमज्वरः	ओजनाशकः	अशुद्धगन्धकस्य दोषः नास्ति विषमज्वरः	ओजनाशकः	"**विषमज्वरः**  

अशुद्धगन्धकः प्रायः त्वक्सम्बन्धिदोषान् जनयति"	विषमज्वरः	कुष्ठः	ओजनाशकः अशुद्धगन्धकस्य दोषो नास्ति इत्थं ओजनाशकः संस्क	ओजनाशकः	ओजनाशकः	अशुद्धगन्धकस्य दोषो नास्ति ओजनाशकः
259	अभ्रकम् अधोलिखितेषु कस्य पर्यायः अस्ति?	उभयस्य	गगनस्य / वज्रस्य / उभयस्य / न कस्यापि	गगनस्य	उभयस्य	उभयस्य	"**वज्रस्य** 

अभ्रकं वज्रस्य पर्यायः अस्ति यतः उभयोः अपि विद्युत्-सम्बन्धः अस्ति"	"उभयस्य

अभ्रकम् शब्दस्य द्वौ अर्थौ स्तः:
1 गगनम् (आकाशः)
2 वज्रम् ("	अभ्रकस्य पर्यायः वज्रस्य अस्ति	"अभ्रकम् शब्दस्य पर्यायः ""गगनस्य"" अस्ति अभ्रकम् गगनं अर्थे प"	उभयस्य	अभ्रकम् उभयस्य पर्यायः अस्ति	"अभ्रकम् अधोलिखितेषु कस्य पर्यायः अस्ति? गगनस्य / वज्रस्य / उभयस्य / न कस्यापि

उत्तरम्: गगनस्य"
260	सुमेलयत  i. श्वेतम् अभ्रकम्       1. रसायनकर्म  ii. रक्तम् अभ्रकम्     2. रजतनिर्माणहेतु  iii. पीतम् अभ्रकम्    3. सुवर्णनिर्माणहेतु  iv. कृष्णम् अभ्रकम्   4. रोगनाशनहेतु	i-2, ii-1, iii-3, iv-4	i-2, ii-1, iii-4, iv-3 / i-2, ii-1, iii-3, iv-4 / i-1, ii-3, iii-4, iv-2 / i-3, ii-4, iii-2, iv-1	i-2, ii-1, iii-3, iv-4	i-2, ii-1, iii-4, iv-3	i-2, ii-1, iii-4, iv-3	"i-२, ii-१, iii-४, iv-३   

**कथम् ?**

आयुर्वेदग्रन्थेषु वर्णितम् अभ्रकरसानां  गुणधर्मानुसारम्"	i-2, ii-1, iii-3, iv-4	"सुमेलयन्तु: 

i - 2 श्वेतम् अभ्रकम् - रजतनिर्माणहेतु  
ii - 1 रक्तम् अभ्रकम् - रसायनकर्म  
iii - 4 पीतम् अभ्रकम् - रोगन"	i-2, ii-1, iii-3, iv-4	i-1, ii-3, iii-4, iv-2	i-2, ii-1, iii-4, iv-3	i-2, ii-1, iii-3, iv-4
261	पिनाक-अभ्रकसेवनात् कः रोगः जायते?	महाकुष्ठः	मधुमेहः/ महाकुष्ठः / गांठिकाः / मृत्युः	मृत्युः	मधुमेहः	महाकुष्ठः	**महाकुष्ठः** | अभ्रकं विषरूपम्	महाकुष्ठः	मधुमेहः	पिनाक-अभ्रकसेवनात् मधुमेहः रोगः जायते धन्यवादः	महाकुष्ठः	मृत्युः	मधुमेहः
269	स्फटिका अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	श्वेतायाः / शुभ्रायाः / दृढरङ्गायाः / सर्वेषाम्	श्वेतायाः	श्वेतायाः	सर्वेषाम्	**सर्वेषाम्**  स्फटिकस्य वर्णः श्वेतः, शुभ्रश्च भवति  तथा च दृढरङ्गः अपि भवति	श्वेतायाः	श्वेतायाः	स्फटिका श्वेतायाः पर्यायः अस्ति	"सर्वेषाम्

श्वेतायाः - स्फटिकाः श्वेताः भवन्ति, परन्तु सर्वे श्वेताः पदार्थाः स्फटिकाः न भवन्ति

शुभ्रायाः - स्फटिका"	श्वेतायाः	श्वेतायाः पर्यायः स्फटिका अस्ति
270	राजावर्तः अधोलिखितेषु कस्य पर्यायः नास्ति?	दृढरङ्गायाः	नृपावर्तस्य / दृढरङ्गायाः / रेवट्याः / आवर्तमणिसंज्ञकस्य	दृढरङ्गायाः	रेवट्याः	दृढरङ्गायाः	"**रेवट्याः** 

राजावर्तः नृपस्य, दृढरङ्गस्य, आवर्तमणेः च पर्यायः अस्ति"	दृढरङ्गायाः	"राजावर्तः ""दृढरङ्गायाः"" इत्यस्मिन् पर्याये नास्ति"	नृपावर्तस्य पर्यायः अधःलिखितेषु वर्तते नृपावर्तः राजा अर	**रेवट्याः**	राजावर्तः दृढरङ्गायाः पर्यायः	राजावर्तः, नृपावर्तस्य, दृढरङ्गायाः, आवर्तमणिसंज्ञकस्य, रेवट्याः, राजावर्तस्य, नृपावर्तस्य, दृढरङ
271	तुत्थकम् अधोलिखितेषु कस्य पर्यायः अस्ति?	खर्परस्य	खर्परस्य / खटिकायाः / वालुकायाः / गैरिकस्य	गैरिकस्य	खटिकायाः	खटिकायाः	**खटिकाया:**	तुत्थकम् खर्परस्य पर्यायः अस्ति	तुत्थकस्य पर्यायः खटिकायाः अस्ति	तुत्थकम् शब्दस्य वालुकायाः पर्यायः अस्ति वालुका इति संस्कृते	खर्परस्य	खर्परस्य पर्यायः अस्ति	खर्परस्य पर्यायः वालुका अस्ति
273	सौराष्ट्री अधोलिखितेषु कस्य पर्यायः?	सर्वेषाम्	मृत्तालकस्य / आढक्याः / मृत्स्नायाः / सर्वेषाम्	मृत्स्नायाः	सर्वेषाम्	मृत्तालकस्य	मृत्तिकायाः	मृत्स्नायाः	सौराष्ट्री मृत्स्नायाः पर्यायः अस्ति	"सौराष्ट्रीषु अधोलिखितेषु पर्यायः ""मृत्स्नायाः"" इति"	सर्वेषाम्	मृत्स्नायाः	मृत्तालकस्य पर्यायः आढक्याः
274	क्षेत्रजा अधोलिखितेषु कस्य पर्यायः?	कृष्णमृत्तिकायाः	कर्दमस्य / शङ्खस्य / बोलस्य / कृष्णमृत्तिकायाः	कर्दमस्य	कृष्णमृत्तिकायाः	क्षेत्रजा इति कृष्णमृत्तिकायाः पर्यायः	**कृष्णमृत्तिकायाः**	कृष्णमृत्तिकायाः	क्षेत्रजा इत्यस्य पर्यायः कर्दमस्य अस्ति	कर्दमस्य	शङ्खस्य	क्षेत्रजा कर्दमस्य पर्यायः	क्षेत्रजा अधोलिखितेषु कस्य पर्यायः? कर्दमस्य = क्षेत्रजा = क्षेत्रजा कर्दमस्य = क्षेत्रजा कर्दमस्य = क्षेत्रजा कर
280	कस्य वर्णस्य हीरकः रसायनार्थम् उपयुक्तः भवति?	ब्राह्मणवर्णस्य	ब्राह्मणवर्णस्य / क्षत्रियवर्णस्य / वैश्यवर्णस्य/ शूद्रवर्णस्य	ब्राह्मणवर्णस्य	सर्वेषाम्	ब्राह्मणवर्णस्य	"न कस्यचित् वर्णस्य  

आयुर्वेदः  सर्वेषां हितं वदति, न तु वर्णभेदं करोति"	ब्राह्मणवर्णस्य	ब्राह्मणवर्णस्य	हीरकः वर्णान्तरे शूद्रवर्णस्य रसायनार्थे उपयुक्तः भवति अ	हीरकः सर्वेभ्यः वर्णेभ्यः रसायनार्थम् उपयुक्तः भवति	ब्राह्मणवर्णस्य	ब्राह्मणवर्णस्य
287	शालिधान्यस्य उत्पत्तिः कस्मिन् ऋतौ भवति?	हेमन्ते; हेमन्त ऋतौ; हेमन्तः		शरद्-ऋतौ	शरदः	हेमन्ते	शरद् ऋतौ	"ग्रीष्मऋतौ

शालिधान्यस्य (चावलस्य) उत्पत्तिः मुख्यतया ग्रीष्मऋतौ भव"	शालिधान्यस्य उत्पत्तिः वर्षायाम् भवति	शालिधान्यस्य उत्पत्तिः वर्षाऋतौ भवति भारते वर्षाऋतौ वृष	वर्षा ऋतौ	शालिधान्यस्य उत्पत्तिः ग्रीष्म-ऋतौ भवति	शालिधान्यस्य उत्पत्तिः वर्षा ऋतौ भवति
288	ब्रीहिधान्यानि कस्मिन् ऋतौ उत्पद्यन्ते?	वर्षासु; वर्षऋतौ; वर्षाकाले; वर्षासु		वसन्त-ऋतौ	वर्षा	शरदृतौ	वर्षऋतौ	वर्षाऋतौ	ब्रीहिधान्यानि वर्षाकाले उत्पद्यन्ते	बृहद्धान्यानि वर्षाऋतौ उत्पद्यन्ते वर्षा ऋतुः ग्रीष्म-ऋ	ग्रीष्म ऋतौ	शिशिरे	वर्षे शिशिर-ऋतौ
295	सूप्यं वैदलं च कस्य पर्यायौ स्तः?	शिम्बीधान्यस्य; शिम्बिजाः; शिम्बिधान्यस्य; शिम्बीभवाः		मांसरसस्य	द्रव्योपकल्पनायाः	सूप्यं वैदलं च कस्य पर्यायौ स्तः? वृक्षस्य	यवस्य	"मुद्गस्य

मुद्गः (मूँग दाल) सूप्यस्य वैदलस्य च पर्यायः अस्ति आयुर्वेदे मु"	सूप्यं वैदलं च तिलस्य पर्यायौ स्तः	"सूप्यं वा वैदलं च, इत्युच्यते ""सूप्यं"" शब्दस्य वैदलं च"	क्षमा प्रार्थनीयम्, मम ज्ञान-सीमा तेन प्रश्नोत्तरेण सह नानुरूपा	"सूप्यं वैदलं च कस्य पर्यायौ स्तः? 
उत्तरम् - सूप्यं वैदलं च क्षारस्य पर्यायौ स्तः"	सूप्यं वैदलं च कस्य पर्यायौ स्तः? - सूप्यं वैदलं च कस्य पर्यायौ स्तः? - सूप्यं वैदलं च कस्य पर्यायौ स्तः? - स
