ID	QUESTION	ANSWER	CHOICES	gpt-4o	claude-3-5-sonnet-20240620	gemini-1.5-pro	mistral-large-latest	llama-v3p1-405b-instruct	gpt-4o-mini	gpt-3.5-turbo	gemini-pro	llama-v3p1-70b-instruct	llama-v3p1-8b-instruct	gemini-1.0-pro
499	जटायोः पिता कः आसीत्?	अरुणः		अरुणः	अरुणः	अरुणः  तस्य माता श्येनी आसीत्	अरुणः	अरुणः	जटायुः स्येनः पुत्रः आसीत्	जटायोः पिता विनता आसीत् विनता एकः गरुड़ः आसीत् जटायोः प	गर्गः	अरुणः	रावणः	अत्र चर्चायाः विषयः अस्ति अस्ति जटायोः पिता  जटायुः पिता आसीत् अरुणः  अरुणः आसीत् सूर्यस्य सारथी  एकदा जटायुः यथा सू
500	जाम्बवतः पितुः नाम किम्?	गद्गदः		ऋक्षराजः	जाम्बवतः पितुः नाम अस्माकं ज्ञाने न विद्यते रामायणे वा पुराणेषु वा जाम्बवतः पितुः न	ऋक्षराजः	बृहद्बलः	प्रजापतिः	जाम्बवतः पितुः नाम जाम्बवान् अस्ति	जाम्बवतः पितुः कपिपतिः इति नाम्ना विख्यातः आसीत्	विभीषणः	जाम्बवतः पितुः नाम द्रोणः	विष्णु	जम्बवतः पितुः नाम ऋक्षराजः आसीत्
501	वालिनः पिता कः आसीत् ?	ऋक्षराजः		इन्द्रः	वालिनः पिता इन्द्रः आसीत्	इन्द्रः  वालिनं वायुपुत्रं मन्यन्ते केचित्‌ इति श्रुतिः	इन्द्रः	सुग्रीवस्य पिता सूर्यः आसीत्	वालिनः पिता रावणः आसीत्	वालिनः पिता सुग्रीवः आसीत्	शुक्रः	इन्द्रः	वालिनः पिता विश्रवसः आसीत्	इन्द्रः
502	सुग्रीवस्य पितुः नाम किम् आसीत् ?	ऋक्षराजः		ऋक्षराजः	वालिनः सुग्रीवस्य च पिता ऋक्षरजः आसीत्	सुमाली	ऋक्षराजः	सूर्यः	सुग्रीवस्य पितुः नाम वालि आसीत्	सुग्रीवस्य पितुः नाम रिक्षराजः वाली आसीत्	वाली	सुग्रीवस्य पितुः नाम सूर्य आसीत्	सुग्रीवस्य पितुः नाम सुमित्रो आसीत्	वाली
503	खरदूषणयोः पिता कः आसीत्?	विश्रवाः		विश्रवा	रामायणानुसारं खरदूषणयोः पिता तत्रोक्तः नास्ति तौ राक्षसौ रावणस्य भ्रातरौ इति प्	विश्वावसुः	रावणः	त्रिशिरस्	खरदूषणयोः पिता रावणः आसीत्	खरदूषणयोः पिता राक्षसेन्द्रः खरः आसीत् ते द्वौ राक्षस	विराधः	राक्षसः	रावणः	विभीषण:
504	नलस्य (वानरस्य) पिता कः आसीत् ?	विश्वकर्मा		अग्निः	नलस्य पिता विश्वकर्मा आसीत्	विश्वकर्मा	तारः	विश्वकर्मा	नलस्य पिता वानरः वाली आसीत्	नलस्य (वानरस्य) पिता सुन्दरः आसीत्	नलस्य पिता विश्रवा ऋषिः आसीत्	नलस्य पिता विश्वकर्मा आसीत्	विष्णु	वृषस्य
505	नीलस्य (वानरस्य) पिता कः अस्ति ?	अग्निदेवः		अग्निः	अञ्जनः	वायुः  पवन-पुत्रः नीलः	अग्निः	अग्नि	नीलस्य पिता वानरराजः वानरः सिता	नीलस्य पिता सुषेणः इति रामायणे वर्णितं भवति नीलः एकः वानर	इन्दु	अग्निः	वानरराजानां नीलस्य पिता सुग्रीवः	विश्वकर्मा
506	राज्ञः दशरथस्य पितुः नाम किम् आसीत् ?	अजः		अजः	जनकः	अजः	अज	अजः	"राज्ञः दशरथस्य पितुः नाम ""अजय"" आसीत्"	राज्ञः दशरथस्य पितुः नाम अजा आसीत्	दिलीप : दिलीपस्य पत्नी सुकुशला आसीत् दिलीप-सुकुशल-योः पुत्रः दशरथः जातः	अजः	अयोध्यायाः राजा अयोध्यायाः राजा अयोध्यायाः राजा अयोध्यायाः राजा अयोध्यायाः राजा अयोध्यायाः राजा अयोध्य	दिलीपः
507	अंगदस्य (वानरस्य) पिता कः आसीत् ?	वाली		वालिः	बालि	वालिः  वालिना क्रोधितेन सूर्येण सह युद्धं कुर्वता स्वपत्नीं रक्षति इति शर्त्याम् अंगदं पादाभ्यां बद्ध्वा आनीतवान् |	वाली	वाली	अंगदस्य पिता वानरराजः बलि आसीत्	अंगदस्य पिता वाली नामकः वानरः आसीत् वाली वीर्यवान् तथा ध	वालिः	वाली	वाली	## वली
508	श्रीरामस्य, लक्ष्मणस्य, भरतस्य, शत्रुघ्नस्य च पिता कः आसीत् ?	दशरथः		दशरथः	दशरथः	दशरथः	दशरथः	दशरथः	दशरथः	दशरथः रामस्य, लक्ष्मणस्य, भरतस्य, शत्रुघ्नस्य च पिता आसीत्	दशरथः	दशरथः	दशरथः	दशरथः
509	मन्दोदर्याः पितुः नाम किम् आसीत् ?	मयः		मयः	मयः	मयः	मयः	मयासुरः	"मन्दोदर्याः पितुः नाम ""मन्दोदरी"" इति अस्ति"	मन्दोदर्याः पितुः नाम जनकः आसीत्	मयः	मयासुरः	मंदोदर्याः पितुः नाम मायावी आसीत्	मयासुरः
510	(सती) सुलोचनायाः पिता कः आसीत् ?	वासुकिः (नागः)		सुमाली	इन्द्रजित्	विभीषणः	इन्द्रजित्	शुक्राचार्यः	सती सुलोचनायाः पिता जनकः आसीत्	सुलोचनायाः पिता जनकः आसीत्	दक्षः	"सुलोचनायाः पिता कः आसीत् ? 
उत्तरम् - राजा विराधः"	रावणः	प्रहर्षणः
511	महर्षेः परशुरामस्य पितुः नाम किं आसीत् ?	जमदग्निः		जमदग्निः	विश्वामित्रः	जमदग्निः	जमदग्निः	जमदग्निः	महर्षेः परशुरामस्य पितुः नाम जमदग्निः आसीत्	महर्षेः परशुरामस्य पितुः जमदग्निर् आसीत्	जमदग्निः	महर्षेः परशुरामस्य पितुः नाम जमदग्निः आसीत्	जमदग्नि	जमदग्नि:
512	महर्षेः विश्वामित्रस्य पितुः नाम किं आसीत् ?	गाधिः		गाधिः	वासिष्ठः	गादिः  विश्वामित्रस्य पूर्वजन्मनि राजत्वात् गादि-वंशस्य राजा इति सः गादिः इति नाम्ना प्रसिद्धः आसीत्	गाधिः	गाधिः	"महर्षिः विश्वामित्रस्य पितुः नाम ""गाधि"" आसीत्"	विश्वामित्रस्य पितुः नाम गाधिरथः आसीत्	गादीः	गाधिः	विश्वामित्रः महर्षेः पिता कश्यपः आसीत्	गादी
513	सुमालिनः (राक्षसस्य) पिता कः आसीत्?	सुकेशः		सुकेशः	मालि	विश्वकर्मणा	सुमाली	सुकेशः	सुमालिनः पिता रावणः आसीत्	सुमालिनः पिता रावणः आसीत्	माली	सुमालिनः पिता सुकेशः आसीत्	रावण	माली
514	लवणासुरस्य पिता कः आसीत् ?	मधुुदैत्यः		मदनः	"शत्रुघ्नः लवणासुरस्य पिता न आसीत् लवणासुरस्य पिता मधुः आसीत्

मधुः नाम राक्षस"	मद्रः  रावणस्य आज्ञया लवणासुरः यज्ञविध्वंसं करोति स्म	मद्हु	मदु	लवणासुरस्य पिता सूर्यः आसीत्	लवणासुरस्य पिता इक्ष्वाकुराजा राजा हतः आसीत्	विश्वामित्रः	मधु	रावण आसीत्	अजः
515	शतानन्दस्य (जनकस्य पुरोहितस्य) पिता कः आसीत् ?	गौतमः		गौतमः	"गौतमः

शतानन्दस्य पिता गौतमः ऋषिः आसीत् गौतमः महर्षिः अहल्यायाः पतिः च आसीत"	गौतमः	गौतमः	गौतमः	शतानन्दस्य पिता आश्वलायनः आसीत्	शतानन्दस्य पिता जनकः आसीत्	पराशरः	गौतमः	शतानन्दस्य पिता विश्वामित्रः आसीत्	देवलः
516	महाराजस्य गाधेः पितुः नाम किम् आसीत् ?	कुशनाभः		कुशः	"कुशनाभः

महाराजस्य गाधेः पिता कुशनाभः आसीत् रामायणे वर्णितं यत् गाधिः कुशनाभस्"	गौतमः	कुशध्वजः	महाराजः गाधिः कुशिकवंशीयः आसीत् तस्य पितुः नाम महाराजः दिवाकरः आसीत्	"गाधेः पितुः नाम ""गाधि"" आसीत्"	महाराजस्य गाधेः पितुः नाम विश्वामित्रः आसीत्	सुमन्त्रः	राजर्षिः कुशनाभः	भारद्वाजः	ऋष्यशृंगः
517	सुन्दस्य दैत्यस्य पिता कः आसीत् ?	जम्भः		जातुकर्णः	निकुम्भः	विश्वावसुः	माया	जम्भः	सुन्दस्य दैत्यस्य पिता बलि आसीत्	सुन्दस्य दैत्यस्य पिता विप्रचित्तिः आसीत्	विश्वकर्मा	"सुन्दस्य दैत्यस्य पिता कः आसीत् ? 
उत्तरम् - जटायुः"	रावणः	"विश्वश्रवा 

विश्वश्रवस्य तनुजा बहुधा परिकीर्तिता: | 
तत्र रामायणे उल्लिखितं 
विश्वश्रवा तनुजौ द्वौ सुमाली वा वणिवा | 
ते"
518	वानरयूथपत्युः मारीचस्य पिता कः आसीत् ?	मरीचः		ताटका	वानरयूथपत्युः सुग्रीवस्य पिता ऋक्षरजः आसीत्, न तु मारीचस्य मारीचस्य पिता ताटका	इन्द्रः   पत्न्यां रोहिण्यां तस्य पुत्रः मारीचः उत्पन्नः	केसरी	सुन्द	"वानरयूथपत्युः मारीचस्य पिता ""दशग्रीव"" इत्युच्यते"	वानरयूथपत्यस्य मारीचस्य पिता रावणः आसीत्	मायावी	सुन्दः	वानरयूथपत्युः मारीचस्य पिता सुग्रीवः आसीत्	तडित्पिता वानरयूथपत्युः मारीचस्य पिता आसीत्
519	उल्कामुखस्य अनङ्गस्य च (वानरयोः) पिता कः आसीत् ?	हुताशनः		वायुः	केसरी	केसरी    ऋषिणा गौतमेन शापेन ग्रस्तेन अग्निदेवेन वानररूपेण तस्योत्पत्तिः अभवत्	मयः	अग्निः	उल्कामुखस्य अनङ्गस्य च पिता वानरराजः वल्हलः आसीत्	वानरराजस्य सुषेणस्य अपि पिता उल्कामुखः आसीत्	कुम्भकर्णः	सुषेणः	वानरयोः पिता वाली आसीत्	कुम्भकर्न्ः
520	महोदरस्य राक्षसस्य पिता कः आसीत् ?	विश्रवाः		पुलस्त्यः	कुम्भकर्णः आसीत् महोदरस्य पिता	विभीषणः  रावणस्य अनुजः आसीत् विभीषणः	मयः	दनु	महोदरस्य राक्षसस्य पिता रावणः आसीत्	महोदरस्य राक्षसस्य पिता रावणः आसीत्	महौदरस्य पिता विश्रवा नामकं ऋषिः आसीत्	महोदरस्य राक्षसस्य पिता सुकेशः आसीत्	रावणः	कश्यपः
521	मान्धातुः पितुर्नाम किमासीत्?	युवनाश्वः		यवनाश्वः	बाहुकः	युवनाश्वः	युवनाश्वः	युवनाश्वः	मान्धातुः पितुर्नाम 'वसु' आसīt	मान्धातुः पितुर्नाम अम्बरीषः आसीत्	युवनाश्वः	युधाजित्	मान्धातुर्नाम मान्धाता	युवनाश्वः
522	त्रिशिसस्य राक्षसस्य पिता कः आसीत्?	रावणः		रावण:	रावणः	विश्वा	विश्रवा	पुलस्त्यः	त्रिशिरसः राक्षसः रावणस्य पुत्रः आसीत्	वाली नाम्ना त्रिशिरासीत् तस्मात् त्रिशिस्य पिता वाली आसीत्	विश्वश्रवा	विश्रवः	त्रिशिरस्य राक्षसस्य पिता रावण आसीत्	विश्वावसुः
523	मांडव्याः श्रुतकीर्त्याः च पिता कः आसीत्?	कुशध्वजः		कुशध्वजः	दशरथः	युधिष्ठिरः द्यूते हारिताः पाण्डवाः वने वसन्तः तेषां आश्रमं रक्षन्तु इति युधिष्ठिरेण मांडव्य-श्रुतकीर्त्यौ नियुक्तौ	गद्गदः	मांडव्यः श्रुतकीर्त्याः च पिता काकुत्स्थः आसीत्	मांडव्यस्य पिता वसिष्ठः आसीत्	मांडव्याः श्रुतकीर्त्याः च पिता वसिष्ठः आसीत्	मुनिः मध्यमः	सुदेष्णः	मांडव्यः श्रुतकीर्त्यः च पिता वशिष्ठः आसीत्	मुनिः गौतमः
524	राजा जनकस्य पिता कः?	ह्रस्वरोमा		ह्रस्वधनुः	राजा जनकस्य पितुः नाम ऋषिग्रन्थेषु न स्पष्टं प्रोक्तम् रामायणे वाल्मीकिना अप	निमिः	हृदयराज	हिमवान्	राजा जनकस्य पिता राजा शिवि आसीत्	राजा जनकस्य पिता न हि ज्ञातः जनकः सीतायाः पिता अस्ति	सेरध्वजः	मिथिलाधिपतिः	अनिरुद्ध	नरशंसः
525	ककुत्स्थस्य पितुः नाम कथयतु।	भगीरथः		सुग्रीवः	दशरथः	वैवस्वतमनुः	दशरथः	दशरथः	ककुत्स्थस्य पितुः नाम दशरथः	ककुत्स्थस्य पितुः नाम दशरथः अस्ति	दशरथः	दशरथः	ककुत्स्थस्य पितुः विश्वामित्रः	दशरथः
526	कैकेय्याः पितुः नाम किमासीत्?	अश्वपतिः		अश्वपति:	कैकेय्याः पितुः नाम अश्वपतिः आसीत्	अश्वपतिः	अश्वपतिः	अश्वपतिः	कैकेय्याः पितुः नाम अश्वपतिः आसीत्	कैकेय्याः पितुः नाम जनकः असीत्	अश्वपतिः	कैकेय्याः पितुः नाम आसीत् कैकेयः	कैकेय्याः पितुः नाम सुदासः आसीत्	अश्वपतिः
527	अंशुमतः पिता कः आसीत्?	असमञ्जः		चन्द्रः	दशरथः	गगनः	अश्वपतिः	अंशुमतः पिता असुरनामा आसीत्	आदित्यः अंशुमतः पिता आसीत्	अंशुमान् पिता रामस्य आसीत्	दिग्विजयः	अंशुमतः पिता असमञ्जसः आसीत्	अंशुमतः पिता विश्वावासु आसीत्	दिविरदः
528	विराधराक्षसस्य पिता कः आसीत्?	जवः		जया	"अगस्त्यः

विराधराक्षसस्य पिता जतायुः आसीत् रामायणे उल्लिखितं यत् विराधः जतायोः पुत्"	जयः  तव प्रश्नस्योत्तरं अस्ति - **माल्यवान्**	जय	जटासुरः	"विराधराक्षसस्य पिता ""तान्दव"" इति ज्ञायते"	विराधराक्षसस्य पिता खरः आसीत्	कैकेय	जटायुः	विराधराक्षसस्य पिता रावण आसीत्	इन्द्रः विराधराक्षसस्य पिता आसीत्
529	जमदग्निऋषेः पिता कः आसीत्?	ऋचीकः		ऋचीक:	परशुरामस्य पिता जमदग्निः आसीत्, तस्य पिता ऋचीकः आसीत् अतः जमदग्निऋषेः पिता ऋ	ऋचीकः	ऋचीकः	ऋचीकः	जमदग्निऋषेः पिता प्रचेतसः आसीत्	जमदग्निऋषेः पिता ऋचीकः आसीत्	रुरु:	भृगुः	वसिष्ठः	"ऋचीकः 
##"
530	पूरोः पिता कः आसीत्?	ययातिः		इक्ष्वाकुः	वायोः पुत्रः पूरुः आसीत् अतः पूरोः पिता वायुः आसीत्	विभीषणः	दशरथः	यदु	पूरोः पिता पाणिनिः आसीत्	पूरोः पिता कहानीवासीत्?	दशरथः	पूरोः पिता बलि आसीत्	रावणः	जनकः
531	नहुषस्य पिता कः आसीत् ?	आयुः		आयुस्	अययातिः	आयुः	अयुः	अयः	नहुषस्य पिता इन्द्रः आसीत्	नहुषस्य पिता ययातिः आसीत्	अयोध्या-नरेशः दशरथः	आयुष्	विवस्वान्	अयोध्यायाः नरेशः
532	रघोः पिता कः आसीत् ?	दिलीपः		दिलीपः	दशरथः	दशरथः	दशरथः	दिलीपः	रघोः पिता दशरथः आसीत्	रघोः पिता दशरथः आसीत्	दशरथः	दशरथः	दशरथः	दशरथः
533	कुबेरस्य पिता कः आसीत् ?	विश्रवाः		विश्रवाः	"विश्रवा

कुबेरस्य पिता विश्रवा मुनिः आसीत् विश्रवा ऋषिः पुलस्त्यस्य पुत्र"	विश्वकर्मा	विश्रवाः	विश्रवा	इंद्रः	कुबेरस्य पिता वैश्रवणः आसीत् वैश्रवणः समुद्रराजस्य च आस	विश्वश्रवाः	विश्रवसः	वसिष्ठः	विश्वश्रवा
534	ऋषेः दुर्वाससः पिता कः आसीत् ?	अत्रिः		अत्रिः	वशिष्ठः	अत्रिः  दुर्वासस्य क्रोधः तस्य मातुः अनसूयायाः पितुः अत्रेः शापस्य कारणेन आसीत्	अत्रिः	अत्रिभगवान्	ऋषेः दुर्वाससः पिता आशिषः आसीत्	ऋषेः दुर्वाससः पिता ऋषि अत्रि आसीत्	अत्रिः	ऋषेः दुर्वाससः पिता अत्रि आसीत्	दुर्वाससः ऋषेः पिता नारदः आसीत्	अत्रि ऋषिः
535	त्रिशङ्कोः पिता कः आसीत् ?	पृथुः		सत्यव्रतः	बाहुः	इक्ष्वाकुः   त्रिशङ्कोः पिता इक्ष्वाकुवंशीयः राजा इक्ष्वाकुः आसीत्	रावणः	पृथु	त्रिशङ्कोः पिता इन्द्रः आसीत्	त्रिशङ्कस्य पिता वसिष्ठः आसीत्	त्रिशङ्कोः पिता ककुत्स्थः इत्युच्यते	अरिष्टनेमिः	त्रिशङ्कोः पिता विश्वामित्रः आसीत्	त्रिशङ्कोः पिता सत्यव्रतः आसीत्
536	स्वयंप्रभाया: पिता कः आसीत् ?	मेरुसावर्णिः		मेघनाद:	स्वयंप्रभायाः पिता मेरुसावर्णिः आसीत्	रैवणः  स्वयंप्रभा रावणस्य पुत्री आसीत्	विश्वरथः	माया	स्वयंप्रभाया: पिता जनकः आसीत्	स्वयंप्रभाया पिता कस्यासीत्? रामस्यासीत्	कुशध्वजः	स्वयंप्रभाया: पिता जनक आसीत्	विष्णु	स्वयम्प्रभायाः पिता काश्यप ऋषिः आसीत्
537	रावणस्य पितामहः कः आसीत् ?	पुलस्त्यः		पुलस्त्यः	पुलस्त्यः	पुल्स्त्यः	पुलस्त्यः	पुलस्त्यः	रावणस्य पितामहः Pulastya मुनिः आसीत्	दशग्रीवः रावणस्य पितामहः आसीत्	कुम्भकर्ण:	पुलस्त्यः	रावणस्य पितामहः विश्रवस् आसीत्	वसिष्ठः
538	श्रीरामस्य पितामहः कः आसीत् ?	अजः		अजः	दशरथस्य पिता अज: आसीत् अतः श्रीरामस्य पितामहः अज: इति उत्तरम्	दशरथः	अजः	अजः	श्रीरामस्य पितामहः राजा दशरथस्य पिता, अर्थात् राजा अंशुमान् आसीत्	श्रीरामस्य पितामहः दिलीपः आसीत्	दशरथः	श्रीरामस्य पितामहः अजः आसीत्	अयोध्यायां राजा दशरथः	दशरथः
539	सः कः वानरः आसीत्, यः वानराणाम् पितामहः आसीत् ?	सन्नादनः		ऋक्षः	सुग्रीवः	कपिलः	हनूमान्	ब्रह्मणः मानसपुत्रः ब्रह्मर्षिः पुलस्त्यः  पुलस्त्यस्य पुत्रः विश्रवाः  विश्रवसः पत्नी पुष्पोत्कटा  पुष्पोत्कट	सः वानरः वाळी आसीत्	हनुमान् वानरः आसीत्, यः वानराणाम् पितामहः आसीत्	ब्रह्मा	सुग्रीवस्य पितामहः	वाली	कश्यपः
540	भरतस्य पत्न्याः किं नाम आसीत् ?	माण्डवी		माण्डवी	भरतस्य पत्न्याः नाम माण्डवी आसीत्	माण्डवी	मन्दवी	माण्डवी	भरतस्य पत्न्याः नाम 'मंडवी' आसीत्	भरतस्य पत्न्याः नाम यीथा आसीत्	"मांडवी 

**नोट :**

एकपदेन उत्तरं देयमिति न नियमास्ति मांडवी इति उत्तरं सम्यक् वर्तते तथापि तां नामकरणस्य कारणं यदि विज्ञातव्यं भवति तदा तद्"	माण्डवी	श्रुतकीर्ति	माण्डवी
541	लक्ष्मणस्य पत्न्याः नाम किम् आसीत् ?	उर्मिला		उर्मिला	ऊर्मिला	**ऊर्मिला**	उर्मिला	उर्मिला	उर्मिला	लक्ष्मणस्य पत्न्याः नाम उर्मिला आसीत्	उर्मिला	उत्तरम् - उर्मिला	सीता	सीतेति
542	शत्रुघ्नस्य पत्न्याः किं नाम आसीत् ?	श्रुतकीर्तिः		श्रुतकीर्तिः	श्रुतकीर्तिः	श्रुतकीर्तिः	श्रुतकीर्ति	श्रुतकीर्तिः	"शत्रुघ्नस्य पत्न्याः नाम ""श्रुतकीर्तिः"" आसीत्"	शत्रुघ्नस्य पत्न्याः नामा नाम्नी आसीत्	सुमित्रा !	श्रुतकीर्तिः	शत्रुघ्नस्य पत्न्या श्रुतकीर्ति नाम आसीत्	सुत्री
543	मेघनादस्य पत्नी का आसीत् ?	सुलोचना		सुलोचना	मेघनादस्य पत्नी सुलोचना आसीत्	सुमाला	इन्द्रजितस्य पत्नी सुलोचना	सुलोचना	मेघनादस्य पत्नी चम्पा आसीत्	मेघनादस्य पत्नी त्रिजटा नाम्नी आसीत्	सुलोचना	सुलोचना	मेघनादस्य पत्नी राक्षसी त्रिशिरा आसीत्	मन्दोदरी
544	विभीषणस्य पत्न्याः किं नाम आसीत् ?	सरमा		सरमा	"सरमा

विभीषणस्य पत्नी सरमा नाम्ना प्रसिद्धा आसीत्"	**त्रिजटा**	सुर्पनखा	सरमा	विभीषणस्य पत्न्याः नाम तातक्याऽसीत्	विभीषणस्य पत्न्याः नाम नीला आसीत्	सरमा	सीता	विभीषणस्य पत्न्या राक्षसी आसीत्	सर्वमंगला
545	कुम्भकर्णस्य पत्न्याः किं नाम आसीत् ?	वज्रज्वाला		वज्रज्वाला	"कुम्भकर्णस्य पत्न्याः नाम रामायणे स्पष्टतया नोल्लिखितम् अतः प्रश्नस्योत्तरं """	वज्रज्वला	विद्युत्जिह्वा	वज्रज्वाला	"कुम्भकर्णस्य पत्न्याः नाम ""विभीषणा"" अस्ति"	"कुम्भकर्णस्य पत्न्याः नाम ""वज्रंखी"" इति आसीत्"	Valli	कुम्भकर्णस्य पत्न्याः नाम वज्रज्वला आसीत्	शूर्पणखा	वज्रज्वाला
546	शूर्पणखा कस्य पत्नी आसीत् ?	विद्युज्जिह्नस्य		विद्युत्जिह्वस्य	"खरस्य भगिनी

शूर्पणखा खरस्य भगिनी आसीत्, न तु कस्यचित् पत्नी सा रावणस्य भगिन"	विद्युज्जिह्वस्य	नासीत्	विद्युज्जिह्वस्य	शूर्पणखा रावणस्य बहिनि आसीत्	शूर्पणखा रावणस्य भगिनी आसीत् शूर्पणखा रामायणे एक अहं	रावणस्य	रावणस्य भगिनी	रावणस्य	विभीषणस्य
547	राज्ञः जनकस्य पत्न्याः किं नाम आसीत् ?	सुनयना		सुनयना	सुनयना	सुनेत्रा |	सुनैना	सुनयना	सीता	नाम्	सुनयना	सुनयना	जनकस्य पत्न्या विनता नाम आसीत्	सुनयना
548	कुशस्य पत्न्याः किं नाम आसीत् ?	चम्पका		कुमुद्वती	"कुशस्य पत्न्याः नाम रामायणे स्पष्टतया न उल्लिखितम् अतः अस्य प्रश्नस्य उत्तरं ""अ"	कुमुद्वती	नाम्ना कुमुद्वती	वैदेही	"कुशस्य पत्न्याः नाम ""विभाषा"" आसीत्"	कुशस्य पत्न्याः नाम नानी आसीत्	कुमुदवती	कुशस्य पत्न्याः नाम आसीत् - मालविका	कुशस्य पत्न्या शिल्पी नाम आसीत्	कुशस्य भार्या आसीत् कुमारी नामक राजकन्या
549	वालिनः पत्न्याः किं नाम आसीत् ?	ताराा		तारा	तारा	तारा  वालिना पत्नीं रावणात् त्रातुम् इच्छति स्म	तारा	तारा	वालिनः पत्न्याः नाम तातक्य	वालिनः पत्न्याः नाम सुन्दरी आसीत्	तारका	तारा	तारा	तारा
550	सुग्रीवस्य पत्न्याः किं नाम आसीत् ?	रूमा		रुमाः	रुमा	रुमा	तारा	सुग्रीवस्य पत्न्याः नाम रूमा आसीत्	सुग्रीवस्य पत्न्याः नाम तारा आसीत्	सुग्रीवस्य पत्न्याः नाम केन्द्रिय इति आसीत्	रूमा	रुमा	सुग्रीवस्य पत्न्या रुम्बा नाम आसीत्	"तारा

# रामायण-सम्बन्धिनी अन्‍यानि उत्तराणि 

1 रावणस्य कैकवर्ती कुत्र आसीत्? - लङ्कायाम्

2 रामस्य गुरुः कः आसीत्? - विश्व"
551	अहल्या कस्य ऋषेः पत्नी आसीत्?	गौतमः		गौतमस्य	गौतमस्य	गौतमस्य	गौतमस्य	गौतमस्य	अहल्या गौतम ऋषेः पत्नी आसीत्	अहल्या गौतम ऋषेः पत्नी आसीत्	गौतमस्य	अहल्या गौतम-महर्षेः पत्नी आसीत्	अहल्या गौतम ऋषेः पत्नी आसीत्	गौतमेस
552	अत्रेः ऋषेः पत्नी का आसीत्?	अनसूूया		अनसूया	अनसूया	अनसूया	अनसूया	अनसूया	अत्रेः ऋषेः पत्नी का नाम अनसूया आसीत्	अत्रेः ऋषेः पत्नी लोपामुद्रा आसीत् लोपामुद्रा ऋषि अत्रि स्य पत्न	शशीव्रता	अनसूया	अत्रेः ऋषेः पत्नी अनुसूया आसीत्	अत्रेः ऋषेः पत्नी अनसूया आसीत्
553	वसिष्ठस्य ऋषेः पत्नी का आसीत्?	अरुन्धतिः		अरुंधती	अरुन्धती	अरुन्धती	अरुन्धती	अरुन्धती	वसिष्ठस्य पत्नी अरुन्धती आसित्	वसिष्ठस्य ऋषेः पत्नी अरुणा आसीत्	अरुन्धती	अरुन्धती	वसिष्ठस्य ऋषेः पत्नी विष्णुमाला आसीत्	अरुन्धती
554	जमदग्नेः ऋषेः पत्नी का आसीत्?	रेणुका		रेणुका	अरुन्धती	रेणुका	रेणुका	रेणुका	जमदग्नेः ऋषेः पत्नी का नाम अञ्जना आसीत्	जमदग्नेः ऋषेः पत्नी सत्यवती आसीत् अस्याः पुत्रः परशुरामः इत	रेणुका	रेणुका	सुमन्त्रा	रेणुका
555	राज्ञः सगरस्य द्वितीयपत्न्याः किं नाम आसीत्?	सुमतिः		सुमतिः	सुमतिः	सुमतिः	केशिनी	सुमति	"द्वितीयपत्न्याः नाम ""माधवी"" आसीत्"	"सगरस्य द्वितीयपत्न्याः नाम ""सुमती"" आसीत्"	कैकयी	राज्ञः सगरस्य द्वितीयपत्न्याः नाम आसीत् केशिनी	सुमित्रा	कैकेयी
556	महर्षेः कश्यपस्य पत्न्याः किं नाम आसीत्?	अदितिः		अदिति	महर्षेः कश्यपस्य एका प्रमुखा पत्नी अदितिः आसीत्	दितिः	अदितिः	अदिति	"महर्षेः कश्यपस्य पत्न्याः नाम ""आदिति"" आसीत्"	कश्यपस्य पत्न्याः नाम आदिति आसीत्	"कद्रू

Kardru"	कद्रूः, अनला, सुरभि, ताम्रा, स्वाला, पतङ्गी, विनता, क्रोधवशा, यशोधरा, पूर्वजा, कालिन्दी, देववीति, सारमा, सुरसा, इल	कश्यपस्य पत्न्या अदिति नाम आसीत्	अदितिः
557	महर्षेः विश्वामित्रस्य पत्नी का आसीत्?	सती		मेना	महर्षेः विश्वामित्रस्य पत्न्याः नाम रामायणे स्पष्टतया न उल्लिखितम् अतः अस्य प्रश्न	न ज्ञातम्	मेनका	महर्षेः विश्वामित्रस्य पत्नी मेनका आसीत्	विश्वामित्रस्य पत्नी का नाम तारा आसीत्	विश्वामित्रस्य पत्नी त्रिशंकु नाम्नी आसीत्	महर्षेः विश्वामित्रस्य पत्नी मेनका आसीत्	हिमा	महर्षे विश्वामित्रस्य पत्नी शारदा आसीत्	मेनका
558	इक्ष्वाकोः पत्न्याः किं नाम आसीत्?	अलम्बुषा		अलम्बुसा	इक्ष्वाकोः पत्न्याः नाम अलम्बुषा आसीत्	सुमित्रा	इला	इला	इक्ष्वाकोः पत्न्याः नाम सीता आसीत्	इक्ष्वाकोः पत्न्याः नाम अहल्या आसीत्	शीला	इक्ष्वाकोः पत्न्याः नाम आसीत् वेदवती	इक्ष्वाकोः पत्न्या श्रुतकीर्ति नाम आसीत्	कौशल्या
559	ऋषेः याज्ञवल्क्यस्य पत्न्याः किं नाम आसीत्?	मैत्रेयी		मैत्रेयी	मैत्रेयी	मैत्रेयी	मैत्रेयी	मैत्रेयी	याज्ञवल्क्यस्य पत्न्याः नाम माण्डव्याः	याज्ञवल्क्यस्य पत्न्याः नाम गार्गी आसीत्	कैकेयी	मैत्रेयी	मातङ्गी	माइट्रेयी
