ID	QUESTION	ANSWER	CHOICES	gpt-4o	claude-3-5-sonnet-20240620	gemini-1.5-pro	mistral-large-latest	llama-v3p1-405b-instruct	gpt-4o-mini	gpt-3.5-turbo	gemini-1.0-pro	llama-v3p1-70b-instruct	llama-v3p1-8b-instruct
574	वालिनः पुत्री एतासु का आसीत्?	सुभद्रा	 सुभद्रा / लीलाक्षी / मीनाक्षी / सुहागी	सुभद्रा	तारा	**अङ्गदा**  वालिनः पुत्र्याः नाम अङ्गदा इति आसीत्	त्रिजटा	वालिनः पुत्री एतासु का आसीत्?  सुभद्रा	वालिनः पुत्री लीलाक्षी आसीत्	सुभद्रा वालिनः पुत्री आसीत्	वालिनः पुत्री **सुभद्रा** आसीत्	लीलाक्षी	सुभद्रा
575	लक्ष्मणस्य पुत्रः एतेषु कः आसीत्?	अङ्गदः	 कुशः / श्रीदाम / अङ्गदः / लवः	अङ्गदः	श्रीदाम: लक्ष्मणस्य पुत्रः आसीत्	**कुशः**	अङ्गदः	अङ्गदः	लवः	लक्ष्मणस्य पुत्रः अङ्गदः आसीत्	लवः	लवः	अङ्गदः
576	अतिकायः राक्षसः कस्य पुत्रः आसीत्?	रावणः		लङ्केशस्य	अतिकायः रावणस्य पुत्रः आसीत्	रावणस्य	रावणस्य	रावणस्य	अतिकायः राक्षसः रावणस्य पुत्रः आसीत्	अतिकायः राक्षसः रावणस्य पुत्रः आसीत्	माल्यवान्	रावणस्य पुत्रः	अतिकायः राक्षसः विश्रवस्य पुत्रः आसीत्
577	इन्द्रस्य सारथेः मातलिनः पुत्रः कः आसीत्?	गोमुखः		गुह्यकः	"गोमुखः

इन्द्रस्य सारथिः मातलिः, तस्य पुत्रस्य नाम गोमुखः आसीत् रामायणे गोमु"	हनुमान्	सुमालिन्	गोमुखः	मातलिः	मातलिनः पुत्रः विश्वरूपः आसीत्	सुन्दः |	मातलिनः पुत्रः सुमुखः आसीत्	मातलिनः पुत्रः वैवस्वतः आसीत्
578	खरस्य राक्षसस्य पुत्रः एतेषु कः आसीत्?	मकराक्षः	 दूषणः / मकराक्षः / सुबाहुः / अङ्गारकः	मकराक्षः	सुबाहुः	दूषणः	मकराक्षः	दूषणः	दूषणः	मकराक्षः	दूषणः	दूषणः	दूषणः
579	शत्रुघ्नस्य पुत्रः एतेषु कः आसीत्?	शत्रुघाती	 शत्रुघाती / कुशः / चंद्रकेतुः / तक्षः	चंद्रकेतुः	शत्रुघ्नस्य पुत्रः एतेषु तक्षः आसीत्	शत्रुघाती	चंद्रकेतुः	शत्रुघाती	शत्रुघ्नस्य पुत्रः चंद्रकेतुः आसीत्	शत्रुघ्नस्य पुत्रः कुशः आसीत्	चंद्रकेतुः	चंद्रकेतुः	शत्रुघ्नस्य पुत्रः कुशः आसीत्
580	नलकूबरः कस्य पुत्रः आसीत्?	कुबेरस्य		कुबेरस्य	नलकूबरः कुबेरस्य पुत्रः आसीत्	विश्वकर्मा	वैश्रवणस्य	नलकूबरः कुबेरस्य पुत्रः आसीत्	नलकूबरः रावणस्य पुत्रः आसीत्	नलकूबरः नलकूबरस्य पुत्रः आसीत्	नलकूबरः कुबेरस्य पुत्रः आसीत्	नलकूबरः कुबेरस्य पुत्रः आसीत्	नलकूबरः रावणस्य पुत्रः आसीत्
581	त्रिशङ्कोः पुत्रः एतेषु कः आसीत्?	धुन्धुमारः	 अम्बरीषः / रोमपाद: / गयः / धुन्धुमारः	धुन्धुमारः	हरिश्चन्द्रः	**अम्बरीषः**	हरिश्चन्द्रः	हरिश्चन्द्रः त्रिशङ्कोः पुत्रः आसीत्	अम्बरिषः	त्रिशङ्कस्य पुत्रः गयः आसीत्	Harischandraha	अम्बरीषः	धुन्धुमारः
582	नारदः कस्य मानसपुत्रः आसीत्?	ब्रह्मणः		ब्रह्मणः	ब्रह्मणः	ब्रह्मणः  नारदः ब्रह्मणः मानसपुत्रः आसीत्	ब्रह्मणः	ब्रह्मणः	नारदः ब्रह्मा मानसपुत्रः आसीत्	नारदः ब्रह्माणस्य मानसपुत्रः आसीत्	ब्रह्मणः	ब्रह्मणः	नारदः ब्रह्मणः मानसपुत्रः आसीत्
583	विश्वामित्रस्य पुत्रः एतेषु कः आसीत्?	हविष्यन्दः	 हविष्यन्दः / अङ्गदः / गन्धमादनः / कुशीनरः	कुशीनरः	हविष्यन्दः	**कुशीनरः**  विश्वामित्रः कौशिकगोत्रस्य ऋषिः आसीत्  कुशस्य पुत्रः कुशीनरः इति	हविष्यन्दः	विश्वामित्रस्य पुत्रः कुशीनरः आसीत्	अङ्गदः	विश्वामित्रस्य पुत्रः हविष्यन्दः आसीत्	### उत्तरम्: हविष्यन्दः	हविष्यन्दः	अङ्गदः
584	भगीरथस्य पुत्रः एतेषु कः आसीत्?	ककुत्स्थः	 अज: / अंशुमान् / दिलीपः / ककुत्स्थः	अंशुमान्	"दिलीपः

भगीरथस्य पुत्रः दिलीपः आसीत् रामायणे वर्णितं यत् भगीरथात् दिलीपः जातः"	"**दिलीपः** 

दिलीपः भगीरथस्य पुत्रः आसीत् |"	अंशुमान्	अंशुमान्	अंशुमान्	भगीरथस्य पुत्रः ककुत्स्थः आसीत्	दिलीपः	दिलीपः	अंशुमान्
585	रावणस्य मातामही एतासु का आसीत्?	केतुमती	 केतुमती / कुंभीनसी / कैकसी / मंदोदरी	केतुमती	"कैकसी

कैकसी रावणस्य माता आसीत्, न तु मातामही रावणस्य मातामही केतुमती आसीत् केतुमती सुमाल"	**कैकसी**	कैकसी	कैकसी	रावणस्य मातामही कैकसी आसीत्	रावणस्य मातामही कैकसी आसीत्	केतुमती	केतुमती	केतुमती
586	ताटका रावणस्य का आसीत्?	मातामही		भगिनी	ताटका रावणस्य मातामही आसीत्	मातुः रावणः ताटकायाः पुत्रः आसीत् |	भगिनी	मातुलानी	ताटका रावणस्य एकस्य दैत्यस्य मातरः आसीत्	ताटका रावणस्य असिति नास्ति ताटका रावणस्य भागिनी आसीत्	मातः	ताटका रावणस्य भगिनी आसीत्	ताटका रावणस्य पत्नी आसीत्
587	रावणस्य मातामहः कः आसीत्?	पुलस्त्यः		सुमाली	कालकेयः	सुमाली	सुमाली	माल्यवान्	रावणस्य मातामहः पुलस्त्यः आसीत्	रावणस्य मातामहः विश्रवा नाम्ना आसीत्	माल्यवान्	पुलस्त्यः	रावणस्य मातामहः विश्रवस् आसीत्
588	भरतस्य मातुलः एतेषु कः आसीत्?	युधाजित्	 शेषः / मार्कंडेयः / युधाजित् / अश्वपतिः	युधाजित्	युधाजित्	**युधाजित्**	युधाजित्	युधाजित्	युधाजित्	भरतस्य मातुलः युधाजित् आसीत्	युधाजित्	युधाजित्	अश्वपतिः
589	सुग्रीवस्य मातुलः एतेषु कः आसीत्?	दधिमुखः	 दधिमुखः / अग्निमुखः / अग्निवर्णः / अग्निकेतुः	दधिमुखः	दधिमुखः	"**दधिमुखः** 

सुग्रीवस्य माता रुमा आसीत्, या दधिमुखस्य पुत्री"	दधिमुखः	सुग्रीवस्य मातुलः दधिमुखः आसीत्	सुग्रीवस्य मातुलः दधिमुखः आसीत्	सुग्रीवस्य मातुलः अग्निमुखः आसीत्	दधिमुखः	अग्निवर्णः	अग्निमुखः
590	श्रीरामस्य मातामहस्य किं नाम आसीत्?	भानुमान्		कुशध्वजः	कोसलराजस्य	जनकः	गद्धिः	अजः	"श्रीरामस्य मातामहस्य नाम ""गुंडूष"" आसीत्"	श्रीरामस्य मातामहस्य नाम कौसल्या आसीत्	कौशल्याया: पिता	श्रीरामस्य मातामहस्य नाम आसीत् देवतातः	अयोध्यायां राजा दशरथस्य पुत्रो रामः  तदनन्तरं रामस्य मातामहस्तु राजा अयोध्यायां दशरथः
591	भरतस्य मातामहस्य किं नाम आसीत्?	अश्वपतिः		अश्वपतिः	भरतस्य मातामहस्य नाम अशोकः आसीत्	अश्वपतिः	अश्वपतिः	केकयः	भरतस्य मातामहः ऋषि वशिष्ठः आसीत्	भरतस्य मातामहस्य नाम गातोत्कचः आसीत्	जनकः	भरतस्य मातामहस्य नाम आसीत् - केकयः	भरतस्य मातामहस्य कौशिक आसीत्
592	हनुमतः मातामहस्य किं नाम आसीत्?	कुञ्जरः		सुर्यः	हनुमतः मातामहस्य नाम केसरी आसीत्	वायुः   पवनपुत्रः हनुमान्	केसरी	सुषेणः	"हनुमतः मातामहस्य नाम ""वायु"" अस्ति"	हनुमतः मातामहस्य नाम अन्जना आसीत्	पवनः	हनुमतः मातामहस्य नाम केसरी आसीत्	"हनुमतः मातामहस्य नाम ""अनसूया"" आसीत्"
593	अंगदस्य मातामहस्य किं नाम आसीत्?	तारा		वालि	"अंगदस्य मातामहस्य नाम वालि आसीत्

वालि सुग्रीवस्य भ्राता आसीत् अंगदस्य माता तारा,"	बाली |	सुग्रीवस्य	वाली	अंगदस्य मातामहः वानरराजः बाली आसीत्	अंगदस्य मातामहस्य नाम अदितिः आसीत्	तृणबिंदुः	अंगदस्य मातामहस्य नाम सुग्रीव आसीत्	अंगदस्य मातामहस्य कौशल्यायन आसीत्
594	मारीचः रावणस्य कः आसीत्?	मातुलः		मित्रम्	मारीचः रावणस्य मातुलः आसीत्	मातुलः रावणस्य मातुः भ्राता मारीचः आसीत्	मामा	मामा	मारीचः रावणस्य मित्रः आसीत्	मारीचः राक्षसः आसीत्	मामा	मारीचः रावणस्य मामा आसीत्	मारीचः रावणस्य पुत्रः आसीत्
595	लवणासुरः रावणस्य कः आसीत्?	स्वस्रीयः		भ्राता	लवणासुरः रावणस्य पुत्रः न आसीत् सः रावणस्य भ्राता मधुः तस्य पुत्रः आसीत् लवणासु	पौत्रः रावणपुत्रस्य इन्द्रजितः पुत्रः लवणासुरः आसीत्	भ्राता	लवणासुरः रावणस्य अनुजः आसीत्	लवणासुरः रावणस्य मत्रः आसीत्	लवणासुरः रावणस्य श्वशुरः आसीत्	मित्रस्य पुत्रः	लवणासुरः रावणस्य भ्रात्रा आसीत्	रावणस्य पुत्रः लवणासुरः आसीत्
596	मेघनादस्य मातुलस्य किं नाम आसीत्?	दुन्दुभिः		शूर्पणखा	"मेघनादस्य मातुलस्य नाम मायावी आसीत्

मायावी असुरराजः आसीत्, यः रावणस्य भगिन्याः पतिः"	कुम्भकर्णः  रावणस्य भ्राता आसीत् कुम्भकर्णः	रावणः	मारीचः	"मेघनादस्य मातुलस्य नाम ""अग्निवर्ण"" आसीत्"	मेघनादस्य मातुलस्य नाम विभीषणः आसीत्	कुम्भकर्णः	मेघनादस्य मातुलस्य नाम विश्रवस् आसीत्	रावणः
597	प्रहस्तः राक्षसः रावणस्य कः आसीत्?	मातुुलः		सेनापतिः	प्रहस्तः रावणस्य सेनापतिः आसीत्	मन्त्रिणः	सचिवः	प्रहस्तः राक्षसः रावणस्य मन्त्री आसीत्	प्रहस्तः राक्षसः रावणस्य प्रमुखः सेनापतिः आसीत्	प्रहस्तः राक्षसः रावणस्य सेनापतिः आसीत्	सर्वानुचरः	प्रहस्तः रावणस्य मन्त्री आसीत्	प्रहस्तः रावणस्य पुत्रः आसीत्
598	श्रवणकुमारस्य वधः कस्य हस्ताभ्याम् अभवत्?	दशरथस्य		दशरथस्य	"दशरथस्य

श्रवणकुमारस्य वधः दशरथस्य हस्ताभ्याम् अभवत् रामायणे वर्णितानुसारं द"	दशरथस्य  श्रवणकुमारस्य पितरौ मन्येते स्म यत् दशरथः सिंहनादं कुर्वन् अस्ति इति	रावणस्य	दशरथस्य	श्रवणकुमारस्य वधः दाशरथिनः हस्ताभ्याम् अभवत्	श्रवणकुमारस्य वधः दशरथेन राज्ञा हस्ताभ्याम् अभवत्	दशरथेन	दशरथस्य	रावणस्य हस्ताभ्याम् अभवत्
599	जटायुः कस्य हस्तेन हतः आसीत्?	रावणस्य		रावणस्य	जटायुः रावणस्य हस्तेन हतः आसीत्	रावणस्य	रावणस्य	रावणस्य	जटायुः रामस्य हस्तेन हतः आसीत्	जटायुः रामस्य हस्तेन हतः आसीत्	रावणेन	रावणेन	रावणस्य हस्तेन
600	कौसल्यायाः मृत्युः कदा अभवत्?	श्रीरामस्य अश्वमेधयज्ञस्य समाप्तेः अनन्तरम्		अत्र रामायणस्य मूलपाठे कौसल्यायाः मृत्युः विषये स्पष्टं वर्णनं नास्ति	कौसल्यायाः मृत्युः रामायणे स्पष्टतया न वर्णितः रामायणस्य अन्ते सा जीवन्ती एव दृश्य	रामायणे कौसल्यायाः मृत्युः न वर्णिता	कौसल्यायाः मृत्युः रामस्य उत्तरकाण्डे अभवत्	रामस्य राज्याभिषेकानन्तरं द्वादशवर्षाणि	कौसल्यायाः मृत्युः रामायण-परिप्रेक्ष्ये त्रेतायाम् अभवत्	कौसल्यायाः मृत्युः अयोध्यायां रामस्य अयोध्याप्रवेशे अभवत	रघुवंशस्य उत्तरे अर्धस्य अवसरे	कौसल्यायाः मृत्युः रामायणान्ते अभवत्	कौसल्यायाः मृत्युः रामायणे वर्णिते अनुसार कौसल्या रामायणे वर्णिते अनुसार कौसल्या कैकेयी सीता रामायणे वर्णिते अनुस
601	अशोकवाटिकायां हनूमतः कराभ्यां रावणस्य कः पुत्रः हतः आसीत्?	अक्षकुमारः		अक्षः	"अक्षकुमारः

अशोकवाटिकायां हनूमता रावणस्य पुत्रः अक्षकुमारः हतः आसीत् हनूमान् स"	अक्षकुमारः	अक्षः	अक्षः	अशोकवाटिकायां हनूमतः कराभ्यां रावणस्य पुत्रः लङ्कापति-आभासुरः हतः आसीत्	हनूमतः कराभ्यां अशोकवाटिकायां रावणस्य पुत्रः मेघनादः हतः आसीत	इन्द्रजीत्	अक्षयकुमारः	अशोकवाटिकायां हनूमतः कराभ्यां रावणस्य मेघनादः पुत्रः हतः आसीत्
602	अयोध्यायाः राजा मान्धाता कस्य कराभ्यां हतः अभवत्?	लवणासुरस्य; लवणासुरेण; लवणेन		रावणस्य	क्षमस्व, अत्र त्रुटिः अस्ति मान्धाता अयोध्यायाः राजा आसीत्, परन्तु तस्य मृत्युः	दशरथेन  पुत्रकामेष्टियज्ञेन प्राप्तपुत्रलाभेन मन्दः आसीत् इति हेतोः	लवणेन	लवणासुरेण	राजा मान्धाता जनकस्य कराभ्यां हतः अभवत्	मान्धाता राजा स्वयं अपने पुत्रस्य, यदु नामकस्य, कराभ्यां हतः अभव	कृतादभिः	लवणासुरेण	अयोध्यायाः राजा मान्धाता श्रीरामस्य पित्रा राजा कस्य कराभ्यां हतः अभवत्?
603	महर्षेः जमदग्नेः हत्यां कः अकरोत्?	सहस्रार्जुनः; कार्तवीर्यार्जुनः		रेणुकानन्दनः परशुरामः	"कार्तवीर्यार्जुनः

महर्षेः जमदग्नेः हत्यां कार्तवीर्यार्जुनः अकरोत् रामायणानु"	कार्तवीर्यार्जुनः क्रोधात्	रामः	राजा कार्तवीर्य अर्जुनः	दशरथः	भगवान् परशुरामः अपने पितरं, महर्षिं जमदग्निं हत्या कर्तुं गतः	परशुरामेण	कर्णः	तार्क्ष्य
604	लंकिनींं राक्षसींं कः मुष्टिप्रहारैः हतवान्?	हनुमान्		हनुमान्	हनुमान्	हनुमान्  क्रोधेन	हनुमान्	हनुमान्	रामः मुष्टिप्रहारैः लंकिनींं राक्षसींं हतवान्	सुग्रीवः रावणेन मुष्टिप्रहारैः हतवान्	हनुमान्	हनुमान्	रामः
605	वालिनः वधः कस्य कराभ्यां अभवत्?	श्रीरामस्य; रामस्य		रामस्य	रामस्य	रामेण धर्मरक्षणार्थम्	रामस्य	श्रीरामस्य	वालिनः वधः रामस्य कराभ्यां अभवत्	हनुमता	"रामस्य 
 वालिनं निहतवान् रामः 
 वालिनः पराभवः रामेण कृतः 
 रामो वालिनं जिघांसति 
 वालिनः प्राणान् हरति रामः 
 रामः महाबलि"	वालिनः वधः रामस्य कराभ्यां अभवत्	रामस्य कराभ्यां
606	मेघनादस्य वधं कः अकरोत्?	लक्ष्मणः		लक्ष्मणः	लक्ष्मणः मेघनादस्य वधम् अकरोत्	लक्ष्मणः  क्रोधेन विवशः लक्ष्मणः मेघनादं हतवान्	लक्ष्मणः	लक्ष्मणः	रामः	मेघनादस्य वधं हनुमान् अकरोत्	रामः	लक्ष्मणः	रावणः
607	खरदूषणौ कः हतवान्?	श्रीरामः; रामः		रामः	रामः हतवान्	रामः  रावणस्य आज्ञया सीता हरणार्थम् आगतं खरदूषणं च रामः हतवान्	रामः	रामः	रामः हतवान्	रामः खरदूषणौ हतवान्	रामः	रामेण	रावणः
608	रावणस्य वधं कः अकरोत्?	श्रीरामः; रामः		रामः	रामः	रामः	रामः	श्रीरामः	रामः	रावणस्य वधं श्रीरामः अकरोत्	रामः	श्रीरामः	रामः
609	कुंभकर्णः कस्य कराभ्यां हतः आसीत्?	श्रीरामस्य; रामस्य		रामस्य	रामस्य	श्रीरामेण	रामस्य	रामेण	रामस्य कराभ्यां हतः आसीत्	कुंभकर्णः रावणस्य पुत्रः आसीत् रामायणे रामस्य अयोध्यापुरी	श्रीरामस्य	कुंभकर्णः सुग्रीवेण हतः आसीत्	रामायणे कुंभकर्णं रावणस्य कराभ्यां हतवान् आसीत्
610	ताटकाराक्षस्याः वधं कः अकरोत्?	श्रीरामः; रामः		रामः	रामः	श्रीरामः   ताटकायाः दुराचारान्निग्रहार्थम्	रामः	श्रीरामः	रामः ताटकाराक्षस्याः वधं अकरोत्	ताटकाराक्षस्याः वधं लक्ष्मणः अकरोत्	रामः	रामः	रामः
611	लवणासुरस्य वधः केन कृतः?	शत्रुघ्नेन		शत्रुघ्नः	शत्रुघ्नेन	शत्रुघ्नेन लक्ष्मणेन रावणस्य वधं प्रतिज्ञातम्, अतः लक्ष्मणस्य स्थानापन्नः भूत्वा शत्रुघ्नः लवणासुरं हतः	शत्रुघ्नेन	शत्रुघ्नेन	लवणासुरस्य वधः रामेण कृतः	लवणासुरस्य वधः लक्ष्मणेन रामस्य सहायेना कृतः	श्रीरामेण	लवणासुरस्य वधः सत्यभामया कृतः	रामेण
612	सुबाहुः राक्षसः केन हतः?	श्रीरामेण; रामेण		रामेण	सुबाहुः राक्षसः रामेण हतः	लक्ष्मणेन सुग्रीवस्य अनुजेन लक्ष्मणेन युद्धे सुबाहुः हतः	रामेण	रामेण	सुबाहुः रामेण हतः	सुबाहुः राक्षसः हनुमता हतः	हनुमता हतः सुबाहुः|	रामेण	रावणेन
613	मारीचः केन हतः?	श्रीरामेण; रामेण		रामेण	रामेण	रामेण धनुष्कोदण्डविशिष्टतेन	रामेण	रामेण	रामेण हतः	मारीचः रामेण हतः	रामः	रामेण	रामेण
614	कालनेमिः (राक्षसः) केन हतः?	हनुमता; हनूमता		हनुमता	"मारुतिना

कालनेमिः रामायणे एकः राक्षसः आसीत् सः हनुमता (मारुतिना) हतः अभवत् हनुमान"	विष्णुना  रावणस्य वरदानत्वात् अन्यः कोऽपि तं हन्तुं न शक्तवान्	हनुमता	विष्णुना	रामेण हतः	कालनेमिः रावणेन हतः	श्री-रामचन्द्रेण हतः	हनुमान्	रामेण
615	सिंहिका राक्षसी केन हता?	हनुमता; हनूमता		हनुमता	"सिंहिका राक्षसी हनुमता हता

हनुमान् लङ्कां गच्छन् समुद्रं लङ्घयति स्म तदा सिंहि"	दुर्गा	हनुमता	हनुमता	सिंहिका राक्षसीं रामस्य भ्राता लक्ष्मणेन हता	सिंहिका राक्षसी हन्तुकामा अस्ति तां हन्तुकामो रावणः अयोध्याय	रावणेन हता	सिंहिका राक्षसी लक्ष्मणेन हता	रावणेन
616	शम्बूकस्य वधः केन कृतः?	श्रीरामेण; रामेण		रामेण	"रामेण

शम्बूकस्य वधः रामेण कृतः रामायणे उत्तरकाण्डे एषा कथा वर्णिता अस्ति शूद"		रामेण	श्रीरामेण	रामेण कृतः	शम्बूकस्य वधः युधिष्ठिरेण कृतः	रामः	शम्बूकस्य वधः श्रीरामेण कृतः	रामेण कृतः
617	दुंदुभिदैत्यः केन हतः?	वालिना		वालिनः	वालिना	बलिना	रामेण	हनुमता	दुंदुभिदैत्यः इन्द्रेण हतः	दुंदुभिदैत्यः हनुमता हतः	रामः	दुंदुभिदैत्यः विष्णुना हतः	रावणेन
618	सुन्दं दैत्यं कः मुनिः शप्त्वा मारितवान्?	अगस्त्यः		अगस्त्यः	"श्रीराम:

मुनिः न, श्रीराम एव सुन्दं दैत्यं हत्वा मारितवान् रामायणे वर्णितं यत् श्"	अगस्त्यः	अगस्त्यः	अगस्त्यः	विष्णु-सहस्रनामे महर्षिः वाल्मीकीः सुन्दं दैत्यं शप्त्वा मारितवान्	सुन्दं दैत्यं दुर्योधनः मुनिः शप्त्वा मारितवान्	अगस्त्यः	अगस्त्यः	वाल्मीकि
619	विराधराक्षसस्य वधः केन कृतः?	रामलक्ष्मणाभ्याम्		रामेण	विराधराक्षसस्य वधः रामेण कृतः	श्रीरामेण	रामेण	रामेण	रामेण कृतः	विराधराक्षसस्य वधः लक्ष्मणेन कृतः	रामः	रामेण	रामेण कृतः
620	अकम्पनः राक्षसः केन हतः?	हनुमता; हनूमता		हनुमता	अकम्पनः राक्षसः लक्ष्मणेन हतः	हनूमता बलशालित्वात्	लक्ष्मणेन	हनुमन्	अकम्पनः रामेण हतः	राक्षसः हनुमाना हतः अयं रामायण-काव्ये एकः घटनायाम् उल्लेख	इन्द्रेण	हनुमता	रावणः
621	अग्निकेतुः राक्षसः केन हतः आसीत् ?	श्रीरामेण; रामेण		हनूमता	"रामेण

रामायणे वर्णितानुसारं, अग्निकेतुः नाम राक्षसः श्रीरामेण एव हतः आसीत्"	नीलेन	रामेण	लक्ष्मणेन	अग्निकेतुः राक्षसः रामेण हतः आसीत्	अग्निकेतुः राक्षसः यमेना हतः आसीत् यमस्य दूतः यमदूतः	लक्ष्मणेन हतः आसीत्	अग्निकेतुः राक्षसः श्रीरामेण हतः आसीत्	रावणेन
622	अतिकायः राक्षसः केन हतः आसीत् ?	लक्ष्मणेन		रामेण	लक्ष्मणेन		लक्ष्मणेन	लक्ष्मणेन	अतिकायः राक्षसः रामेण हतः आसीत्	रामेण हतः आसीत्	हनुमता	हनुमता	रावणः
623	प्रहस्तस्य वधं कः कृतवान्?	नीलः		हनुमान्	लक्ष्मणः	नेताजी सुभाषचन्द्रबोसः	लक्ष्मणः	नीलः	रामः प्रहस्तस्य वधं कृतवान्	प्रहस्तस्य वधं लक्ष्मणः कृतवान्	लक्ष्मणः	नीलः	रावणः
624	रावणस्य सेनापतिः प्रघसः केन हतः आसीत् ?	सुग्रीवेण		हनुमता	"सुग्रीवेण

प्रघसः रावणस्य सेनापतिः आसीत् रामायणे वर्णितं यत् सुग्रीवः, वानरराज"	लक्ष्मणेन	लक्ष्मणेन	नन्दनेन	रामस्य भ्राता लक्ष्मणेन हतः आसीत्	प्रघसेना हतः रावणस्य सेनापतिः खरः आसीत् खरः रावणस्य द्विती	हनुमता	नीलेन	रावणस्य सेनापतिः प्रघसः कुम्भकर्णेन हतः आसीत्
625	निकुम्भस्य वधं कः कृतवान्?	हनुमान्		हनुमान्	"कुमारः

इन्द्रजित्-पुत्रः निकुम्भः युद्धे कुमारेण (कार्तिकेयेन) हतः रामायणे युद"	श्रीरामः	लक्ष्मणः	हनुमान्	रामः निकुम्भस्य वधं कृतवान्	निकुम्भस्य वधं हनुमान् कृतवान्	लक्ष्मणः	हनुमान्	रावणः
626	वृत्रासुरः केन हतः आसीत् ?	इन्द्रेण		इन्द्रेण	वृत्रासुरः इन्द्रेण हतः आसीत्	इन्द्रेण  इन्द्रः वृत्रासुरस्य वधं कृतवान् यतः सः देवलोकस्य जलं अवरुद्धवान् आसीत्	इन्द्रेण	इन्द्रेण	वृत्रासुरः इन्द्रेण हतः	वृत्रासुरः इन्द्रेण हतः आसीत्	इन्द्रेण	इन्द्रेण	वृत्रासुरः विष्णुना हतः आसीत्
627	रावणस्य एकः सेनापतिः विरूपाक्षः केन हतः आसीत् ?	हनुमता; हनूमता		हनुमता	विरूपाक्षः हनुमता हतः आसीत्	श्रीरामेण	लक्ष्मणेन	सुग्रीवेण	विरूपाक्षः रामस्य भ्रातुः लक्ष्मणेन हतः आसीत्	विरूपाक्षं हत्वा लक्ष्मणः रावणं हतवान्	लक्ष्मणेन लक्ष्मणेन विरूपाक्ष वधः	विरूपाक्षः सुग्रीवेण हतः आसीत्	विरूपाक्षः रावणस्य सेनापतिः कुम्भकर्णेन हतः आसीत्
628	रावणस्य एकः सेनापतिः दुर्धरः केन हतः आसीत् ?	हनुमता; हनूमता		हनुमता	दुर्धरः हनुमता हतः आसीत्	हनुमता  हनुमता रावणस्य दुर्धरः सेनापतिः हतः	लक्ष्मणेन	हनुमता	दुर्धरः सेनापतिः कुम्भकर्णः रामेण हतः आसीत्	रावणस्य एकः सेनापतिः दुर्धरः मेघनाद नाम्ना अस्ति तस्य द्वारक	हनुमत्	हनुमान्	कर्ण
629	रावणस्य एकः सेनापतिः यूपाक्षः केन हतः आसीत् ?	हनुमता; हनूमता		हनुमता	अङ्गदेन	लक्ष्मणेन क्रोधेन युद्धं कुर्वता लक्ष्मणेन युद्धे हतः यूपाक्षः	हनुमता	सुग्रीवेण	रामस्य भ्राता लक्ष्मणेन हतः आसीत्	रावणस्य एकः सेनापतिः यूपाक्षः हनुमता हतः आसीत्	लक्ष्मणेन	रामेण	रावणस्य सेनापतिः यूपाक्षः कुम्भकर्णेन हतः आसीत्
630	रावणस्य एकः सेनापतिः भासकर्णः केन हतः आसीत् ?	हनुमता; हनूमता		हनूमता	भासकर्णः लक्ष्मणेन हतः आसीत्	अर्जुनेन	रावणस्य सेनापतिः भासकर्णः लक्ष्मणेन हतः आसीत्	हनुमान्	रामेन हतः आसीत्	भासकर्णः हनुमता हतः आसीत्	हनुमता	नहि भासकर्णः नाम रावणस्य सेनापतिः नासीत् भास्कर्णः नाम सूर्यदेवस्य पुत्रः सः सूर्यदेवस्य पुत्रः सूर्यद	भास्करः
631	शम्बरासुरं कोऽवधीत्?	इन्द्रः		रामः	प्रद्युम्नः	प्रद्युम्नः  शम्बरस्य दुराचारम् अङ्गीकृत्य	पार्वती	देवी	रामोऽवधीत्	शम्बरासुरं संयमेन अवधीत् शम्बरासुरः जलनिदाने रमणीयं वनं	रामस्य!	इन्द्रः	रामेण
632	रावणपुत्रं देवान्तकं कोऽवधीत्?	हनुमान्		हनुमान्	हनुमान्	हनुमान्	लक्ष्मणः	हनुमान्	रामः	श्रीरामः देवान्तकं अवधीत्	लक्ष्मणः	हनुमान्	रामेण
633	रावणपुत्रं नरान्तकं कोऽवधीत्?	अङ्गदः		हनुमान्	अङ्गदः	अङ्गदः  बलशालित्वात्	लक्ष्मणः	अंगदः	रामः अवधीत्	नरान्तकं रामः अवधीत्	लक्ष्मणः	अङ्गदः	मेघनादम्
634	राक्षसप्रमुखं यज्ञकोपं कोऽवधीत्?	श्रीरामः; रामः		रामः	रामः	श्रीरामः  लक्ष्मणेन यज्ञकोपस्य भुजौ छित्त्वा तं दुर्बबलं कृतम्, ततः श्रीरामेण तस्य वधः कृतः	रामः	विश्वामित्रः	रामः यज्ञकोपं राक्षसप्रमुखं अवधीत्	राक्षसप्रमुखं यज्ञकोपं अवधीत् एनका नाम्ना राक्षसप्रमुखः य	रामः	रामः	रावणः
635	शम्बरदैत्यं कोऽवधीत्?	श्रीरामः; रामः		सुग्रीवः	"प्रद्युम्नः

रामायणे शम्बरदैत्यस्य वधस्य कथा नास्ति एषा कथा भागवतपुराणे वर्तते"	प्रद्युम्नः  शम्बरस्य दुष्कृत्यात्	शम्बरदैत्यं कोऽवधीत्? इन्द्रः	दिवोदासः	रामः शम्बरदैत्यं अवधीत्	रामः अवधीत्	रामो	इन्द्रः	रामेण
