ID	QUESTION	ANSWER	CHOICES	llama-v3p1-8b-instruct	gemini-1.0-pro	gpt-3.5-turbo	gpt-4o-mini	gpt-4o
445	श्रृंगवेरपुरं कस्याः नद्याः तटे स्थितम् आसीत् ?	गङ्गायाः		गंगायाः	श्रृंगवेरपुरं गोमती नद्याः तटे स्थितम् आसीत्	गंगायाः	गंगा	गङ्गायाः
446	लवपुरं केन स्थापितं आसीत् ?	लवेन		अयोध्या	"शत्रुघ्न: 
शत्रुघ्न: लवपुरं स्थापितवान् आसीत्"	रामेण्	लव द्वारा	लवेन
447	वानरयूथपतिः प्रमाथी कस्मिन् पर्वते निवसति स्म ?	मन्दारपर्वते		वानरराजा बाली	ऋष्यमूक पर्वते	किष्किन्धा	किष्किन्धा	ऋष्यमूकपर्वते
448	मतंगमुनेः शापभयेन वाली कं पर्वतः न गच्छति स्म?	ऋष्यमुखम्		वानरराज	ऋष्यमूकः	गच्छति	कञ्चन पर्वतः	ऋष्यमूकः
449	सः कः देशः आसीत् यः सुन्दरीकृतानां अश्वानां कृते प्रसिद्धः?	बाह्लीकः		मिथिला	गांधार:	दण्डकारण्यः्	अयोध्या	कम्बोजः
450	ऋचीकमुनेः आश्रमः कस्मिन् पर्वते आसीत् ?	भृगुतुङ्गे		विनाशकुण्डे	चक्रवाण पर्वते	गोवर्धने	महेंद्र पर्वते	हिमालयः
451	सीतायाः अन्वेषणाय सुग्रीवेण हनूमान् अङ्गदः च कस्यां दिशि प्रेषितौ?	दक्षिणदिशि		दिशा	दक्षिण दिशि	दक्षिणां	दक्षिणदिशि	दक्षिणाम्
452	वानरयूथपतिः केसरी कस्मिन् पर्वते सन्निविष्टः आसीत्?	काञ्चनपर्वते		रिष्य मुनिपर्वते	ऋष्यमूकपर्वते	मालय पर्वते	कृ mountains	ऋष्यमूकपर्वते
453	सीतायाः अन्वेषणाय सुग्रीवः पाण्ड्यदेशं प्रति कं प्रेषितवान्?	अङ्गदम्		वानरसेना	अंगदः	हनुमान्	हनुमानम्	हनूमन्तम्
454	वनवासगमनसमये श्रीरामः अयोध्यावासीनः कस्मिन् स्थले सुप्तान् त्यक्त्वा गतवान्?	शृङ्गवेरपुरे		पवित्राश्रमे	श्रृंगवेरपुरम्	चैत्रमासे	दण्डकवनम्	गङ्गातीरे
455	भरतः बाल्यकाले कुत्र अवसत्?	मातुलगृहे		वानर	केकये	अयोध्यायाम्	अयोध्यायाम्	नन्दिग्रामे
456	सीतायाः स्वयम्वरसमये राजा जनकः कुशध्वजं कस्याः नगर्याः आह्वयत्?	साङ्काश्याः		मिथिलायाः	मिथिला	रामस्य्	मिथिला	कुशध्वजम् साकेत नगर्याः आह्वयत्
457	सीतायाः अन्वेषणाय लङ्कां सर्वप्रथमतः कः प्राप्तवान्?	हनुुमान्		वानरराज हनुमान	हनुमान् लङ्कां सर्वप्रथमतः प्राप्तवान्	हनुमानः	हनुमानः	हनुमानः
458	श्रीरामस्य जन्म कस्मिन् स्थले अभवत्?	अयोध्यायाम्		आयोध्ये	"अयोध्या
A specific location within Ayodhya is not mentioned in the Ramayana"	अयोध्यायाम्	अयोध्या	अयोध्यायाम्
459	हनुमता सह सीतायाः सर्वप्रथमं  कस्मिन् स्थले मेलनम् अभवत्?	अशोकवाटिकायाम्		अशोक वाटिका	अशोक वाटिका	अशोकवनिकायाम्	पञ्चवटी	अशोकवाटिका
460	प्रतिष्ठानपुरं कस्याः नद्याः तीरे अवस्थितम्?	गङ्गायमुुनयोः सङ्गमे		गंगायाः	गंगा	सीतायाः	गंगा	प्रतिष्ठानपुरं गङ्गायाः तीरे अवस्थितम्
461	श्रीरामस्य मित्रं प्रतर्दनः कस्य राजा आसीत्?	काश्याः		श्रीरामस्य मित्रं प्रतर्दनः जनकपुत्र आसीत्	सुग्रीवः	सुग्रीवः	कौशल्यः	काश्याः
462	सुदामा नामकः पर्वतः कस्मिन् देशे स्थितः आसीत्?	बाह्रीकदेशे		गिरिराज पर्वते	सुदामा नामकः पर्वतः गुजरातस्य द्वारकायां स्थितः आसीत्	भारते	गुजराते	भारतदेशे
463	दक्षिणे स्थिते देशे चोले सीतायाः अन्वेषणं कर्तुं सुग्रीवः कम् प्रेषयामास?	अङ्गदम्		वानरसेना	अंगदः	हनुमत्््््््््््््््््््््््््््््््््््््््््््््््््््््््््््	हनुमानम्	हनुमान्
464	सीतायाः अन्वेषणाय सुग्रीवः मगधदेशं प्रति कम् प्रेषयामास?	विनतम्		वानरसेना	हनुमान्	वानरान्	हनुमानम्	हनुमन्तम्
465	श्रीरामस्य मातुः किं नाम आसीत्?	कौसल्या		कौशल्या	कौसल्या	कौसल्या	कौसल्या	कौसल्या
466	हनुमत: जननी का आसीत्?	अञ्जनी		अनसूया	अंजना	अंजना	सीता	अंजनी
467	दशरथस्य माता का आसीत्?	इन्दुमतिः		कोसला राज्य की राजकुमारी	कौसल्या	कौसल्या	कौशल्या	इन्दुमती
468	रावणस्य माता का आसीत्?	कैकसी		कैकसी	कैकसी	कैकेयी	कौशल्या	कैकेसी
469	जटायोः (गृद्धस्य) माता का आसीत्?	श्येनी		मेनका	शकुन्तला	तारा	सारिका	शेनी
470	मन्दोदर्याः मातुः किं नाम आसीत्?	हेमा		हेमा	मायासुरः	कैकेयी	कैकयी	वैश्रवणी
471	विभीषणस्य माता का आसीत्?	कैकसी		कुमुदा	कैकेयी	कैकसीवती	कैकसी	कैकसी
472	खरस्य मातुः नाम किम्?	पुष्पोत्कटा		कैकेयी	कैकेयी	तातकी	कर्णिका	त्रिशिरा
473	दूषणस्य मातुः नाम किम्?	वाका		शुम्भ	तरका	कैकेयी	दूषणस्य मातुः नाम तातः	केतुमा
474	मेघनादस्य मातुः नाम किम्?	मन्दोदरी		राक्षसी	सूर्पनखा	त्रिजटा् |	सुर्यपुत्री	मन्दोदरी
475	मारीचस्य (राक्षसस्य) माता का आसीत्?	ताटका		तारा	तत्का	ताडका	कंता	ताडका
476	नलस्य (वानरस्य) माता का आसीत्?	घृताची		केसिनी	विश्वकर्मन्	अन्जना	नलस्य माता का नाम धेनु थी	असमा
477	लक्ष्मणस्य माता का आसीत्?	सुमित्रा		सुमित्रा	सुमित्रा	सीता	सुमित्रा	सुमित्रा
478	महर्षेः परशुरामस्य माता का आसीत्?	रेणुका		रेणुका	रेणुका	रेणुका	सुमित्रा	रेणुका
479	शत्रुघ्नस्य माता का आसीत्?	सुमित्रा		द्रौपदी	सुमित्रा	कौसल्या	कौसल्याः	सुमित्रा
480	भरतस्य माता का आसीत्?	कैकेयी		कौशल्या	कैकयी	कैकेयीः	कौशल्या	कैकेयी
481	अङ्गदस्य मातुः नाम किमासीत्?	तारा		सुमित्रा	तारा	तारा्	वृत्तिका	ताराम्
482	लवणासुरस्य माता का आसीत्?	कुम्भीनसी		कुमुदा	मधुमती	मायासुरी	लवणासुरस्य माता सुमित्रा आसीत्	मदिरा
483	शतानन्दस्य (जनकस्य पुरोहितस्य) मातुः नाम किमासीत्?	अहल्या		कौशिल्या	शतानन्दस्य (जनकस्य पुरोहितस्य) मातुः नाम शालिनी आसीत्	शांता	सुमित्रा	गौतम्या
484	अकम्पनराक्षसस्य माता का आसीत्?	केतुमती		मारीचा	तड़का/तड़कासुर	कैकेयी	कंठा	सुरसा
485	पूरोः माता का आसीत्?	शर्मिष्ठा		कौशल्या	कौशल्या	कौशल्या	कौशल्या	कैकयी
486	इन्द्रस्य मातुः नाम किमासीत्?	अदितिः		इलावृत्ता	शचि	Aditi	इन्द्राणी	अदितिः
487	अतिकायस्य (रावणस्य पुत्रस्य) माता का आसीत्?	धान्यमालिनी		कैकसी	धरणी / पृथ्वी	कैकेयी्	दनुका	धन्यमालिनी
488	कुबेरस्य माता का आसीत्?	देववर्णिनी		प्रियंवदा	विभावरी	कैकेयी	विभावरी	इडविडा
489	सुरसाया: मातुः नाम किमासीत्?	क्रोधवशा		सुमित्रा	"कश्यप: 

The answer is in Sanskrit"	शबरीः	सुरसा	राक्षसी
490	विराधराक्षसस्य मातुः नाम किमासीत्?	शतह्रदा		त्रिशिरा	न तदा विराधराक्षसस्य मातुः नाम विराधराक्षसः एकः अप्सरा अप्सरा अरंभा अरंभा इति नाम्नि, ततः जातः इति कथा प्रसिद्धा अस्ति	तातकी	"विराधास्य माता नाम ""काकुत्स्था"" आसित्"	शतह्रदा
491	महोदरराक्षसस्य माता का आसीत् ?	पुष्पोत्कटा		माया	कैकसी	ताटका	कुमुदवती	ताडका
492	नागानां माता का आसीत्?	सुरसा		मेनका	कद्रू (Kadru)	अनुला	नागिनि	कद्रू
493	दुन्दुभिदैत्यस्य माता का आसीत्?	हेमा (अप्सराः)		पुष्पा	तारका	कैकेयी	"दुन्दुभिदैत्यस्य माता का नाम ""दुन्दुभि"" था"	रम्भा
494	महर्षेः दुर्वाससः मातुः नाम किम्?	अनसूया		मुनि	"Answer: 
- अनसूया"	अनसूया	अम्बा	अत्रि
495	सिंहिका राक्षसी कस्य माता आसीत्?	राहोः		मारीच	रावणस्य	रावणस्य्	रावणस्य	शूर्पणखा
496	हनुमतः पिता कः आसीत्?	केसरी		वज्रान्तकृत	वायु	वायुः	वायुः	वायुः
497	रावणस्य पिता कः आसीत्?	विश्रवाः		विश्रवस्	विश्वश्रवा	विश्रवा:्	विश्रवा	विश्रवा:
498	ताटकाराक्षस्याः पितुः नाम किम्?	सुकेतुः		रावण	सूर्यः	ताटका	ताटक	सुकेतुः
499	जटायोः पिता कः आसीत्?	अरुणः		विश्रवस्	कश्यपः	जटायोः पिता आसीत् सम्पती	सुर्यः	अरुणः
500	जाम्बवतः पितुः नाम किम्?	गद्गदः		सुग्रीव	"जम्बवंतः, ऋक्षराजः, भाल्लुकः इत्यपि कथ्यते सः भगवतः श्रीरामस्य परमभक्तः आसीत् 

जम्बवतः पितुः नाम ऋक्षराजः इति"	मालीकेतुः	जाम्बवान्	ऋक्षराजः
501	वालिनः पिता कः आसीत् ?	ऋक्षराजः		विश्रवस्	सुग्रीवः	कुबेरः	कुंभकर्णः	ऋक्षराजः
502	सुग्रीवस्य पितुः नाम किम् आसीत् ?	ऋक्षराजः		सुमालि	वाक्लिप्तः	रोमपद्	वाली	रिक्षराजः
503	खरदूषणयोः पिता कः आसीत्?	विश्रवाः		मेघनाथ	रावण:	शर्बरीषा	दशरथः	रावणः
504	नलस्य (वानरस्य) पिता कः आसीत् ?	विश्वकर्मा		विष्णु	"विश्वकर्मा 
The answer is विश्वकर्मा"	केसरी: जाम्बवान् |	कुवलयापीढः	विश्रवा
505	नीलस्य (वानरस्य) पिता कः अस्ति ?	अग्निदेवः		विष्णु	इंद्रः	मरुति:	वायुः	अग्नि:
506	राज्ञः दशरथस्य पितुः नाम किम् आसीत् ?	अजः		अयोध्यानाथः	अजः	कौसल्याः	आसुरजननः	अजः
507	अंगदस्य (वानरस्य) पिता कः आसीत् ?	वाली		वाली	वानरराजः वाली	वालीः	वाली	वालि
508	श्रीरामस्य, लक्ष्मणस्य, भरतस्य, शत्रुघ्नस्य च पिता कः आसीत् ?	दशरथः		दशरथः	दशरथः	दशरथः	दशरथः	दशरथः
509	मन्दोदर्याः पितुः नाम किम् आसीत् ?	मयः		मधु	मायसुराः	मरीचिः्	सुखदुःखः	मयो
510	(सती) सुलोचनायाः पिता कः आसीत् ?	वासुकिः (नागः)		मेघनाथः	(सती) सुलोचनायाः पिता दंडकस्य पुत्रः कुशध्वजः आसीत्	विद्युत्	सत्यकामा	विरोचनः
511	महर्षेः परशुरामस्य पितुः नाम किं आसीत् ?	जमदग्निः		जमदग्नि	जमदग्निः	जामदग्न्यः	जामदग्नि	जमदग्निः
512	महर्षेः विश्वामित्रस्य पितुः नाम किं आसीत् ?	गाधिः		महर्षि विश्वामित्राचे पिताचे नाव कशीष	गादी	गादि	गाधि	गाधिः
513	सुमालिनः (राक्षसस्य) पिता कः आसीत्?	सुकेशः		मारीचः	मलयवाहनः	विष्णुः	सुमालिनः पिता रावणः आसीत्	माल्यवान्
514	लवणासुरस्य पिता कः आसीत् ?	मधुुदैत्यः		रावण	मधुदैत्यः	अहल्या	सुरसेनः	मद्रासुरः
515	शतानन्दस्य (जनकस्य पुरोहितस्य) पिता कः आसीत् ?	गौतमः		विश्वामित्रः	"दक्ष 
* The father of Shतानन्द (the priest of Janaka) was दक्ष"	शतानन्दः	वसिष्ठः	गौतमः
516	महाराजस्य गाधेः पितुः नाम किम् आसीत् ?	कुशनाभः		भारद्वाजः	ऋष्यशृंगः	दशरथः	गाधि	कुश
517	सुन्दस्य दैत्यस्य पिता कः आसीत् ?	जम्भः		मायासुरः	विश्वरावण:	राहुः	विभीषणः	कुबेरः
518	वानरयूथपत्युः मारीचस्य पिता कः आसीत् ?	मरीचः		सुबाहु	"वानरयूथपत्युः मारीचस्य पिता सुमाली आसीत् 

The father of the monkey group leader Maricha was Sumali"	रावणः	वाली	ताटका
519	उल्कामुखस्य अनङ्गस्य च (वानरयोः) पिता कः आसीत् ?	हुताशनः		विष्णु	ऋष्यशृङ्ग:	वालीः	विभीषणः	वायुः
520	महोदरस्य राक्षसस्य पिता कः आसीत् ?	विश्रवाः		रावण	विभिषणः	मरीचिः	रावणः	माल्यवान्
521	मान्धातुः पितुर्नाम किमासीत्?	युवनाश्वः		मान्धातुः पितुर्नाम किमासीत्? - कोसलानाम्	युवनाश्वः	दीर्घदृष्टिः	दिलीपः	युवनाश्वः
522	त्रिशिसस्य राक्षसस्य पिता कः आसीत्?	रावणः		रावण	विश्वश्रवाः	विश्रवा:	रावणः	रावणः
523	मांडव्याः श्रुतकीर्त्याः च पिता कः आसीत्?	कुशध्वजः		मेघनाथ	महर्षि मरीची	विश्वामित्रः	वसिष्ठः	जनकः
524	राजा जनकस्य पिता कः?	ह्रस्वरोमा		अश्वपति	शिरध्वजः	केकयस्य्‌	राजा जनकस्य पिता महाराज सूर्यध्वजः	ह्रस्वधनुस्
525	ककुत्स्थस्य पितुः नाम कथयतु।	भगीरथः		दशरथ	दशरथः	दशरथः	दशरथ	दशरथः
526	कैकेय्याः पितुः नाम किमासीत्?	अश्वपतिः		कश्यप	अश्वपतिः (Aśvapatiḥ)	दशरथः	अभिकामदुक्षिता	अश्वपति:
527	अंशुमतः पिता कः आसीत्?	असमञ्जः		कोसलराजा	अन्यः ः दशरथः	विवास्वान्	सूर्यः	सगरः
528	विराधराक्षसस्य पिता कः आसीत्?	जवः		मारीचः	"Jambavan 
The answer is Jambavan 
Jambavan is a minor character in the Ramayana, but he plays a significant role in the story He is a powerful and wise bear who lives in the Rishyamukha Mountains When Hanuman is searching for Sita, he meets Jambavan"	मरीचिः	रावणः	कश्यपः
529	जमदग्निऋषेः पिता कः आसीत्?	ऋचीकः		रेवत	Answer in Sanskrit: ऋचीकः	परशुरामः	ऋषि	ऋचीकः
530	पूरोः पिता कः आसीत्?	ययातिः		दशरथ	दशरथः	दशरथः	दशरथः	दशरथः
531	नहुषस्य पिता कः आसीत् ?	आयुः		विराधः	"अयोध्यायाः नरेशः ""नाभागः"""	ययातिः	सुर्यः	आयुस्
532	रघोः पिता कः आसीत् ?	दिलीपः		दशरथः	दशरथः	दशरथः	गाधि	दशरथः
533	कुबेरस्य पिता कः आसीत् ?	विश्रवाः		पुलोमन	विश्वश्रवा	वैश्रवः	इन्द्रः	विश्रवा
534	ऋषेः दुर्वाससः पिता कः आसीत् ?	अत्रिः		विश्वामित्रः	ऋषेः दुर्वाससः कोऽपि पिता नास्ति, सः स्वयंभूः आसीत्, यस्य अर्थः स्वयं प्रकटितः भवति	अत्रि:	अग्नि	अत्रिः
535	त्रिशङ्कोः पिता कः आसीत् ?	पृथुः		विश्वामित्रः	सगरः	विश्वामित्रः	सुर्यः	सत्यव्रतः
536	स्वयंप्रभाया: पिता कः आसीत् ?	मेरुसावर्णिः		दशरथ	विश्वकर्मा	जनकः	विष्णु:	मेरुसावर्णि:
537	रावणस्य पितामहः कः आसीत् ?	पुलस्त्यः		विश्रवस्	विश्वश्रवा	विश्रवा:	पुलस्त्यः	सुमाली
538	श्रीरामस्य पितामहः कः आसीत् ?	अजः		आजी	दिग्गजः	ब्रह्मा	आस्र्वकुन्दनम्	अजः
539	सः कः वानरः आसीत्, यः वानराणाम् पितामहः आसीत् ?	सन्नादनः		वाली	ब्रह्मा	हनुमान्	कुंभकर्णः	हनुमानः
540	भरतस्य पत्न्याः किं नाम आसीत् ?	माण्डवी		कुशा	मांडवी	माण्डवी	कौसल्या	माण्डवी
541	लक्ष्मणस्य पत्न्याः नाम किम् आसीत् ?	उर्मिला		सीता	उर्मिला	उर्मिला््	उर्मिला	उर्मिला
542	शत्रुघ्नस्य पत्न्याः किं नाम आसीत् ?	श्रुतकीर्तिः		श्रुतकीर्ति	शत्रुघ्नस्य पत्न्याः नाम आसीत् श्रुतिकीर्तिः |	शूर्पणखा	सुमित्रा	श्रुतकीर्तिः
543	मेघनादस्य पत्नी का आसीत् ?	सुलोचना		राक्षसी	सूर्पनखा	मंदोदरी	सुर्यकान्ता	सुलोचना
544	विभीषणस्य पत्न्याः किं नाम आसीत् ?	सरमा		पुष्पावती	सर्वमङ्गला	शरण्या	सुरसेना	सरमा
545	कुम्भकर्णस्य पत्न्याः किं नाम आसीत् ?	वज्रज्वाला		शूर्पणखा	वज्रज्वाला	वाज्रङ्गिनी्	निःसंशयं	वज्रज्वाला
546	शूर्पणखा कस्य पत्नी आसीत् ?	विद्युज्जिह्नस्य		रावणाची	रावणस्य	रावणस्य	रावणस्य	दूषणस्य
547	राज्ञः जनकस्य पत्न्याः किं नाम आसीत् ?	सुनयना		दशरथ	सीता	सीता््	सुमित्रा	सुनया
548	कुशस्य पत्न्याः किं नाम आसीत् ?	चम्पका		शुम्भा	कुशस्य पत्न्याः नाम कुमारिका आसीत्	नीला	सुमित्रा	कुशध्वज
549	वालिनः पत्न्याः किं नाम आसीत् ?	ताराा		तारा	तारा	तारा्	तारा	तारा
550	सुग्रीवस्य पत्न्याः किं नाम आसीत् ?	रूमा		रूमा	रूमा	तारा	रूपा	रुमाः
551	अहल्या कस्य ऋषेः पत्नी आसीत्?	गौतमः		गौतम ऋषेः	गौतम ऋषि	गौतमस्य्	गौतमस्य	गौतम ऋषेः
552	अत्रेः ऋषेः पत्नी का आसीत्?	अनसूूया		अनसूया	अनसूया	सीता	अनसूया	अनसूया
553	वसिष्ठस्य ऋषेः पत्नी का आसीत्?	अरुन्धतिः		वसिष्ठस्य ऋषेः पत्नी विष्णुमाला आसीत्	अरुन्धती	अरुंधती्	अरुंधती	अरुंधती
554	जमदग्नेः ऋषेः पत्नी का आसीत्?	रेणुका		रेणुका	रेणुका	रेणुका्	अम्बिका	रेणुका
555	राज्ञः सगरस्य द्वितीयपत्न्याः किं नाम आसीत्?	सुमतिः		सुमित्रा	"केशिनि 

References:

* Valmiki Ramayana - बालकाण्डः सर्गः ७
* Srimad Bhagavata Mahapurana - Skandha 9, Adhyaya 9, Shloka 26 
* Srimad Bhagavata Mahapurana"	अन्जना	कश्मीरि	सुमतिः
556	महर्षेः कश्यपस्य पत्न्याः किं नाम आसीत्?	अदितिः		दिति	अदितिः	अदिति्	आदिती	अदिति
557	महर्षेः विश्वामित्रस्य पत्नी का आसीत्?	सती		मेनका	मेनका	त्रिशंबा	सत्यवती	मेना
558	इक्ष्वाकोः पत्न्याः किं नाम आसीत्?	अलम्बुषा		मंत्रावती	कौशल्या	Sita	कौशल्या	श्रीमती
559	ऋषेः याज्ञवल्क्यस्य पत्न्याः किं नाम आसीत्?	मैत्रेयी		मातळी	मैत्रेयी	गार्गी	मन्त्री	मैत्रेयी
560	राका, पुष्पोत्कटा बलाका च कस्य पत्न्यः आसन्?	विश्रवाः		रावणाच्या	"कैकयी 
 
 The answer is कैकयी 
 
 The story of Ramayana is a well-known tale about the battle between good and evil In this epic, Rama, the eldest son of King Dasharatha, is exiled from his kingdom by his stepmother, Kaikeyi"	सुग्रीवस्याः	रामस्य पत्न्यः आसन्	वालिनः
561	इन्द्रस्य पत्न्याः किं नाम आसीत्?	शची		इन्द्रस्य पत्न्याः शची नाम आसीत्	शची	इन्द्रस्य पत्न्याः नाम अहल्या आसीत्	शचि	शची
562	सुमतिः कञ्जानना च एषाम् कस्य पत्न्योः नामनी स्तः?	लवस्य	 लवस्य / कुशस्य / शत्रुघ्नस्य / चंद्रकेतोः	कुशस्य	सुमतिः शत्रुघ्नस्य पत्नी  एव च एषा कञ्जानना च कुशस्य पत्नी अस्ति |	कुशस्य	लवस्य	शत्रुघ्नस्य
563	चन्द्रमसः पत्न्याः किं नाम आसीत्?	रोहिणी		रोहिणी	तारा	तारा्	राधिका	रोहिणी
564	हनुमतः पुत्रः एतेषु कः आसीत्?	मकरध्वजः	 कपिध्वजः / शतध्वजः / मकरध्वजः / सीरध्वजः	कपिध्वजः	"कपिध्वजः 

हनुमतः पुत्र एव कपिध्वजः आसीत् | 

( Note: Only Hanuman had a son - Makardhwaja whereas the answer choices given had names of other Vanaras Hence, the question and answer are aligned)"	मकरध्वजः	मकरध्वजः	मकरध्वजः
565	लक्ष्मणस्य पुत्रः एतेषु कः आसीत्?	चन्द्रकेतुः	 लवः / चंद्रकेतुः / कुशः / सुमन्त्रः	लवः	कुशः	लवः	कुशः	चंद्रकेतुः
566	कुम्भकर्णस्य पुत्रः एतेषु कः आसीत्?	निकुुम्भः	 अक्षकुमारः / मेल्हः / मकराक्षः / निकुंभः	मकराक्षः	निकुंभः	अक्षकुमारः	निकुंभः	निकुंभः
567	भरतस्य पुत्रः एतेषु कः आसीत्?	तक्षः	 तक्षः / चंद्रकेतुः / कुशः / अंगदः	कुशः	"तक्षः 

Explanation: Taksha was the son of Bharata, who was the younger brother of Rama He did not take part in the war against Ravana and stayed back with the old King Dasharatha"	चंद्रकेतुः	कुशः	तक्षः
568	सम्पातेः पुत्रः एतेषु कः आसीत्?	सुपार्श्वः	 जटायुः / दीर्घायुः / चिरायुः / सुपार्श्वः	सुपार्श्वः	जटायुः	जटायुः	जटायुः	सुपार्श्वः
569	दशरथस्य पुत्री एतासु का आसीत्?	शान्ता	 सुयशा / सुनन्दा / शान्ता / सुनयना	सुनन्दा	शान्ता	शान्ता	शान्ता	शान्ता
570	विभीषणस्य पुत्री एतासु का आसीत्?	कला	 ललिता / कला / सुकन्या / मीनाक्षी	मीनाक्षी	सकन्या	सुकन्या	सुकन्या	सुकन्या
571	शत्रुघ्नस्य पुत्रः एतेषु कः आसीत्?	सुबाहुः	 चन्द्रकेतुः / अङ्गदः / सुबाहुः / लवः	अङ्गदः	सुबाहुः	अङ्गदः	लवः	सुबाहुः
572	भरतस्य पुत्रः एतेषु कः आसीत्?	पुष्कलः	 अंगदः / कुशः / पुष्कलः / चंद्रकेतुः	अंगदः	कुशः	कुशः	कुशः	पुष्कलः
573	मुनिवरस्य वसिष्ठस्य पुत्रः एतेषु कः आसीत्?	सुयज्ञः	 सुयज्ञः / आरुणिः / उपमन्युः / वेदः	सुयज्ञः	"पर्यायानां सूची

A) सुयज्ञः
B) आरुणिः
C) उपमन्युः
D) वेदः

सही उत्तर है C) उपमन्युः

व्याख्या:

वशिष्ठ ऋषि के पुत्र"	सुयज्ञः	आरुणिः	सुयज्ञः
574	वालिनः पुत्री एतासु का आसीत्?	सुभद्रा	 सुभद्रा / लीलाक्षी / मीनाक्षी / सुहागी	सुभद्रा	"वालिनः पुत्री एतासु लीलाक्षी आसीत् 

The other options are not daughters of Vali
* सुभद्रा: She was the sister of Krishna
* मीनाक्षी: She was the daughter of the Pandya king
* सुहागी"	सुभद्रा	लीलाक्षी	लीलाक्षी
575	लक्ष्मणस्य पुत्रः एतेषु कः आसीत्?	अङ्गदः	 कुशः / श्रीदाम / अङ्गदः / लवः	अङ्गदः	लवः	लवः	लवः	अङ्गदः
576	अतिकायः राक्षसः कस्य पुत्रः आसीत्?	रावणः		रावणानः	माली	रावणस्य	रावणस्य	रावणस्य
577	इन्द्रस्य सारथेः मातलिनः पुत्रः कः आसीत्?	गोमुखः		वैवस्वतः	मातलेः सारथिः शल्यः आसीत्	भनुमान्	नान्दि	गुह्यकः
578	खरस्य राक्षसस्य पुत्रः एतेषु कः आसीत्?	मकराक्षः	 दूषणः / मकराक्षः / सुबाहुः / अङ्गारकः	दूषणः	दूषणः	मकराक्षः	दूषणः	मकराक्षः
579	शत्रुघ्नस्य पुत्रः एतेषु कः आसीत्?	शत्रुघाती	 शत्रुघाती / कुशः / चंद्रकेतुः / तक्षः	कुशः	दृष्टीपातः / दृष्टीपातः / दृष्टीपातः / दृष्टीपातः / दृष्टीपातः / दृष्टीपातः / दृष्टीपातः / दृष्टीपातः / दृष्टीपातः /	कुशः	चंद्रकेतुः	चंद्रकेतुः
580	नलकूबरः कस्य पुत्रः आसीत्?	कुबेरस्य		रावणाचा	"विश्वकर्मा  
## 
 
 
  
 
 
 
  
## 
 
 
 
  
## 
 
 
 
 
 
## 
 
 
 
 
 
##"	कुबेरस्य	नलस्य पुत्रः	कुबेरस्य
581	त्रिशङ्कोः पुत्रः एतेषु कः आसीत्?	धुन्धुमारः	 अम्बरीषः / रोमपाद: / गयः / धुन्धुमारः	धुन्धुमारः	"रोमपाद: 
TRANSLATION = Romapada"	अम्बरीषः	रोमपाद:	धुन्धुमारः
582	नारदः कस्य मानसपुत्रः आसीत्?	ब्रह्मणः		ब्रह्मणः	ब्रह्मा	ब्रह्मणः	ब्रह्मा	ब्रह्मणः
583	विश्वामित्रस्य पुत्रः एतेषु कः आसीत्?	हविष्यन्दः	 हविष्यन्दः / अङ्गदः / गन्धमादनः / कुशीनरः	अङ्गदः	विश्वामित्रस्य पुत्रः कुशीनरः आसीत्	हविष्यन्दः	हविष्यन्दः	कुशीनरः
584	भगीरथस्य पुत्रः एतेषु कः आसीत्?	ककुत्स्थः	 अज: / अंशुमान् / दिलीपः / ककुत्स्थः	अंशुमान्	अज:	ककुत्स्थः	अंशुमान्	अंशुमान्
585	रावणस्य मातामही एतासु का आसीत्?	कौतुुमती	 केतुमती / कुंभीनसी / कैकसी / मंदोदरी	मंदोदरी	"रावणस्य मातामही मंदोदरी आसीत्
(The answer is मंदोदरी, as she was the wife of Ravana's father, Vishravas)"	कैकसी	केतुमती	केतुमती
586	ताटका रावणस्य का आसीत्?	मातामही		ताटका रावणस्य आसीत् शुक्राचार्य	माता	राक्षसी	सहायिका	भगिनी
587	रावणस्य मातामहः कः आसीत्?	पुलस्त्यः		विश्रवस्	विश्वश्रवा	कश्यपः	पुलस्त्यः	सुमाली
588	भरतस्य मातुलः एतेषु कः आसीत्?	युधाजित्	 शेषः / मार्कंडेयः / युधाजित् / अश्वपतिः	शेषः	शेषः	शेषः	युधाजित्	युधाजित्
589	सुग्रीवस्य मातुलः एतेषु कः आसीत्?	दधिमुखः	 दधिमुखः / अग्निमुखः / अग्निवर्णः / अग्निकेतुः	अग्निमुखः	दधिमुखः	दधिमुखः	दधिमुखः	दधिमुखः
590	श्रीरामस्य मातामहस्य किं नाम आसीत्?	भानुमान्		अयोध्या	प्रशस्तः	कौसल्या	आसीनः	कुशध्वजः
591	भरतस्य मातामहस्य किं नाम आसीत्?	अश्वपतिः		आदित्य	"मातामहः का नाम? मातामह के पिताजी! दादाजी! 

तो राजा दशरथ के मातामह का नाम क्या था? राजा दशरथ के पिताजी का नाम अज था और अज के पिताजी का"	कैकेयी	अयोध्या	अश्वपति:
592	हनुमतः मातामहस्य किं नाम आसीत्?	कुञ्जरः		विश्वमित्र	वृषभ	आंजनी	वायुः	पराशरः
593	अंगदस्य मातामहस्य किं नाम आसीत्?	तारा		विश्रवस्	बाली	सुन्दरी	विभीषणः	वालि
594	मारीचः रावणस्य कः आसीत्?	मातुलः		रावणस्य मित्रः	मामा	राक्षसः	मित्रः	मित्रम्
