ID	QUESTION	ANSWER	CHOICES	gpt-4o	claude-3-5-sonnet-20240620	gemini-1.5-pro	mistral-large-latest	llama-v3p1-405b-instruct
517	सुन्दस्य दैत्यस्य पिता कः आसीत् ?	जम्भः		जातुकर्णः	निकुम्भः	विश्वावसुः	माया	जम्भः
518	वानरयूथपत्युः मारीचस्य पिता कः आसीत् ?	मरीचः		ताटका	वानरयूथपत्युः सुग्रीवस्य पिता ऋक्षरजः आसीत्, न तु मारीचस्य मारीचस्य पिता ताटका	इन्द्रः   पत्न्यां रोहिण्यां तस्य पुत्रः मारीचः उत्पन्नः	केसरी	सुन्द
519	उल्कामुखस्य अनङ्गस्य च (वानरयोः) पिता कः आसीत् ?	हुताशनः		वायुः	केसरी	केसरी    ऋषिणा गौतमेन शापेन ग्रस्तेन अग्निदेवेन वानररूपेण तस्योत्पत्तिः अभवत्	मयः	अग्निः
520	महोदरस्य राक्षसस्य पिता कः आसीत् ?	विश्रवाः		पुलस्त्यः	कुम्भकर्णः आसीत् महोदरस्य पिता	विभीषणः  रावणस्य अनुजः आसीत् विभीषणः	मयः	दनु
521	मान्धातुः पितुर्नाम किमासीत्?	युवनाश्वः		यवनाश्वः	बाहुकः	युवनाश्वः	युवनाश्वः	युवनाश्वः
522	त्रिशिसस्य राक्षसस्य पिता कः आसीत्?	रावणः		रावण:	रावणः	विश्वा	विश्रवा	पुलस्त्यः
523	मांडव्याः श्रुतकीर्त्याः च पिता कः आसीत्?	कुशध्वजः		कुशध्वजः	दशरथः	युधिष्ठिरः द्यूते हारिताः पाण्डवाः वने वसन्तः तेषां आश्रमं रक्षन्तु इति युधिष्ठिरेण मांडव्य-श्रुतकीर्त्यौ नियुक्तौ	गद्गदः	मांडव्यः श्रुतकीर्त्याः च पिता काकुत्स्थः आसीत्
524	राजा जनकस्य पिता कः?	ह्रस्वरोमा		ह्रस्वधनुः	राजा जनकस्य पितुः नाम ऋषिग्रन्थेषु न स्पष्टं प्रोक्तम् रामायणे वाल्मीकिना अप	निमिः	हृदयराज	हिमवान्
525	ककुत्स्थस्य पितुः नाम कथयतु।	भगीरथः		सुग्रीवः	दशरथः	वैवस्वतमनुः	दशरथः	दशरथः
526	कैकेय्याः पितुः नाम किमासीत्?	अश्वपतिः		अश्वपति:	कैकेय्याः पितुः नाम अश्वपतिः आसीत्	अश्वपतिः	अश्वपतिः	अश्वपतिः
527	अंशुमतः पिता कः आसीत्?	असमञ्जः		चन्द्रः	दशरथः	गगनः	अश्वपतिः	अंशुमतः पिता असुरनामा आसीत्
528	विराधराक्षसस्य पिता कः आसीत्?	जवः		जया	"अगस्त्यः

विराधराक्षसस्य पिता जतायुः आसीत् रामायणे उल्लिखितं यत् विराधः जतायोः पुत्"	जयः  तव प्रश्नस्योत्तरं अस्ति - **माल्यवान्**	जय	जटासुरः
529	जमदग्निऋषेः पिता कः आसीत्?	ऋचीकः		ऋचीक:	परशुरामस्य पिता जमदग्निः आसीत्, तस्य पिता ऋचीकः आसीत् अतः जमदग्निऋषेः पिता ऋ	ऋचीकः	ऋचीकः	ऋचीकः
530	पूरोः पिता कः आसीत्?	ययातिः		इक्ष्वाकुः	वायोः पुत्रः पूरुः आसीत् अतः पूरोः पिता वायुः आसीत्	विभीषणः	दशरथः	यदु
531	नहुषस्य पिता कः आसीत् ?	आयुः		आयुस्	अययातिः	आयुः	अयुः	अयः
532	रघोः पिता कः आसीत् ?	दिलीपः		दिलीपः	दशरथः	दशरथः	दशरथः	दिलीपः
533	कुबेरस्य पिता कः आसीत् ?	विश्रवाः		विश्रवाः	"विश्रवा

कुबेरस्य पिता विश्रवा मुनिः आसीत् विश्रवा ऋषिः पुलस्त्यस्य पुत्र"	विश्वकर्मा	विश्रवाः	विश्रवा
534	ऋषेः दुर्वाससः पिता कः आसीत् ?	अत्रिः		अत्रिः	वशिष्ठः	अत्रिः  दुर्वासस्य क्रोधः तस्य मातुः अनसूयायाः पितुः अत्रेः शापस्य कारणेन आसीत्	अत्रिः	अत्रिभगवान्
535	त्रिशङ्कोः पिता कः आसीत् ?	पृथुः		सत्यव्रतः	बाहुः	इक्ष्वाकुः   त्रिशङ्कोः पिता इक्ष्वाकुवंशीयः राजा इक्ष्वाकुः आसीत्	रावणः	पृथु
536	स्वयंप्रभाया: पिता कः आसीत् ?	मेरुसावर्णिः		मेघनाद:	स्वयंप्रभायाः पिता मेरुसावर्णिः आसीत्	रैवणः  स्वयंप्रभा रावणस्य पुत्री आसीत्	विश्वरथः	माया
537	रावणस्य पितामहः कः आसीत् ?	पुलस्त्यः		पुलस्त्यः	पुलस्त्यः	पुल्स्त्यः	पुलस्त्यः	पुलस्त्यः
538	श्रीरामस्य पितामहः कः आसीत् ?	अजः		अजः	दशरथस्य पिता अज: आसीत् अतः श्रीरामस्य पितामहः अज: इति उत्तरम्	दशरथः	अजः	अजः
539	सः कः वानरः आसीत्, यः वानराणाम् पितामहः आसीत् ?	सन्नादनः		ऋक्षः	सुग्रीवः	कपिलः	हनूमान्	ब्रह्मणः मानसपुत्रः ब्रह्मर्षिः पुलस्त्यः  पुलस्त्यस्य पुत्रः विश्रवाः  विश्रवसः पत्नी पुष्पोत्कटा  पुष्पोत्कट
540	भरतस्य पत्न्याः किं नाम आसीत् ?	माण्डवी		माण्डवी	भरतस्य पत्न्याः नाम माण्डवी आसीत्	माण्डवी	मन्दवी	माण्डवी
541	लक्ष्मणस्य पत्न्याः नाम किम् आसीत् ?	उर्मिला		उर्मिला	ऊर्मिला	**ऊर्मिला**	उर्मिला	उर्मिला
542	शत्रुघ्नस्य पत्न्याः किं नाम आसीत् ?	श्रुतकीर्तिः		श्रुतकीर्तिः	श्रुतकीर्तिः	श्रुतकीर्तिः	श्रुतकीर्ति	श्रुतकीर्तिः
543	मेघनादस्य पत्नी का आसीत् ?	सुलोचना		सुलोचना	मेघनादस्य पत्नी सुलोचना आसीत्	सुमाला	इन्द्रजितस्य पत्नी सुलोचना	सुलोचना
544	विभीषणस्य पत्न्याः किं नाम आसीत् ?	सरमा		सरमा	"सरमा

विभीषणस्य पत्नी सरमा नाम्ना प्रसिद्धा आसीत्"	**त्रिजटा**	सुर्पनखा	सरमा
545	कुम्भकर्णस्य पत्न्याः किं नाम आसीत् ?	वज्रज्वाला		वज्रज्वाला	"कुम्भकर्णस्य पत्न्याः नाम रामायणे स्पष्टतया नोल्लिखितम् अतः प्रश्नस्योत्तरं """	वज्रज्वला	विद्युत्जिह्वा	वज्रज्वाला
546	शूर्पणखा कस्य पत्नी आसीत् ?	विद्युज्जिह्नस्य		विद्युत्जिह्वस्य	"खरस्य भगिनी

शूर्पणखा खरस्य भगिनी आसीत्, न तु कस्यचित् पत्नी सा रावणस्य भगिन"	विद्युज्जिह्वस्य	नासीत्	विद्युज्जिह्वस्य
547	राज्ञः जनकस्य पत्न्याः किं नाम आसीत् ?	सुनयना		सुनयना	सुनयना	सुनेत्रा |	सुनैना	सुनयना
548	कुशस्य पत्न्याः किं नाम आसीत् ?	चम्पका		कुमुद्वती	"कुशस्य पत्न्याः नाम रामायणे स्पष्टतया न उल्लिखितम् अतः अस्य प्रश्नस्य उत्तरं ""अ"	कुमुद्वती	नाम्ना कुमुद्वती	वैदेही
549	वालिनः पत्न्याः किं नाम आसीत् ?	ताराा		तारा	तारा	तारा  वालिना पत्नीं रावणात् त्रातुम् इच्छति स्म	तारा	तारा
550	सुग्रीवस्य पत्न्याः किं नाम आसीत् ?	रूमा		रुमाः	रुमा	रुमा	तारा	सुग्रीवस्य पत्न्याः नाम रूमा आसीत्
551	अहल्या कस्य ऋषेः पत्नी आसीत्?	गौतमः		गौतमस्य	गौतमस्य	गौतमस्य	गौतमस्य	गौतमस्य
552	अत्रेः ऋषेः पत्नी का आसीत्?	अनसूूया		अनसूया	अनसूया	अनसूया	अनसूया	अनसूया
553	वसिष्ठस्य ऋषेः पत्नी का आसीत्?	अरुन्धतिः		अरुंधती	अरुन्धती	अरुन्धती	अरुन्धती	अरुन्धती
554	जमदग्नेः ऋषेः पत्नी का आसीत्?	रेणुका		रेणुका	अरुन्धती	रेणुका	रेणुका	रेणुका
555	राज्ञः सगरस्य द्वितीयपत्न्याः किं नाम आसीत्?	सुमतिः		सुमतिः	सुमतिः	सुमतिः	केशिनी	सुमति
556	महर्षेः कश्यपस्य पत्न्याः किं नाम आसीत्?	अदितिः		अदिति	महर्षेः कश्यपस्य एका प्रमुखा पत्नी अदितिः आसीत्	दितिः	अदितिः	अदिति
557	महर्षेः विश्वामित्रस्य पत्नी का आसीत्?	सती		मेना	महर्षेः विश्वामित्रस्य पत्न्याः नाम रामायणे स्पष्टतया न उल्लिखितम् अतः अस्य प्रश्न	न ज्ञातम्	मेनका	महर्षेः विश्वामित्रस्य पत्नी मेनका आसीत्
558	इक्ष्वाकोः पत्न्याः किं नाम आसीत्?	अलम्बुषा		अलम्बुसा	इक्ष्वाकोः पत्न्याः नाम अलम्बुषा आसीत्	सुमित्रा	इला	इला
559	ऋषेः याज्ञवल्क्यस्य पत्न्याः किं नाम आसीत्?	मैत्रेयी		मैत्रेयी	मैत्रेयी	मैत्रेयी	मैत्रेयी	मैत्रेयी
560	राका, पुष्पोत्कटा बलाका च कस्य पत्न्यः आसन्?	विश्रवाः		रावणस्य	सुग्रीवस्य	विभीषणस्य	जटायुः	विश्रवसः
561	इन्द्रस्य पत्न्याः किं नाम आसीत्?	शची		शची	शची	शची	शची	शची
562	सुमतिः कञ्जानना च एषाम् कस्य पत्न्योः नामनी स्तः?	लवस्य	 लवस्य / कुशस्य / शत्रुघ्नस्य / चंद्रकेतोः	शत्रुघ्नस्य	शत्रुघ्नस्य	**सुमित्रा**  सुमित्रा लक्ष्मणस्य शत्रुघ्नस्य च जननी आसीत्	लवस्य	लवस्य च कुशस्य च पत्न्योः नामनी स्तः
563	चन्द्रमसः पत्न्याः किं नाम आसीत्?	रोहिणी		रोहिणी	रोहिणी	रोहिणी	रोहिणी	चन्द्रमसः पत्न्याः नाम रोहिणी आसीत्
564	हनुमतः पुत्रः एतेषु कः आसीत्?	मकरध्वजः	 कपिध्वजः / शतध्वजः / मकरध्वजः / सीरध्वजः	मकरध्वजः	मकरध्वजः	"**मकरध्वजः** 

हनुमत् आञ्जनेयस्य पुत्रः आसीत्"	मकरध्वजः	मकरध्वजः
565	लक्ष्मणस्य पुत्रः एतेषु कः आसीत्?	चन्द्रकेतुः	 लवः / चंद्रकेतुः / कुशः / सुमन्त्रः	चंद्रकेतुः	चन्द्रकेतुः	"**अङ्गदः**  

सः लङ्कायाः राज्ञः विभीषणस्य पुत्रः आसीत्"	चंद्रकेतुः	चंद्रकेतुः
566	कुम्भकर्णस्य पुत्रः एतेषु कः आसीत्?	निकुुम्भः	 अक्षकुमारः / मेल्हः / मकराक्षः / निकुंभः	मकराक्षः	निकुंभः	निकुंभः	निकुंभः	कुम्भकर्णस्य पुत्रः निकुंभः आसीत्
567	भरतस्य पुत्रः एतेषु कः आसीत्?	तक्षः	 तक्षः / चंद्रकेतुः / कुशः / अंगदः	तक्षः	तक्षः	**तक्षः**	तक्षः	तक्षः, पुष्कलः च भरतस्य पुत्रौ आस्ताम्
568	सम्पातेः पुत्रः एतेषु कः आसीत्?	सुपार्श्वः	 जटायुः / दीर्घायुः / चिरायुः / सुपार्श्वः	सुपार्श्वः	सुपार्श्वः	**जटायुः** सम्पातेः पुत्रः आसीत्	सुपार्श्वः	जटायुः
569	दशरथस्य पुत्री एतासु का आसीत्?	शान्ता	 सुयशा / सुनन्दा / शान्ता / सुनयना	शान्ता	"शान्ता

दशरथस्य पुत्री शान्ता आसीत् सा रोमपादाय दत्ता आसीत् अतः बहुषु रामायण-प"	शान्ता	शान्ता	शान्ता
570	विभीषणस्य पुत्री एतासु का आसीत्?	कला	 ललिता / कला / सुकन्या / मीनाक्षी	सुकन्या	सुकन्या	त्रिजटा	मीनाक्षी	विभीषणस्य पुत्री कला आसीत्
571	शत्रुघ्नस्य पुत्रः एतेषु कः आसीत्?	सुबाहुः	 चन्द्रकेतुः / अङ्गदः / सुबाहुः / लवः	सुबाहुः	चन्द्रकेतुः	**चन्द्रकेतुः**	सुबाहुः	सुबाहुः
572	भरतस्य पुत्रः एतेषु कः आसीत्?	पुष्कलः	 अंगदः / कुशः / पुष्कलः / चंद्रकेतुः	पुष्कलः	पुष्कलः	पुष्कलः	अंगदः	पुष्कलः
573	मुनिवरस्य वसिष्ठस्य पुत्रः एतेषु कः आसीत्?	सुयज्ञः	 सुयज्ञः / आरुणिः / उपमन्युः / वेदः	सुयज्ञः	"शक्तिः

वसिष्ठस्य पुत्रः शक्तिः आसीत् एतेषु चतुर्षु विकल्पेषु वसिष्ठस"	"**शकुंतः**

**सः वसिष्ठस्य पुत्रः एव आसीत्**"	शक्तिः	सुयज्ञः
574	वालिनः पुत्री एतासु का आसीत्?	सुभद्रा	 सुभद्रा / लीलाक्षी / मीनाक्षी / सुहागी	लीलाक्षी	तासु वालिनः पुत्री आसीत् सुहागी	**सुहागी** |	तङ्गा	वालिनः पुत्री एतासु का आसीत्?  सुभद्रा
575	लक्ष्मणस्य पुत्रः एतेषु कः आसीत्?	अङ्गदः	 कुशः / श्रीदाम / अङ्गदः / लवः	अङ्गदः	श्रीदाम	**कुशः**	अङ्गदः	अङ्गदः
576	अतिकायः राक्षसः कस्य पुत्रः आसीत्?	रावणः		रावणस्य	रावणस्य	रावणस्य	रावणस्य	रावणस्य
577	इन्द्रस्य सारथेः मातलिनः पुत्रः कः आसीत्?	गोमुखः		गुह्यकः	गोमुखः	हनुमान्  वायुः तस्य पिता आसीत् परं मातलिः एव पालनम् अकरोत्	सुमालिः	गोमुखः
578	खरस्य राक्षसस्य पुत्रः एतेषु कः आसीत्?	मकराक्षः	 दूषणः / मकराक्षः / सुबाहुः / अङ्गारकः	मकराक्षः	सुबाहुः	**दूषणः**  खरस्य भ्राता आसीत् सुबाहुः	मकराक्षः	दूषणः
579	शत्रुघ्नस्य पुत्रः एतेषु कः आसीत्?	शत्रुघाती	 शत्रुघाती / कुशः / चंद्रकेतुः / तक्षः	चंद्रकेतुः	तक्षः	शत्रुघाती	शत्रुघ्नस्य पुत्रः शत्रुघाती आसीत्	शत्रुघाती
580	नलकूबरः कस्य पुत्रः आसीत्?	कुबेरस्य		कुबेरस्य	नलकूबरः वैश्रवणस्य (कुबेरस्य) पुत्रः आसीत्	विश्वकर्मा	कुबेरस्य	नलकूबरः कुबेरस्य पुत्रः आसीत्
581	त्रिशङ्कोः पुत्रः एतेषु कः आसीत्?	धुन्धुमारः	 अम्बरीषः / रोमपाद: / गयः / धुन्धुमारः	अम्बरीषः	अम्बरीषः	**अम्बरीषः**	धुन्धुमारः	हरिश्चन्द्रः त्रिशङ्कोः पुत्रः आसीत्
582	नारदः कस्य मानसपुत्रः आसीत्?	ब्रह्मणः		ब्रह्मणः	ब्रह्मणः	ब्रह्मणः	ब्रह्मणः	ब्रह्मणः
583	विश्वामित्रस्य पुत्रः एतेषु कः आसीत्?	हविष्यन्दः	 हविष्यन्दः / अङ्गदः / गन्धमादनः / कुशीनरः	कुशीनरः	एतेषु विश्वामित्रस्य पुत्रः हविष्यन्दः आसीत्	**कुशीनरः**	हविष्यन्दः	विश्वामित्रस्य पुत्रः कुशीनरः आसीत्
584	भगीरथस्य पुत्रः एतेषु कः आसीत्?	ककुत्स्थः	 अज: / अंशुमान् / दिलीपः / ककुत्स्थः	अंशुमान्	दिलीपः	**दिलीपः** | भगीरथः दिलीपस्य पिता आसीत् |	अंशुमान्	अंशुमान्
585	रावणस्य मातामही एतासु का आसीत्?	केतुुमती	 केतुमती / कुंभीनसी / कैकसी / मंदोदरी	केतुमती	कैकसी	**कैकसी** | रावणः कैकसी-विश्व्रवा-पुत्रः आसीत् |	कैकसी	केतुमती
586	ताटका रावणस्य का आसीत्?	मातामही		भगिनी	ताटका रावणस्य पितामही आसीत्	मातुः     रावणः ताटकायाः पुत्रः आसीत्	भगिनी	मातुलानी
587	रावणस्य मातामहः कः आसीत्?	पुलस्त्यः		सुमाली	"रावणस्य मातामहः सुमाली आसीत्

सुमाली राक्षसवंशीयः आसीत्, यः रावणस्य मातुः कैकसीया"	सुमाली	सुमालिः	माल्यवान्
588	भरतस्य मातुलः एतेषु कः आसीत्?	युधाजित्	 शेषः / मार्कंडेयः / युधाजित् / अश्वपतिः	युधाजित्	युधाजित्	**युधाजित्**	युधाजित्	युधाजित्
589	सुग्रीवस्य मातुलः एतेषु कः आसीत्?	दधिमुखः	 दधिमुखः / अग्निमुखः / अग्निवर्णः / अग्निकेतुः	दधिमुखः	दधिमुखः	**दधिमुखः** | सुग्रीवस्य, हनुमतश्च माता  **रुमा**  आसीत् तस्याः भ्राता दधिमुखः आसीत् |	अग्निमुखः	सुग्रीवस्य मातुलः दधिमुखः आसीत्
590	श्रीरामस्य मातामहस्य किं नाम आसीत्?	भानुमान्		कुशध्वजः	कोसलराजस्य	जनकः	गद्धिः	अजः
591	भरतस्य मातामहस्य किं नाम आसीत्?	अश्वपतिः		अश्वपति:	केकयराजस्य	अश्वपतिः	अश्वपतिः	केकयः
592	हनुमतः मातामहस्य किं नाम आसीत्?	कुञ्जरः		कुंजरः	दधीमुखः	वायुः	केसरिः	सुषेणः
593	अंगदस्य मातामहस्य किं नाम आसीत्?	तारा		वालि	"वालिनः

अंगदस्य पिता वालिः आसीत् वालिनः पिता इक्ष्वाकुः अतः अंगदस्य मातामहः इक"	वलिः वालिना स्वपुत्र्याम् आङ्गदायाम् अत्यन्तं स्नेहः आसीत्	अंगदस्य मातामहस्य नाम सुग्रीवः आसीत्	वाली
594	मारीचः रावणस्य कः आसीत्?	मातुलः		सखा	मारीचः रावणस्य मातुलः आसीत्	मातुलः  रावणस्य मातुः भ्राता मारीचः आसीत्	मामा	मामा
595	लवणासुरः रावणस्य कः आसीत्?	स्वस्रीयः		भ्राता	लवणासुरः रावणस्य भ्राता आसीत्	मातुलः लवणासुरः रावणस्य मातुः भ्राता आसीत्	भ्राता	भ्राता
596	मेघनादस्य मातुलस्य किं नाम आसीत्?	दुन्दुभिः		मयः	"मायावी

मेघनादस्य मातुलः मायावी नाम दानवः आसीत् स रावणस्य भगिन्याः पुत्रः वाल्मीक"	कुम्भकर्णः  रावणस्य भ्राता आसीत् कुम्भकर्णः	रावणः	मारीचः
597	प्रहस्तः राक्षसः रावणस्य कः आसीत्?	मातुुलः		सचिवः	प्रहस्तः रावणस्य मन्त्री आसीत्	मन्त्री	सेनापतिः	प्रहस्तः राक्षसः रावणस्य मन्त्री आसीत्
598	श्रवणकुमारस्य वधः कस्य हस्ताभ्याम् अभवत्?	दशरथस्य		दशरथस्य	दशरथस्य	दशरथस्य  पुत्रशोकाकुलः श्रवणकुमारस्य पिता श्रापं दत्तवान् यत् दशरथः पुत्रशोकात् एव मृत्युं प्राप्स्यति इति	रावणस्य	दशरथस्य
599	जटायुः कस्य हस्तेन हतः आसीत्?	रावणस्य		रावणस्य	रावणस्य	रावणेन रावणः सीतां हर्तुं जटायुना युद्धं कृतवान्, तस्मिन् युद्धे जटायुः हतः	रावणस्य	रावणस्य
600	कौसल्यायाः मृत्युः कदा अभवत्?	श्रीरामस्य अश्वमेधयज्ञस्य समाप्तेः अनन्तरम्		अस्पष्टम्	कौसल्यायाः मृत्युः रामायणे स्पष्टतया न वर्णितः रामायणस्य अन्ते सा जीवन्ती एव दृश्य	रामायणे कौसल्यायाः मृत्युः न वर्णिता	रामायणान्ते	रामस्य राज्याभिषेकानन्तरं द्वादशवर्षाणि
601	अशोकवाटिकायां हनूमतः कराभ्यां रावणस्य कः पुत्रः हतः आसीत्?	अक्षकुमारः		अक्षः	अक्षकुमारः	अक्षकुमारः	अक्षः	अक्षः
602	अयोध्यायाः राजा मान्धाता कस्य कराभ्यां हतः अभवत्?	लवणासुरस्य		रावणस्य	मान्धाता अयोध्यायाः राजा न आसीत् मान्धाता युवनाश्वस्य पुत्रः इक्ष्वाकुवंशीयः प	दशरथेन पुत्रकामेष्टियागेन प्राप्तेन पुत्रचतुष्ट्यप्राप्त्यर्थम्	लवणेन	लवणासुरेण
603	महर्षेः जमदग्नेः हत्यां कः अकरोत्?	सहस्रार्जुनः		कार्तवीर्यार्जुनः	कार्तवीर्यार्जुनः	कार्तवीर्यार्जुनः क्रोधात्	रामः	राजा कार्तवीर्य अर्जुनः
604	लंकिनींं राक्षसींं कः मुष्टिप्रहारैः हतवान्?	हनुमान्		हनुमान्	हनुमान्	हनुमान्  बलदर्पाम् लन्किनीम् हनुमान् मुष्टिप्रहारैः पातितवान्	हनुमान्	हनुमान्
605	वालिनः वधः कस्य कराभ्यां अभवत्?	श्रीरामस्य		रामस्य	रामस्य	रामेण  धर्मरक्षणार्थम्	रामस्य	श्रीरामस्य
606	मेघनादस्य वधं कः अकरोत्?	लक्ष्मणः		लक्ष्मणः	लक्ष्मणः	लक्ष्मणः	लक्ष्मणः	लक्ष्मणः
607	खरदूषणौ कः हतवान्?	श्रीरामः		रामः	रामः हतवान्		रामः	रामः
608	रावणस्य वधं कः अकरोत्?	श्रीरामः		रामः	रामः	रामः	रामः	श्रीरामः
609	कुंभकर्णः कस्य कराभ्यां हतः आसीत्?	श्रीरामस्य		रामस्य	"रामस्य

कुम्भकर्णः रामायणे रामेण एव हतः आसीत् रामः स्वयं कुम्भकर्णेन युद्धं कृत"	श्रीरामस्य	रामस्य	रामेण
610	ताटकाराक्षस्याः वधं कः अकरोत्?	श्रीरामः		रामः	रामः	श्रीरामः	रामः	श्रीरामः
611	लवणासुरस्य वधः केन कृतः?	शत्रुघ्नेन		रामेण	शत्रुघ्नेन	शत्रुघ्नेन लक्ष्मणेन शत्रुघ्नश्च इति द्वौ अपि नामौ लक्ष्मणस्य प्रसिद्धौ स्तः	शत्रुघ्नेन	शत्रुघ्नेन
612	सुबाहुः राक्षसः केन हतः?	श्रीरामेण		रामेण	सुबाहुः राक्षसः रामेण हतः	लक्ष्मणेन क्रोधितेन लक्ष्मणेन सुबाहुः हतः यतो हि यज्ञविघ्नं सः अकरोत्	रामेण	रामेण
613	मारीचः केन हतः?	श्रीरामेण		रामेण	"रामेण

मारीचः रामेण हतः रामायणे वर्णितं यत् रामः स्वर्णमृगरूपधारिणं मारीचं बाणेन ह"	रामेण मारीचस्य वधेन सीतां मोचयितुम् रावणः कुटीलं योजनाम् अकरोत्	रामेण	रामेण
614	कालनेमिः (राक्षसः) केन हतः?	हनुमता		हनूमता	कालनेमिः हनुमता हतः	विष्णुना रावणस्य वरदानत्वात्	रामेण	विष्णुना
615	सिंहिका राक्षसी केन हता?	हनुमता		हनुमता	सिंहिका राक्षसी हनुमता हता	दुर्गा	हनुमता	हनुमता
616	शम्बूकस्य वधः केन कृतः?	श्रीरामेण		रामेण	"रामेण

शम्बूकस्य वधः रामेण कृतः उत्तरकाण्डे वर्णितानुसारं, रामः शूद्रमुनेः शम"	रामेण  क्रोधेन परवशः शम्बूकं हतवान्	रामेण	श्रीरामेण
617	दुंदुभिदैत्यः केन हतः?	वालिना		वालिने	वालिना	बलिना   बलिना युद्धे दुन्दुभिः हतः	विश्वामित्रेण	हनुमता
618	सुन्दं दैत्यं कः मुनिः शप्त्वा मारितवान्?	अगस्त्यः		अगस्त्यः	वसिष्ठः	अगस्त्यः	विश्रवाः	अगस्त्यः
619	विराधराक्षसस्य वधः केन कृतः?	रामलक्ष्मणाभ्याम्		रामेण	"विराधराक्षसस्य वधः रामेण कृतः

रामायणे, दण्डकारण्ये प्रवेशस्य समये रामः, सीता, लक्ष"	श्रीरामेण	रामेण	रामेण
620	अकम्पनः राक्षसः केन हतः?	हनुमता		हनूमता	"सुग्रीवेण

अकम्पनः नाम राक्षसः रामायणे वर्णितः सः रावणस्य सेनापतिः आसीत् युद्ध"	हनुमता  हनुमता अकम्पनः हतः यतः सः रावणस्य आज्ञां पालयन् सीतां रुध्नन् च लङ्कायाम् आसीत्	लक्ष्मणेन	हनुमन्
621	अग्निकेतुः राक्षसः केन हतः आसीत् ?	श्रीरामेण		हनुमता	"रामेण

रामः अग्निकेतुं राक्षसं युद्धे हतवान् रामायणे वर्णितम् यत् अग्निकेतुः रावणस्"	नीलेन  युद्धे नीलः अग्निकेतुम् हतवान्	लक्ष्मणेन	लक्ष्मणेन
622	अतिकायः राक्षसः केन हतः आसीत् ?	लक्ष्मणेन		लक्ष्मणेन	"लक्ष्मणेन

अतिकायः रावणस्य पुत्रः आसीत् रामायणे युद्धकाण्डे वर्णितं यत् लक्"	लक्ष्मणेन क्रोधितेन लक्ष्मणेन रावणस्य आज्ञया युद्धे अतिकायः हतः	लक्ष्मणेन	लक्ष्मणेन
623	प्रहस्तस्य वधं कः कृतवान्?	नीलः		हनुमान्	प्रहस्तस्य वधं लक्ष्मणः कृतवान्	नेता	लक्ष्मणः	नीलः
624	रावणस्य सेनापतिः प्रघसः केन हतः आसीत् ?	सुग्रीवेण		हनुमता	"प्रघसः नीलेन हतः आसीत्

नीलः वानरसेनायाः एकः प्रमुखः योद्धा आसीत् स रामायणे रावण"	लक्ष्मणेन	लक्ष्मणेन	नन्दनदेवेन
625	निकुम्भस्य वधं कः कृतवान्?	हनुमान्		हनुमान्	इन्द्रजित्	लक्ष्मणः	लक्ष्मणः	हनुमान्
626	वृत्रासुरः केन हतः आसीत् ?	इन्द्रेण		इन्द्रेण	इन्द्रेण	इन्द्रेण  वर्षाम् अवरुद्ध्य जनान् पीडयितुं इच्छति स्म	वृत्रासुरः इन्द्रेण हतः आसीत्	इन्द्रेण
627	रावणस्य एकः सेनापतिः विरूपाक्षः केन हतः आसीत् ?	हनुमता		हनुमता	विरूपाक्षः हनुमता हतः आसीत्	श्रीरामेण	लक्ष्मणेन	सुग्रीवेण
628	रावणस्य एकः सेनापतिः दुर्धरः केन हतः आसीत् ?	हनुमता		हनुमता	दुर्धरः हनुमता हतः आसीत्	हनुमता हनुमता युद्धे दुर्धरः पराजितः	लक्ष्मणेन	हनुमान्
629	रावणस्य एकः सेनापतिः यूपाक्षः केन हतः आसीत् ?	हनुमता		हनुमता	यूपाक्षः हनुमता हतः आसीत्	लक्ष्मणेन	हनुमता	सुग्रीवेण
630	रावणस्य एकः सेनापतिः भासकर्णः केन हतः आसीत् ?	हनुमता		हनुमता	मेघनादेन	अर्जुनेन	लक्ष्मणेन	हनुमान्
631	शम्बरासुरं कोऽवधीत्?	इन्द्रः		रामः	प्रद्युम्नः	प्रद्युम्नः  शिवक्रोधजातस्य शम्बरासुरस्य वधं कर्तुम् एव भगवान् विष्णुः प्रद्युम्नरूपेण अवततार |	पार्वती	दिवोदासः
632	रावणपुत्रं देवान्तकं कोऽवधीत्?	हनुमान्		हनुमान्	हनुमान् अवधीत् देवान्तकं रावणपुत्रम्	हनुमान्	लक्ष्मणः	हनुमान्
633	रावणपुत्रं नरान्तकं कोऽवधीत्?	अङ्गदः		हनुमान्	अङ्गदः	अङ्गदः  बलभेदं दर्शयितुम्	लक्ष्मणः	नरान्तकं अंगदः अवधीत्
634	राक्षसप्रमुखं यज्ञकोपं कोऽवधीत्?	श्रीरामः		रामः	रामः	रामः  रावणस्य यज्ञविध्वंसक्रोधेन कोपितः रामः खरं निहतवान्	रावणः	विश्वामित्रः
635	शम्बरदैत्यं कोऽवधीत्?	श्रीरामः		रामः	प्रद्युम्नः	प्रद्युम्नः  शम्बरस्य दुरात्मत्वात्	प्रत्युत्तरं	दिवोदासः
636	सर्पास्यं राक्षसं कोऽवधीत्?	श्रीरामः		रामः	लक्ष्मणः	लक्ष्मणः  रावणस्य पराजयात्	रामः	रामः
