ID	QUESTION	ANSWER	CHOICES
426	किं वनं जनस्थानं इति कथ्यते?	दण्डकवनम्; दण्डकारण्यम्	
427	सीतायाः अन्वेषणाय सुग्रीवः वानरयूथपतिं विनतं कां दिशं प्रेषितवान्?	पूर्वदिशम्; पूर्वाम्	
428	रामशिला कस्मिन् स्थले अस्ति?	गयायाम्	
429	प्राग्ज्योतिषपुरं कस्मिन् अचले स्थितम् आसीत्?	वराहपर्वते; वराहे	
430	सीतायाः अन्वेषणाय सुग्रीवः वैद्युतिकपर्वतक्षेत्रे कं प्रेषितवान्?	हनुमन्तम्; हनूमन्तम्	
431	सीतायाः अन्वेषणाय सुग्रीवेण वृषभः कस्यां दिशि प्रेषितः ?	दक्षिणदिशि; दक्षिण दिशि; दक्षिणायाम्	
432	कस्मिन् पर्वते विश्वकर्मणा ऋषये अगस्त्याय एकं दिव्यं भवनं निर्मितं ?	कुञ्जरपर्वते; कुञ्जरे	
433	सीतायाः अन्वेषणाय सुग्रीवेण मालवदेशं कः प्रेषितः ?	विनतः	
434	सौवीरदेशे कस्य आधिपत्यं आसीत् ?	दशरथस्य	
435	इन्द्रः कस्याः दिशः लोकपालः मन्यते ?	पुर्वदिशः; पूर्वस्याः	
436	दक्षिणपूर्वदिशि कः लोकपालः मन्यते ?	अग्निः	
437	यमः कस्याः दिशः लोकपालः मन्यते ?	दक्षिणदिशः; दक्षिणस्याः	
438	कुबेरः कस्मिन् दिशि लोकपालः मन्यते ?	उत्तरदिशि; उत्तरे	
439	दक्षिणपश्चिमदिशि कः लोकपालः मन्यते ?	निरृतिः; निर्ऋतिः	
440	वरुणः कस्यां दिशि लोकपालः मन्यते ?	पश्चिमदेिशि; पश्चिमायाम्	
441	कुरु देशः कस्मिन् नदीतटस्थः आसीत् ?	शैलोदायाः	
442	ब्रह्मणः भवनं कस्मिन् पर्वते आसीत् ?	मेरुपर्वते; मेरौ	
443	वानरयूथपतिः शरभः कस्मिन् पर्वते निवसति स्म?	साल्वेयपर्वते; साल्वेये	
444	केकयदेशस्य राजधानीनाम किमासीत् ?	राजगृहम्	
445	श्रृंगवेरपुरं कस्याः नद्याः तटे स्थितम् आसीत् ?	गङ्गायाः	
446	लवपुरं केन स्थापितं आसीत् ?	लवेन	
447	वानरयूथपतिः प्रमाथी कस्मिन् पर्वते निवसति स्म ?	मन्दरे	
448	मतंगमुनेः शापभयेन वाली कं पर्वतः न गच्छति स्म?	ऋष्यमूकं पर्वतं; ऋष्यमूकं; ऋष्यमूकम्	
449	सः कः देशः आसीत् यः सुन्दरीकृतानां अश्वानां कृते प्रसिद्धः?	बाह्लीकः; कम्बोजः	
450	ऋचीकमुनेः आश्रमः कस्मिन् पर्वते आसीत् ?	भृगुतुङ्गे	
451	सीतायाः अन्वेषणाय सुग्रीवेण हनूमान् अङ्गदः च कस्यां दिशि प्रेषितौ?	दक्षिणदिशि; दक्षिणायाम्	
452	वानरयूथपतिः केसरी कस्मिन् पर्वते सन्निविष्टः आसीत्?	काञ्चनपर्वते	
453	सीतायाः अन्वेषणाय सुग्रीवः पाण्ड्यदेशं प्रति कं प्रेषितवान्?	अङ्गदम्	
454	वनवासगमनसमये श्रीरामः अयोध्यावासीनः कस्मिन् स्थले सुप्तान् त्यक्त्वा गतवान्?	शृङ्गवेरपुरे; श्रृङ्गवेरपुरे	
455	भरतः बाल्यकाले कुत्र अवसत्?	मातुलगृहे	
456	सीतायाः स्वयम्वरसमये राजा जनकः कुशध्वजं कस्याः नगर्याः आह्वयत्?	साङ्काश्याः; सांकाश्याः	
457	सीतायाः अन्वेषणाय लङ्कां सर्वप्रथमतः कः प्राप्तवान्?	हनुुमान्	
458	श्रीरामस्य जन्म कस्मिन् स्थले अभवत्?	अयोध्यायाम्	
459	हनुमता सह सीतायाः सर्वप्रथमं  कस्मिन् स्थले मेलनम् अभवत्?	अशोकवाटिकायाम्; अशोकवनिकायाम्; अशोकवने; अशोकवने 	
460	प्रतिष्ठानपुरं कस्याः नद्याः तीरे अवस्थितम्?	गङ्गायमुुनयोः सङ्गमे	
461	श्रीरामस्य मित्रं प्रतर्दनः कस्य राजा आसीत्?	काश्याः	
462	सुदामा नामकः पर्वतः कस्मिन् देशे स्थितः आसीत्?	बाह्रीकदेशे; बाह्लीके	
463	दक्षिणे स्थिते देशे चोले सीतायाः अन्वेषणं कर्तुं सुग्रीवः कम् प्रेषयामास?	अङ्गदम्	
464	सीतायाः अन्वेषणाय सुग्रीवः मगधदेशं प्रति कम् प्रेषयामास?	विनतम्	
465	श्रीरामस्य मातुः किं नाम आसीत्?	कौसल्या	
466	हनुमत: जननी का आसीत्?	अञ्जनी; अञ्जना	
467	दशरथस्य माता का आसीत्?	इन्दुमतिः	
468	रावणस्य माता का आसीत्?	कैकसी	
469	जटायोः (गृद्धस्य) माता का आसीत्?	श्येनी	
470	मन्दोदर्याः मातुः किं नाम आसीत्?	हेमा	
471	विभीषणस्य माता का आसीत्?	कैकसी	
472	खरस्य मातुः नाम किम्?	पुष्पोत्कटा	
473	दूषणस्य मातुः नाम किम्?	वाका	
474	मेघनादस्य मातुः नाम किम्?	मन्दोदरी	
475	मारीचस्य (राक्षसस्य) माता का आसीत्?	ताटका	
476	नलस्य (वानरस्य) माता का आसीत्?	घृताची	
477	लक्ष्मणस्य माता का आसीत्?	सुमित्रा	
478	महर्षेः परशुरामस्य माता का आसीत्?	रेणुका	
479	शत्रुघ्नस्य माता का आसीत्?	सुमित्रा	
480	भरतस्य माता का आसीत्?	कैकेयी	
481	अङ्गदस्य मातुः नाम किमासीत्?	तारा	
482	लवणासुरस्य माता का आसीत्?	कुम्भीनसी	
483	शतानन्दस्य (जनकस्य पुरोहितस्य) मातुः नाम किमासीत्?	अहल्या	
484	अकम्पनराक्षसस्य माता का आसीत्?	केतुमती	
485	पूरोः माता का आसीत्?	शर्मिष्ठा	
486	इन्द्रस्य मातुः नाम किमासीत्?	अदितिः	
487	अतिकायस्य (रावणस्य पुत्रस्य) माता का आसीत्?	धान्यमालिनी	
488	कुबेरस्य माता का आसीत्?	देववर्णिनी	
489	सुरसाया: मातुः नाम किमासीत्?	क्रोधवशा	
490	विराधराक्षसस्य मातुः नाम किमासीत्?	शतह्रदा	
491	महोदरराक्षसस्य माता का आसीत् ?	पुष्पोत्कटा	
492	नागानां माता का आसीत्?	सुरसा	
493	दुन्दुभिदैत्यस्य माता का आसीत्?	हेमा	
494	महर्षेः दुर्वाससः मातुः नाम किम्?	अनसूया	
495	सिंहिका राक्षसी कस्य माता आसीत्?	राहोः	
496	हनुमतः पिता कः आसीत्?	केसरी	
497	रावणस्य पिता कः आसीत्?	विश्रवाः	
498	ताटकाराक्षस्याः पितुः नाम किम्?	सुकेतुः	
499	जटायोः पिता कः आसीत्?	अरुणः	
500	जाम्बवतः पितुः नाम किम्?	गद्गदः	
501	वालिनः पिता कः आसीत् ?	ऋक्षरजः; ऋक्षरजाः	
502	सुग्रीवस्य पितुः नाम किम् आसीत् ?	ऋक्षरजः; ऋक्षरजाः	
503	खरदूषणयोः पिता कः आसीत्?	विश्रवाः	
504	नलस्य (वानरस्य) पिता कः आसीत् ?	विश्वकर्मा	
505	नीलस्य (वानरस्य) पिता कः अस्ति ?	अग्निदेवः; अग्निः	
506	राज्ञः दशरथस्य पितुः नाम किम् आसीत् ?	अजः	
507	अंगदस्य (वानरस्य) पिता कः आसीत् ?	वाली	
508	श्रीरामस्य, लक्ष्मणस्य, भरतस्य, शत्रुघ्नस्य च पिता कः आसीत् ?	दशरथः	
509	मन्दोदर्याः पितुः नाम किम् आसीत् ?	मयः; मयदानवः	
510	(सती) सुलोचनायाः पिता कः आसीत् ?	वासुकिः	
511	महर्षेः परशुरामस्य पितुः नाम किं आसीत् ?	जमदग्निः	
512	महर्षेः विश्वामित्रस्य पितुः नाम किं आसीत् ?	गाधिः	
513	सुमालिनः (राक्षसस्य) पिता कः आसीत्?	सुकेशः	
514	लवणासुरस्य पिता कः आसीत् ?	मधुुदैत्यः; मधुः	
515	शतानन्दस्य (जनकस्य पुरोहितस्य) पिता कः आसीत् ?	गौतमः	
516	महाराजस्य गाधेः पितुः नाम किम् आसीत् ?	कुशनाभः	
517	सुन्दस्य दैत्यस्य पिता कः आसीत् ?	जम्भः	
518	वानरयूथपत्युः मारीचस्य पिता कः आसीत् ?	मरीचः	
519	उल्कामुखस्य अनङ्गस्य च (वानरयोः) पिता कः आसीत् ?	अग्निः	
520	महोदरस्य राक्षसस्य पिता कः आसीत् ?	विश्रवाः	
521	मान्धातुः पितुर्नाम किमासीत्?	युवनाश्वः	
522	त्रिशिसस्य राक्षसस्य पिता कः आसीत्?	रावणः	
523	मांडव्याः श्रुतकीर्त्याः च पिता कः आसीत्?	कुशध्वजः	
524	राजा जनकस्य पिता कः?	ह्रस्वरोमा	
525	ककुत्स्थस्य पितुः नाम कथयतु।	भगीरथः	
526	कैकेय्याः पितुः नाम किमासीत्?	अश्वपतिः	
527	अंशुमतः पिता कः आसीत्?	असमञ्जः	
528	विराधराक्षसस्य पिता कः आसीत्?	जयः	
529	जमदग्निऋषेः पिता कः आसीत्?	ऋचीकः	
530	पूरोः पिता कः आसीत्?	ययातिः	
531	नहुषस्य पिता कः आसीत् ?	आयुः	
532	रघोः पिता कः आसीत् ?	दिलीपः	
533	कुबेरस्य पिता कः आसीत् ?	विश्रवाः	
534	ऋषेः दुर्वाससः पिता कः आसीत् ?	अत्रिः	
535	त्रिशङ्कोः पिता कः आसीत् ?	पृथुः	
536	स्वयंप्रभाया: पिता कः आसीत् ?	मेरुसावर्णिः	
537	रावणस्य पितामहः कः आसीत् ?	पुलस्त्यः	
538	श्रीरामस्य पितामहः कः आसीत् ?	अजः	
539	सः कः वानरः आसीत्, यः वानराणाम् पितामहः आसीत् ?	सन्नादनः	
540	भरतस्य पत्न्याः किं नाम आसीत् ?	माण्डवी	
541	लक्ष्मणस्य पत्न्याः नाम किम् आसीत् ?	ऊर्मिला	
542	शत्रुघ्नस्य पत्न्याः किं नाम आसीत् ?	श्रुतकीर्तिः	
543	मेघनादस्य पत्नी का आसीत् ?	सुलोचना	
544	विभीषणस्य पत्न्याः किं नाम आसीत् ?	सरमा	
545	कुम्भकर्णस्य पत्न्याः किं नाम आसीत् ?	वज्रज्वाला	
546	शूर्पणखा कस्य पत्नी आसीत् ?	विद्युज्जिह्नस्य	
547	राज्ञः जनकस्य पत्न्याः किं नाम आसीत् ?	सुनयना	
548	कुशस्य पत्न्याः किं नाम आसीत् ?	चम्पका	
549	वालिनः पत्न्याः किं नाम आसीत् ?	ताराा	
550	सुग्रीवस्य पत्न्याः किं नाम आसीत् ?	रूमा	
551	अहल्या कस्य ऋषेः पत्नी आसीत्?	गौतम ऋषेः; गौतमस्य	
552	अत्रेः ऋषेः पत्नी का आसीत्?	अनसूूया	
553	वसिष्ठस्य ऋषेः पत्नी का आसीत्?	अरुन्धती	
554	जमदग्नेः ऋषेः पत्नी का आसीत्?	रेणुका	
555	राज्ञः सगरस्य द्वितीयपत्न्याः किं नाम आसीत्?	सुमतिः	
556	महर्षेः कश्यपस्य पत्न्याः किं नाम आसीत्?	अदितिः	
557	महर्षेः विश्वामित्रस्य पत्नी का आसीत्?	सती	
558	इक्ष्वाकोः पत्न्याः किं नाम आसीत्?	अलम्बुषा	
559	ऋषेः याज्ञवल्क्यस्य पत्न्याः किं नाम आसीत्?	मैत्रेयी	
560	राका, पुष्पोत्कटा बलाका च कस्य पत्न्यः आसन्?	विश्रवसः	
561	इन्द्रस्य पत्न्याः किं नाम आसीत्?	शची	
562	सुमतिः कञ्जानना च एषाम् कस्य पत्न्योः नामनी स्तः?	लवस्य	 लवस्य / कुशस्य / शत्रुघ्नस्य / चंद्रकेतोः
563	चन्द्रमसः पत्न्याः किं नाम आसीत्?	रोहिणी	
564	हनुमतः पुत्रः एतेषु कः आसीत्?	मकरध्वजः	 कपिध्वजः / शतध्वजः / मकरध्वजः / सीरध्वजः
565	लक्ष्मणस्य पुत्रः एतेषु कः आसीत्?	चन्द्रकेतुः	 लवः / चंद्रकेतुः / कुशः / सुमन्त्रः
566	कुम्भकर्णस्य पुत्रः एतेषु कः आसीत्?	निकुुम्भः	 अक्षकुमारः / मेल्हः / मकराक्षः / निकुंभः
567	भरतस्य पुत्रः एतेषु कः आसीत्?	तक्षः	 तक्षः / चंद्रकेतुः / कुशः / अंगदः
568	सम्पातेः पुत्रः एतेषु कः आसीत्?	सुपार्श्वः	 जटायुः / दीर्घायुः / चिरायुः / सुपार्श्वः
569	दशरथस्य पुत्री एतासु का आसीत्?	शान्ता	 सुयशा / सुनन्दा / शान्ता / सुनयना
570	विभीषणस्य पुत्री एतासु का आसीत्?	कला	 ललिता / कला / सुकन्या / मीनाक्षी
571	शत्रुघ्नस्य पुत्रः एतेषु कः आसीत्?	सुबाहुः	 चन्द्रकेतुः / अङ्गदः / सुबाहुः / लवः
572	भरतस्य पुत्रः एतेषु कः आसीत्?	पुष्कलः	 अंगदः / कुशः / पुष्कलः / चंद्रकेतुः
573	मुनिवरस्य वसिष्ठस्य पुत्रः एतेषु कः आसीत्?	सुयज्ञः	 सुयज्ञः / आरुणिः / उपमन्युः / वेदः
574	वालिनः पुत्री एतासु का आसीत्?	सुभद्रा	 सुभद्रा / लीलाक्षी / मीनाक्षी / सुहागी
575	लक्ष्मणस्य पुत्रः एतेषु कः आसीत्?	अङ्गदः	 कुशः / श्रीदाम / अङ्गदः / लवः
576	अतिकायः राक्षसः कस्य पुत्रः आसीत्?	रावणः	
577	इन्द्रस्य सारथेः मातलिनः पुत्रः कः आसीत्?	गोमुखः	
578	खरस्य राक्षसस्य पुत्रः एतेषु कः आसीत्?	मकराक्षः	 दूषणः / मकराक्षः / सुबाहुः / अङ्गारकः
579	शत्रुघ्नस्य पुत्रः एतेषु कः आसीत्?	शत्रुघाती	 शत्रुघाती / कुशः / चंद्रकेतुः / तक्षः
580	नलकूबरः कस्य पुत्रः आसीत्?	कुबेरस्य	
581	त्रिशङ्कोः पुत्रः एतेषु कः आसीत्?	धुन्धुमारः	 अम्बरीषः / रोमपाद: / गयः / धुन्धुमारः
582	नारदः कस्य मानसपुत्रः आसीत्?	ब्रह्मणः	
583	विश्वामित्रस्य पुत्रः एतेषु कः आसीत्?	हविष्यन्दः	 हविष्यन्दः / अङ्गदः / गन्धमादनः / कुशीनरः
584	भगीरथस्य पुत्रः एतेषु कः आसीत्?	ककुत्स्थः	 अज: / अंशुमान् / दिलीपः / ककुत्स्थः
585	रावणस्य मातामही एतासु का आसीत्?	केतुमती	 केतुमती / कुंभीनसी / कैकसी / मंदोदरी
586	ताटका रावणस्य का आसीत्?	मातामही	
587	रावणस्य मातामहः कः आसीत्?	पुलस्त्यः	
588	भरतस्य मातुलः एतेषु कः आसीत्?	युधाजित्	 शेषः / मार्कंडेयः / युधाजित् / अश्वपतिः
589	सुग्रीवस्य मातुलः एतेषु कः आसीत्?	दधिमुखः	 दधिमुखः / अग्निमुखः / अग्निवर्णः / अग्निकेतुः
590	श्रीरामस्य मातामहस्य किं नाम आसीत्?	भानुमान्	
591	भरतस्य मातामहस्य किं नाम आसीत्?	अश्वपतिः	
592	हनुमतः मातामहस्य किं नाम आसीत्?	कुञ्जरः	
593	अंगदस्य मातामहस्य किं नाम आसीत्?	तारा	
594	मारीचः रावणस्य कः आसीत्?	मातुलः	
595	लवणासुरः रावणस्य कः आसीत्?	स्वस्रीयः	
596	मेघनादस्य मातुलस्य किं नाम आसीत्?	दुन्दुभिः	
597	प्रहस्तः राक्षसः रावणस्य कः आसीत्?	मातुुलः	
598	श्रवणकुमारस्य वधः कस्य हस्ताभ्याम् अभवत्?	दशरथस्य	
599	जटायुः कस्य हस्तेन हतः आसीत्?	रावणस्य	
600	कौसल्यायाः मृत्युः कदा अभवत्?	श्रीरामस्य अश्वमेधयज्ञस्य समाप्तेः अनन्तरम्	
601	अशोकवाटिकायां हनूमतः कराभ्यां रावणस्य कः पुत्रः हतः आसीत्?	अक्षकुमारः	
602	अयोध्यायाः राजा मान्धाता कस्य कराभ्यां हतः अभवत्?	लवणासुरस्य; लवणासुरेण; लवणेन	
603	महर्षेः जमदग्नेः हत्यां कः अकरोत्?	सहस्रार्जुनः; कार्तवीर्यार्जुनः	
604	लंकिनींं राक्षसींं कः मुष्टिप्रहारैः हतवान्?	हनुमान्	
605	वालिनः वधः कस्य कराभ्यां अभवत्?	श्रीरामस्य; रामस्य	
606	मेघनादस्य वधं कः अकरोत्?	लक्ष्मणः	
607	खरदूषणौ कः हतवान्?	श्रीरामः; रामः	
608	रावणस्य वधं कः अकरोत्?	श्रीरामः; रामः	
609	कुंभकर्णः कस्य कराभ्यां हतः आसीत्?	श्रीरामस्य; रामस्य	
610	ताटकाराक्षस्याः वधं कः अकरोत्?	श्रीरामः; रामः	
611	लवणासुरस्य वधः केन कृतः?	शत्रुघ्नेन	
612	सुबाहुः राक्षसः केन हतः?	श्रीरामेण; रामेण	
613	मारीचः केन हतः?	श्रीरामेण; रामेण	
614	कालनेमिः (राक्षसः) केन हतः?	हनुमता; हनूमता	
615	सिंहिका राक्षसी केन हता?	हनुमता; हनूमता	
616	शम्बूकस्य वधः केन कृतः?	श्रीरामेण; रामेण	
617	दुंदुभिदैत्यः केन हतः?	वालिना	
618	सुन्दं दैत्यं कः मुनिः शप्त्वा मारितवान्?	अगस्त्यः	
619	विराधराक्षसस्य वधः केन कृतः?	रामलक्ष्मणाभ्याम्	
620	अकम्पनः राक्षसः केन हतः?	हनुमता; हनूमता	
621	अग्निकेतुः राक्षसः केन हतः आसीत् ?	श्रीरामेण; रामेण	
622	अतिकायः राक्षसः केन हतः आसीत् ?	लक्ष्मणेन	
623	प्रहस्तस्य वधं कः कृतवान्?	नीलः	
624	रावणस्य सेनापतिः प्रघसः केन हतः आसीत् ?	सुग्रीवेण	
625	निकुम्भस्य वधं कः कृतवान्?	हनुमान्	
626	वृत्रासुरः केन हतः आसीत् ?	इन्द्रेण	
627	रावणस्य एकः सेनापतिः विरूपाक्षः केन हतः आसीत् ?	हनुमता; हनूमता	
628	रावणस्य एकः सेनापतिः दुर्धरः केन हतः आसीत् ?	हनुमता; हनूमता	
629	रावणस्य एकः सेनापतिः यूपाक्षः केन हतः आसीत् ?	हनुमता; हनूमता	
630	रावणस्य एकः सेनापतिः भासकर्णः केन हतः आसीत् ?	हनुमता; हनूमता	
631	शम्बरासुरं कोऽवधीत्?	इन्द्रः	
632	रावणपुत्रं देवान्तकं कोऽवधीत्?	हनुमान्	
633	रावणपुत्रं नरान्तकं कोऽवधीत्?	अङ्गदः	
634	राक्षसप्रमुखं यज्ञकोपं कोऽवधीत्?	श्रीरामः; रामः	
635	शम्बरदैत्यं कोऽवधीत्?	श्रीरामः; रामः	
636	सर्पास्यं राक्षसं कोऽवधीत्?	श्रीरामः; रामः	
637	प्रहस्तपुत्रं जम्बुमालिनं कोऽवधीत्?	हनुमान्	
638	रश्मिकेतुं राक्षसं कोऽवधीत्?	श्रीरामः; रामः	
639	रुधिराशनं राक्षसं कोऽवधीत्?	श्रीरामः; रामः	
640	को देवः कामदेवं दग्ध्वा भस्मीकृतवान्?	शिवः; शङ्करः; महादेवः; रुद्रः; हरः	
641	त्रिपुरासुरस्य वधं कः कृतवान्?	शिवः; शङ्करः; महादेवः; रुद्रः; हरः	
642	खरस्य सखायं विहङ्गमराक्षसं कः हतवान् आसीत्?	श्रीरामः; रामः	
643	मयराक्षसस्य वधं कः कृतवान्?	इन्द्रः	
644	कबंधराक्षसं कः हतवान्?	वाली	
645	राज्ञः सुधन्वनः वधं कः कृतवान्?	जनकः	
646	परन्धाम गमनाय श्रीरामः कस्यां नद्यां जल-समाधिं स्वीकृतवान्?	सरयूनद्याम्	
647	अयोध्यायाः प्रथमः राजा कः आसीत्?	इक्ष्वाकुः	
648	दशरथः कस्य राजा आसीत्?	अयोध्यायाः	
649	रावणः कस्य राजा आसीत्?	लङ्कायाः	
650	वाली (वानरः) कस्य राजा आसीत्?	किष्किन्धायाः	
651	जनकः कस्य राजा आसीत्?	मिथिलायाः; विदेहस्य	
652	लवः कस्य राजा आसीत्?	श्रावस्त्याः	
653	कुशः कस्य राजा आसीत्?	कुशस्थल्याः	
654	सहस्रार्जुनः कस्य राजा आसीत्?	माहिष्मत्याः; हैहयानाम्; महिष्मत्याः	
655	निषादराजः गृहः कस्य राजा आसीत्?	शृङ्गवेरपुरस्य	
656	अलकापुर्याः राजा कः आसीत्?	कुबेरः	
657	पूरुः कस्य राजा आसीत्?	काश्याः	
658	काम्पिल्यस्य राजा कः आसीत्?	ब्रह्मदत्तः	
659	गयः, यः रावणस्य अधीनताम् अङ्गीकृतवान् आसीत्, सः कस्य राजा आसीत्?	गयायाः	
660	लवणासुरः कस्य राजा आसीत्?	मधुुुपुरस्य; मधुरायाः; मधुपुर्याः	
661	लोमपादः कस्मिन् राज्ये राजा आसीत् ?	अङ्गे; अङ्गराज्ये; अङ्गेषु; अङ्गदेशे	
662	अम्बरीषः कस्मिन् राज्ये राजा आसीत्?	अयोध्यायाम्	
663	प्राप्तिज्ञः कस्मिन् राज्ये राजा आसीत् ?	मगधे	
664	कारुपथस्य राजा एतेषु कः आसीत्?	अङ्गदः	 चंद्रकेतुः / कुशः / अङ्गदः / भरतः
665	अश्वपतिः कस्मिन् राज्ये राजा आसीत् ?	केकयराज्ये; केकये; केकयदेशे	
666	भानुमान् कस्मिन् राज्ये राजा आसीत् ?	कोसले	
667	श्रीरामात् अनन्तरम् अयोध्यायाः राजा कः बभूव?	कुशः	
668	रावणात् पूर्वं लङ्कायाः राजा कः आसीत्?	कुबेरः	
669	रावणवधानन्तरं लङ्कायाः राजा कः बभूव?	विभीषणः	
670	वालिनः मृत्योः अनन्तरं किष्किन्धायाः राजा कः बभूव ?	सुग्रीवः	
671	सुग्रीवस्य पश्चात्किष्किन्धायाः राजा कः अभवत्?	अङ्गदः	
672	लवणासुरस्य वधस्य पश्चात् मधुपुरस्य राजा कः अभवत्?	शत्रुघ्नः	
673	श्रीरामस्य अयोध्यायाः राजभवने  युवराजः कः अभवत्?	भरतः	
674	श्रीरामः कस्य अंशावतारः आसीत्?	विष्णोः	
675	सीता कस्याः अवतारः आसीत्?	लक्ष्म्याः	
676	रावणः कस्य अवतारः आसीत्?	हिरण्यकशिपोः	
677	लक्ष्मणः कस्य अवतारः आसीत्?	शेषस्य; शेषनागस्य; अनन्तस्य	
678	हनुमान् कस्य अंशतः उत्पन्नः?	वायुदेवस्य; वायोः	
679	श्रीरामे विष्णोः कियान् अंशः आसीत्?	अर्धांशः; अर्धः	
680	लक्ष्मणे विष्णोः कियान् अंशः आसीत्?	अष्टमांशः	
681	शत्रुघ्ने विष्णोः कियान् अंशः आसीत् ?	अष्टमांशः	
682	भरते कस्याः देवताया: चतुर्थांशः आसीत् ?	विष्णोः	
683	वानरवीराङ्गदः कस्य अंशतः जातः आसीत्?	बृहस्पतेः	
684	राजा दशरथः कस्य अवतारः आसीत् ?	स्वयम्भुवमनोः	
685	वाली कस्य अंशतः उत्पन्नः आसीत् ?	इन्द्रस्य	
686	सुग्रीवः कस्य अंशतः जातः आसीत् ?	सूर्यस्य	
687	कपिलमुनिः कस्य अंशावतारः आसीत् ?	विष्णोः	
688	महर्षिः परशुरामः कस्य अंशावतारः आसीत् ?	विष्णोः	
689	वानरयूथपति: श्वेत: कस्य अंशतः जातः आसीत् ?	सूर्यस्य	
690	केसरी (वानर:) कस्य अंशतः जातः आसीत् ?	बृहस्पतेः	
691	सुषेण: (वानरः) कस्यांशात् जातः आसीत्?	वरुणस्य	
692	वानरयूथपतिः दधिमुखः कस्यांशः आसीत्?	चन्द्रमसः	
693	मैन्दः (वानरः) कस्यांशात् उत्पन्नः आसीत्?	अश्विनीकुमारयोः; अश्विनोः	
694	गन्धमादनम् (वानरम्) कः स्वांशात् उत्पन्नवान्?	कुबेरस्य	
695	वानरयूथपतिः द्विविदः कस्यांशात् जातः आसीत्?	अश्विनीकुमारयोः; अश्विनोः	
696	वानरयूथपतिः तारः कस्यांशात् जातः आसीत्?	बृहस्पतेः	
697	वानरयूथपतिः ज्योतिर्मुखः कस्याः देवतायाः अंशात् उत्पन्नः आसीत्?	सूर्यस्य	
698	गजः, गवाक्षः, गवयः च (वानराः) - एते कस्य अंशात् जाताः?	यमराजस्य	
699	वेगदर्शी (वानरः) कस्य अंशः आसीत्?	मृत्योः	
700	हेमकूटः (वानरः) कस्य अंशात् जातः आसीत्?	वरुणस्य	
701	एतेषु कः श्रीरामस्य सेनायै लङ्कां गन्तुं समुद्रे सेतुं निर्मितवान्?	नलः	 हनुमान् / अङ्गदः / नलः / जाम्बवान्
702	एतेषु कः रावणं पराजेतुं न अशकत् ?	कुबेरः	 वाली / सहस्त्रार्जुनः / श्रीरामः / कुबेरः
703	एतेषु कः राज्ञः दशरथस्य पुत्रेष्टियज्ञं कारितवान्?	ऋष्यशृङ्गः; ऋष्यश्रृङ्गः	 ऋष्यश्रृङ्गः / भरद्वाजः / विश्वामित्रः / अत्रिः
704	एतेषु कः ऋषिः राज्ञः दशरथस्य गुरुः तथा मन्त्री आसीत्?	जाबालिः	 जाबालिः / परशुरामः / भरद्वाजः / वाल्मीकिः
705	लङ्कादाहनकाले एतेषु कस्य भवनं हनुमान् न प्राज्वालयत्?	विभीषणस्य	 सुषेणस्य / कुंभकर्णस्य / विभीषणस्य / प्रहस्तस्य
706	एतेषु कः चिरञ्जीवी मन्यते?	हनुमान्	 अङ्गदः / हनुमान् / मेघनादः / लक्ष्मणः
707	एतेषु कः चिरञ्जीवी न मन्यते?	अङ्गदः	 हनुमान् / विभीषणः / अङ्घदः / परशुरामः
708	एतेषु कं रावणः भर्त्सयित्वा लङ्कायाः विताडितवान्?	विभीषणम्	 प्रघसम् / प्रहस्तम् / विभीषणम् / मारीचम्
709	एतेषु कः भेदं गृहीतुं वानररूपं धृत्वा श्रीरामस्य वानरसेनां प्रविष्टवान्?	सारणः	 प्रहस्तः / अक्षः / निकुंभः / सारणः
710	एतेषु कः श्रीरामस्य दूतो भूत्वा लङ्कां गतः?	अङ्गदः	 सुग्रीवः / हनुमान् / अङ्गदः / नलः
711	एतेषु कः हास्यकारः आसीत् यः श्रीरामेण सह तस्य मनोरञ्जनाय आसीत्?	सुराजिः	 द्विविदः / मैन्दः / सुराजिः / तारः
712	एतेषु कः वीरः श्रीरामस्य अश्वमेधयज्ञस्य अश्वं ग्रहीतुं साहसं कृतवान्?	लवः	 लवः / लवणासुरः / मेघनादः / सुबाहुः
713	एतेषु केन ऋषिणा सह विश्वामित्रस्य घोरं युद्धम् अभवत्?	वसिष्ठेन;  वसिष्ठेण	 वसिष्ठेण / अगस्त्येन / अत्रिना / याज्ञवल्क्येन
714	एतेषु कः ऋषिः यः एकेन शरीरेण अयोध्यायां वसन् अपि द्वितीयशरीरेण सप्तर्षिमण्डले वसति स्म?	वसिष्ठः	 विश्वामित्रः / भरद्वाजः / वसिष्ठः / परशुरामः
715	एतेषु कः एकस्याः मातुः जातः?	लक्ष्मणशत्रुघ्नौ	 रामलक्ष्मणौ / भरतशत्रुघ्नौ / रामभरतौ / लक्ष्मणशत्रुघ्नौ
716	एतेषु कौ यमलः जातः?	लवकुशौ	 रामलक्ष्मणौ / भरतशत्रुघ्नौ / रावणाहिरावणौ / लवकुशौ
717	एतेषु कः अविवाहितः आसीत्?	हनुमान्	 जनकः / हनुमान् / सुग्रीवः / शत्रुघ्नः
718	जटायोः भ्राता एतेषु कः?	सम्पातिः	 सम्पातिः / गरुडः / वासुकिः / मकराक्षः
